,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Alaska Brain Center, LLC",61.608723,-149.333024,granted,4551 East Bogard Road,,Wasilla,AK,99654,USA,,,,mr,"www.google.com/search?q=Alaska+Brain+Center,+LLC","Alaska Brain Center, LLC Wasilla",,,,,"Jun 30, 2024","Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
1,2,Alaska Center for Ear Nose and Throat,61.185312,-149.823187,granted,3841 Piper Street,Suite T-230,Anchorage,AK,99508,USA,,www.ACENTalaska.com,,ct,,Alaska Center for Ear Nose and Throat Anchorage,"Apr 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,"Alaska Heart Insitute, LLC",60.493734,-151.077434,granted,240 Hospital Place Suite 202,,Soldotna,AK,99669,USA,,,,echo,"www.google.com/search?q=Alaska+Heart+Insitute,+LLC","Alaska Heart Insitute, LLC Soldotna",,,"Jan 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Alaska Heart Institute, LLC",61.185312,-149.823187,multigranted,3841 Piper Street,Suite T-100,Anchorage,AK,99508,USA,,www.alaskaheart.com,,"nuclear, ct, mr, echo",,"Alaska Heart Institute, LLC Anchorage","Dec 31, 2023","Coronary CTA, Vascular CTA | Coronary Calcium Scoring","Jan 31, 2024","Adult Stress, Adult Transthoracic","Dec 31, 2023","Cardiovascular MRI, Neurological MRI | MRA","Dec 30, 2022","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
4,5,"Alaska Heart Institute, LLC",61.560472,-149.256704,multigranted,3125 E. Meridian Park Loop,Suite 200,Wasilla,AK,99654,USA,,www.alaskaheart.com,,"nuclear, echo",,"Alaska Heart Institute, LLC Wasilla",,,"Jan 31, 2024","Adult Stress, Adult Transthoracic",,,"Dec 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Alaska Native Medical Center,61.18189,-149.800578,multigranted,4315 Diplomacy Drive,,Anchorage,AK,99508,USA,,,,"vascular, echo",www.google.com/search?q=Alaska+Native+Medical+Center,Alaska Native Medical Center Anchorage,,,"Oct 31, 2023","Adult Stress, Adult Transthoracic",,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Alyeska Center for Facial Plastic Surgery and ENT,61.185984,-149.823242,granted,3831 Piper Street S433,,Anchorage,AK,99508,USA,,,,ct,www.google.com/search?q=Alyeska+Center+for+Facial+Plastic+Surgery+and+ENT,Alyeska Center for Facial Plastic Surgery and ENT Anchorage,"Dec 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
7,8,Ear Nose and Throat Specialists of Alaska,61.590106,-149.355442,granted,"3750 East Country Field Circle, Suite B,",,Wasilla,AK,99654,USA,,www.ENTspecialistsAK.com,,ct,,Ear Nose and Throat Specialists of Alaska Wasilla,"Dec 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
8,9,"Ear, Nose and Throat Clinic",64.829676,-147.744643,granted,1919 Lathrop Street,Suite 103,Fairbanks,AK,99701,USA,,,,ct,"www.google.com/search?q=Ear,+Nose+and+Throat+Clinic","Ear, Nose and Throat Clinic Fairbanks","Mar 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
9,10,"Geneva Woods Ear, Nose and Throat Associates, Inc.",61.186853,-149.862117,granted,"3730 Rhone Circle, Suite 203",,Anchorage,AK,99508,USA,,genevawoodsent.com,,ct,,"Geneva Woods Ear, Nose and Throat Associates, Inc. Anchorage","Aug 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
10,11,Independence Imaging,60.494503,-151.07971,granted,289 North Fireweed St. Suite C,,Soldotna,AK,99669,USA,,,,mr,www.google.com/search?q=Independence+Imaging,Independence Imaging Soldotna,,,,,"Oct 31, 2023","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
11,12,Independence Imaging,60.494721,-151.079709,granted,291 N. Fireweed St,,Soldotna,AK,99669,USA,,www.kenaipeninsulaorthopaedics.com,,mr,,Independence Imaging Soldotna,,,,,"Oct 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
12,13,Seattle Children’s Pediatric Cardiology of Alaska,61.18586,-149.823202,granted,3841 Piper Street,Suite T345,Anchorage,AK,99508,USA,,,,pediatric_echo,www.google.com/search?q=Seattle+Children’s+Pediatric+Cardiology+of+Alaska,Seattle Children’s Pediatric Cardiology of Alaska Anchorage,,,,,,,,,,,"Feb 28, 2025","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
