,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Alabama Cardiology, P.C.",34.695888,-86.568272,granted,4700 Whitesburg Dr Ste 200,,Huntsville,AL,35802,USA,,,,nuclear,"www.google.com/search?q=Alabama+Cardiology,+P.C.","Alabama Cardiology, P.C. Huntsville",,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Alabama Cardiovascular Group,33.432537,-86.723032,granted,3686 Grandview Parkway,Suite 720,Birmingham,AL,35243,USA,,www.alcardio.com,,echo,,Alabama Cardiovascular Group Birmingham,,,"Nov 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Alabama Cardiovascular Group,33.637732,-86.618441,granted,5890 Valley Road,Suite 200,Birmingham,AL,35235,USA,,www.alcardio.com,,echo,,Alabama Cardiovascular Group Birmingham,,,"Nov 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Alabama Cardiovascular Group, PC",33.432537,-86.723032,granted,3686 Grandview Parkway,Suite 720,Birmingham,AL,35243,USA,,www.alcardio.com/,,nuclear,,"Alabama Cardiovascular Group, PC Birmingham",,,,,,,"Oct 31, 2022","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
4,5,"Alabama Cardiovascular Group, PC",33.637732,-86.618441,granted,5890 Valley Road,Suite 200,Birmingham,AL,35235,USA,,www.alcardio.com/,,nuclear,,"Alabama Cardiovascular Group, PC Birmingham",,,,,,,"Oct 31, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Alabama Ear Specialists,33.512001,-86.786998,granted,2937 7th Ave South,,Birmingham,AL,35233,USA,,www.alabamaear.com,,ct,,Alabama Ear Specialists Birmingham,"Dec 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
6,7,"Alabama Ear, Nose and Throat Specialists LLC",33.233481,-87.540261,granted,302 Merchants Walk,Suite 100,Tuscaloosa,AL,35406,USA,,www.alabamaentspecialists.com,,ct,,"Alabama Ear, Nose and Throat Specialists LLC Tuscaloosa","Feb 28, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
7,8,Alabama Heart and Vascular Medicine,33.225907,-87.529985,multigranted,100 Rice Mine Road Loop,Suite 104,Tuscaloosa,AL,35406,USA,,,,"echo, vascular",www.google.com/search?q=Alabama+Heart+and+Vascular+Medicine,Alabama Heart and Vascular Medicine Tuscaloosa,,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,"Nov 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
8,9,"Alabama Heart and Vascular, PC",33.463732,-86.775072,granted,"2022 Brookwood Medical Cemter Drive, Suite 403",,Birmingham,AL,35209,USA,,,,nuclear,"www.google.com/search?q=Alabama+Heart+and+Vascular,+PC","Alabama Heart and Vascular, PC Birmingham",,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,ALABAMA HEART CARE LLC,33.261366,-87.516553,granted,4810 Harkey Lane,,Tuscaloosa,AL,35406,USA,,,,echo,www.google.com/search?q=ALABAMA+HEART+CARE+LLC,ALABAMA HEART CARE LLC Tuscaloosa,,,"Sep 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,"Alabama Medical Group, P.C.",30.682822,-88.130745,multigranted,101 Memorial hospital Drive,Suite 200,Mobile,AL,36608,USA,,,,"echo, nuclear, vascular","www.google.com/search?q=Alabama+Medical+Group,+P.C.","Alabama Medical Group, P.C. Mobile",,,"Dec 31, 2024",Adult Transthoracic,,,"Dec 31, 2024","General Nuclear Medicine, Myocardial Perfusion Imaging","Jun 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
11,12,Alabama Nasal and Sinus Center,33.422828,-86.670189,granted,7191 Cahaba Valley Road,Suite 301,Birmingham,AL,35242,USA,,,,ct,www.google.com/search?q=Alabama+Nasal+and+Sinus+Center,Alabama Nasal and Sinus Center Birmingham,"May 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
12,13,American Health Imaging 3T of Brookwood,33.466728,-86.776386,granted,509 Brookwood Blvd Suite 111,,Homewood,AL,35209,United States ,,www.americanhealthimaging.com/,,mr,,American Health Imaging 3T of Brookwood Homewood,,,,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
13,14,"American Health Imaging of Birmingham, LLC",33.509729,-86.800629,granted,2101 4th Avenue South,Suite 100,Birmingham,AL,35233,USA,,www.americanhealthimaging.com/location/birmingham-al/,,mr,,"American Health Imaging of Birmingham, LLC Birmingham",,,,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
14,15,"American Health Imaging of Grandview, LLC",33.438626,-86.71827,multigranted,3570 Grandview Pkwy,Suite 102,Birmingham,AL,35243,USA,,www.americanhealthimaging.com/location/grandview-al/,,"ct, mr",,"American Health Imaging of Grandview, LLC Birmingham","Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
15,16,American Health Imaging of Greystone,33.41677,-86.665736,multigranted,7500 Hugh Daniel Dr Suite 150,,Birmingham,AL,35242,United States ,,americanhealthimaging.com/location/greystone-al/,,"ct, mr",,American Health Imaging of Greystone Birmingham,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
16,17,American Health Imaging of Homewood,33.479544,-86.788056,multigranted,"1 Independence Plaza, Suite 140",,Homewood,AL,35209,United States ,,americanhealthimaging.com/location/homewood-al/,,"ct, mr",,American Health Imaging of Homewood Homewood,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
17,18,American Health Imaging of Shelby,33.245853,-86.815768,multigranted,224 1st St. North Suite 150,,Alabaster,AL,35007,United States,,www.americanhealthimaging.com/,,"ct, mr",,American Health Imaging of Shelby Alabaster,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
18,19,American Health Imaging Open Upright MRI,33.475121,-86.787252,granted,3105 Independence Dr Suite 101,,Homewood,AL,35209,United States ,,www.americanhealthimaging.com/,,mr,,American Health Imaging Open Upright MRI Homewood,,,,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
19,20,"Amy Carter, M.D.",34.690528,-86.507312,granted,5540 Highway 431 South,,Brownsboro,AL,35741-9771,USA,,,,nuclear,"www.google.com/search?q=Amy+Carter,+M.D.","Amy Carter, M.D. Brownsboro",,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
20,21,Appalachian Cardiovascular Associates,34.461188,-85.704825,granted,"1990 Gault Ave, N",Suite 202,Fort Payne,AL,35967,USA,,www.cardio-vascular.us,,nuclear,,Appalachian Cardiovascular Associates Fort Payne,,,,,,,"Jan 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
21,22,Baptist Medical Center South Echo Lab,32.327144,-86.276764,granted,2105 East South Boulevard,,Montgomery,AL,36116,USA,,,,echo,www.google.com/search?q=Baptist+Medical+Center+South+Echo+Lab,Baptist Medical Center South Echo Lab Montgomery,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
22,23,Birmingham Heart Clinic,33.603022,-86.66233,multigranted,100 Pilot Medical Drive,Suite 300,Birmingham,AL,35235,USA,,,,"nuclear, echo, ct, vascular",www.google.com/search?q=Birmingham+Heart+Clinic,Birmingham Heart Clinic Birmingham,"Nov 30, 2023","Coronary CTA, Vascular CTA, Coronary Calcium Scoring","May 31, 2023",Adult Transthoracic,,,"Feb 28, 2023","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)","Mar 31, 2024",Peripheral Venous Testing,,,,,,,,,,,,,,
23,24,"Birmingham Heart Clinic, P.C., Northside Medical Associates",33.604536,-86.288713,granted,74 Plaza Drive,Suite 2B,Pell City,AL,35125,USA,,,,nuclear,"www.google.com/search?q=Birmingham+Heart+Clinic,+P.C.,+Northside+Medical+Associates","Birmingham Heart Clinic, P.C., Northside Medical Associates Pell City",,,,,,,"Feb 28, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
24,25,"Birmingham Heart Clinic, St. Vincent’s Birmingham Cardiology, LLC",33.506957,-86.787793,granted,2217 Decatur Hwy,,Gardendale,AL,35071,USA,,,,nuclear,"www.google.com/search?q=Birmingham+Heart+Clinic,+St.+Vincent’s+Birmingham+Cardiology,+LLC","Birmingham Heart Clinic, St. Vincent’s Birmingham Cardiology, LLC Gardendale",,,,,,,"Feb 28, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
25,26,"Birmingham Internal Medicine Associates, LLC dba Complete Health",33.499127,-86.847503,granted,"832 Princeton Avenue, S.W.",,Birmingham,AL,35211,USA,,,,nuclear,"www.google.com/search?q=Birmingham+Internal+Medicine+Associates,+LLC+dba+Complete+Health","Birmingham Internal Medicine Associates, LLC dba Complete Health Birmingham",,,,,,,"Sep 30, 2023","General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
26,27,"Birmingham Internal Medicine Associates, LLC dba Complete Health",33.499127,-86.847503,granted,832 Princeton Avenue SW,,Birmingham,AL,35211,USA,,,,echo,"www.google.com/search?q=Birmingham+Internal+Medicine+Associates,+LLC+dba+Complete+Health","Birmingham Internal Medicine Associates, LLC dba Complete Health Birmingham",,,"Mar 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
27,28,"Birmingham Vascular Associates, P.C.",33.464417,-86.774034,granted,1021 Montgomery Highway,Ste. 206,Vestavia Hills,AL,35216,USA,,,,vascular,"www.google.com/search?q=Birmingham+Vascular+Associates,+P.C.","Birmingham Vascular Associates, P.C. Vestavia Hills",,,,,,,,,"May 31, 2024","Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
28,29,Brookwood Cardiology Diagnostic Center,33.434988,-86.732028,granted,3980 Colonnade Parkway,,Birmingham,AL,35243,USA,,,,echo,www.google.com/search?q=Brookwood+Cardiology+Diagnostic+Center,Brookwood Cardiology Diagnostic Center Birmingham,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
29,30,Brookwood Medical Center,33.463073,-86.776522,granted,2010 Brookwood Medical Center Drive,,Birmingham,AL,35209,USA,,,,echo,www.google.com/search?q=Brookwood+Medical+Center,Brookwood Medical Center Birmingham,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
