,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,ACENTA,35.346747,-94.34999,granted,7805 Phoenix Ave,,Fort Smith,AR,72903,USA,,acenta.com,,ct,,ACENTA Fort Smith,"Sep 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,AHEC Family Medical Center Ft. Smith,35.378315,-94.420551,granted,1301 South E Street,,Fort Smith,AR,72901,USA,,,,pediatric_echo,www.google.com/search?q=AHEC+Family+Medical+Center+Ft.+Smith,AHEC Family Medical Center Ft. Smith Fort Smith,,,,,,,,,,,"Sep 30, 2022",Pediatric Transthoracic,,,,,,,,,,,,
2,3,"Arkansas Cardiology, PA",35.058089,-92.420175,granted,625 United Drive,Suite 220,Conway,AR,72032,USA,,,,echo,"www.google.com/search?q=Arkansas+Cardiology,+PA","Arkansas Cardiology, PA Conway",,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Arkansas Cardiology, PA",34.74586,-92.384286,multigranted,9501 Lile Drive,#600,Little Rock,AR,72205,USA,,,,"echo, ct","www.google.com/search?q=Arkansas+Cardiology,+PA","Arkansas Cardiology, PA Little Rock","Aug 31, 2024","Body CT, Coronary CTA, Neurological CT, Vascular CTA, Coronary Calcium Scoring","Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,"Arkansas Cardiology, PA",34.784525,-92.219018,granted,3343 Springhill Drive,#1035,North Little Rock,AR,72117,USA,,,,echo,"www.google.com/search?q=Arkansas+Cardiology,+PA","Arkansas Cardiology, PA North Little Rock",,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Arkansas Children’s Hospital,34.742822,-92.292006,granted,1 Children’s Way,Slot #200,Little Rock,AR,72202,USA,,,,pediatric_echo,www.google.com/search?q=Arkansas+Children’s+Hospital,Arkansas Children’s Hospital Little Rock,,,,,,,,,,,"Sep 30, 2022","Pediatric Transesophageal, Pediatric Transthoracic, Fetal",,,,,,,,,,,,
6,7,Arkansas Children’s Hospital Jonesboro Clinic,35.837416,-90.701282,granted,520 Carson St,,Jonesboro,AR,72401,USA,,,,pediatric_echo,www.google.com/search?q=Arkansas+Children’s+Hospital+Jonesboro+Clinic,Arkansas Children’s Hospital Jonesboro Clinic Jonesboro,,,,,,,,,,,"Sep 30, 2022",Pediatric Transthoracic,,,,,,,,,,,,
7,8,Arkansas Children’s Northwest Heart Station,36.250051,-94.146903,granted,2601 Gene George Boulevard,,Springdale,AR,72762,USA,,,,pediatric_echo,www.google.com/search?q=Arkansas+Children’s+Northwest+Heart+Station,Arkansas Children’s Northwest Heart Station Springdale,,,,,,,,,,,"Sep 30, 2022","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
8,9,"Arkansas Heart Hospital Rural Health Services, LLC",34.741674,-92.396508,granted,7 Shackleford West Boulevard,,Little Rock,AR,72211,USA,,,,nuclear,"www.google.com/search?q=Arkansas+Heart+Hospital+Rural+Health+Services,+LLC","Arkansas Heart Hospital Rural Health Services, LLC Little Rock",,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,"Arkansas Heart Hospital Rural Health Services, LLC Danville",35.0538,-93.383938,granted,1007 E 8th  Street,,Danville,AR,72833,,,,,nuclear,"www.google.com/search?q=Arkansas+Heart+Hospital+Rural+Health+Services,+LLC+Danville","Arkansas Heart Hospital Rural Health Services, LLC Danville Danville",,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
10,11,"Arkansas Heart Hospital Rural Health Services, LLC ElDorado",33.20041,-92.690867,granted,704 South Timberlane Dr,,El Dorado,AR,71730,United States of America,,,,nuclear,"www.google.com/search?q=Arkansas+Heart+Hospital+Rural+Health+Services,+LLC+ElDorado","Arkansas Heart Hospital Rural Health Services, LLC ElDorado El Dorado",,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
11,12,"Arkansas Heart Hospital Rural Health Services, LLC- Hot Springs",34.480094,-93.111631,granted,"149 Section Line Road, Suite A",,Hot Springs,AR,71913,USA,,,,nuclear,"www.google.com/search?q=Arkansas+Heart+Hospital+Rural+Health+Services,+LLC-+Hot+Springs","Arkansas Heart Hospital Rural Health Services, LLC- Hot Springs Hot Springs",,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,Arkansas Heart Hospital Rural Health Services- Russellville,35.28221,-93.147714,granted,1512 West Main,,Russellville,AR,72801,USA,,,,nuclear,www.google.com/search?q=Arkansas+Heart+Hospital+Rural+Health+Services-+Russellville,Arkansas Heart Hospital Rural Health Services- Russellville Russellville,,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
13,14,Arkansas Neurosurgery Brain and Spine Clinic PA,34.776787,-92.366041,granted,8201 Cantrell Road,Suite 265,Little Rock,AR,72227,USA,,,,mr,www.google.com/search?q=Arkansas+Neurosurgery+Brain+and+Spine+Clinic+PA,Arkansas Neurosurgery Brain and Spine Clinic PA Little Rock,,,,,"Mar 31, 2025","Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
14,15,"Arkansas Otolaryngology Center, PA",34.742896,-92.388369,granted,10201 Kanis Road,,Little Rock,AR,72205,USA,,www.araoc.com,,ct,,"Arkansas Otolaryngology Center, PA Little Rock","Sep 30, 2023","Body CT, Neurological CT, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
15,16,Arkansas Vein Clinic and Skincare,35.355737,-94.350956,granted,8101 McClure Drive,Suite 101,Fort Smith,AR,72916,USA,,www.arveinandskincare.com,,vascular,,Arkansas Vein Clinic and Skincare Fort Smith,,,,,,,,,"Dec 30, 2022",Peripheral Venous Testing,,,,,,,,,,,,,,
16,17,Baptist Health UAMS Vascular and Endovascular Surgery Clinic,34.745746,-92.380583,granted,9501 Baptist Health Dr. Suite 760,,Little Rock,AR,72205,USA,,,,vascular,www.google.com/search?q=Baptist+Health+UAMS+Vascular+and+Endovascular+Surgery+Clinic,Baptist Health UAMS Vascular and Endovascular Surgery Clinic Little Rock,,,,,,,,,"Aug 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
17,18,BRMC Cardiac Diagnostic Testing Center,36.335959,-92.393262,granted,555 West 6th Street,,Mountain Home,AR,72653,USA,,www.cvanca.com,,nuclear,,BRMC Cardiac Diagnostic Testing Center Mountain Home,,,,,,,"Nov 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
18,19,"Chenal MRI, LLC",34.746903,-92.400073,granted,11300 Financial Centre Parkway,Suite 400,Little Rock,AR,72211,USA,,www.chenalmri.com,,mr,,"Chenal MRI, LLC Little Rock",,,,,"Mar 31, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
19,20,"Clopton Clinic of Jonesboro, Incorporated",35.839868,-90.701245,multigranted,300 Carson Street,,Jonesboro,AR,72401,USA,,www.cloptonclinic,,"vascular, echo",,"Clopton Clinic of Jonesboro, Incorporated Jonesboro",,,"Sep 30, 2024","Adult Stress, Adult Transthoracic",,,,,"Feb 29, 2024","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
20,21,"Ear, Nose, and Throat Associates of Mountain Home, PA",36.340221,-92.39454,granted,626 Burnett Drive,,Mountain Home,AR,72653,USA,,,,ct,"www.google.com/search?q=Ear,+Nose,+and+Throat+Associates+of+Mountain+Home,+PA","Ear, Nose, and Throat Associates of Mountain Home, PA Mountain Home","Jun 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
21,22,Family ENT and Sinus Center,36.245716,-93.121144,granted,1401 McCoy Drive,,Harrison,AR,72601,USA,,,,ct,www.google.com/search?q=Family+ENT+and+Sinus+Center,Family ENT and Sinus Center Harrison,"Jul 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
22,23,HeartCare Clinic of the South,34.265018,-92.085593,granted,7500 Dollarway Road,Suite 301,White Hall,AR,71602,USA,,,,nuclear,www.google.com/search?q=HeartCare+Clinic+of+the+South,HeartCare Clinic of the South White Hall,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
23,24,Hot Springs Heart and Vascular Corp,34.480094,-93.111631,granted,110 Crackerbox Lane,,Hot Springs,AR,71913,USA,,,,nuclear,www.google.com/search?q=Hot+Springs+Heart+and+Vascular+Corp,Hot Springs Heart and Vascular Corp Hot Springs,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
24,25,Mercy Clinic Cardiology - Phoenix Avenue,35.356353,-94.365424,multigranted,6801 Rogers Avenue,Mercy Tower West 3rd Floor,Fort Smith,AR,72903,USA,,,,"echo, nuclear",www.google.com/search?q=Mercy+Clinic+Cardiology+-+Phoenix+Avenue,Mercy Clinic Cardiology - Phoenix Avenue Fort Smith,,,"Jul 31, 2023",Adult Transthoracic,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
25,26,NEA Baptist Memorial Hospital Non-Invasive Outpatient Cardiology Center,35.864204,-90.639107,granted,4800 East Johnson Ave.,,Jonesboro,AR,72401,USA,,,,echo,www.google.com/search?q=NEA+Baptist+Memorial+Hospital+Non-Invasive+Outpatient+Cardiology+Center,NEA Baptist Memorial Hospital Non-Invasive Outpatient Cardiology Center Jonesboro,,,"Aug 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
26,27,NEA Baptist Memorial Hospital Non-Invasive Outpatient Cardiology Center,35.864204,-90.639107,granted,4800 East Johnson Ave.,,Jonesboro,AR,72401,USA,,NEABaptistclinic.com,,vascular,,NEA Baptist Memorial Hospital Non-Invasive Outpatient Cardiology Center Jonesboro,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
27,28,NEA Baptist Non-Invasive Inpatient Cardiology Department,35.864204,-90.639107,granted,4800 East Johnson Ave.,,Jonesboro,AR,72401,USA,,,,echo,www.google.com/search?q=NEA+Baptist+Non-Invasive+Inpatient+Cardiology+Department,NEA Baptist Non-Invasive Inpatient Cardiology Department Jonesboro,,,"Aug 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
28,29,"Pain Treatment Centers of America, PLLC",34.754563,-92.393901,granted,108 North Shackleford Rd.,,Little Rock,AR,72211,USA,,www.ptcoa.com,,mr,,"Pain Treatment Centers of America, PLLC Little Rock",,,,,"Aug 31, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
29,30,Saline Heart Group,34.573091,-92.591222,granted,1000 Highway 35 N,Suite 8,Benton,AR,72019,USA,,,,echo,www.google.com/search?q=Saline+Heart+Group,Saline Heart Group Benton,,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
30,31,"Saline Heart Group, PA",34.573091,-92.591222,granted,1000 Highway 35 North Suite 8,,Benton,AR,72019,USA,,salineheartgroup.com,,nuclear,,"Saline Heart Group, PA Benton",,,,,,,"Jul 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging, Other Cardiovascular Imaging",,,,,,,,,,,,,,,,
31,32,Searcy Open MRI,35.250594,-91.713049,granted,2019 East Race Ave,,Searcy,AR,72143,USA,,searcyopenmri.com,,mr,,Searcy Open MRI Searcy,,,,,"Feb 28, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
32,33,St. Bernards Diagnostic Center,35.833809,-90.703291,multigranted,201 East Oak,,Jonesboro,AR,72401,USA,,www.arkheart.com,,"vascular, ct",,St. Bernards Diagnostic Center Jonesboro,"Jan 31, 2024","Body CT, Coronary CTA, Neurological CT, Vascular CTA, Coronary Calcium Scoring",,,,,,,"Aug 31, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
33,34,St. Vincent Heart Clinic Arkansas,34.741081,-92.332816,granted,5315 West 12th Street,,Little Rock,AR,72204,USA,,,,nuclear,www.google.com/search?q=St.+Vincent+Heart+Clinic+Arkansas,St. Vincent Heart Clinic Arkansas Little Rock,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
34,35,The Heart Clinic,33.215952,-92.670501,granted,431 Thompson,,El Dorado,AR,71730,USA,,,,echo,www.google.com/search?q=The+Heart+Clinic,The Heart Clinic El Dorado,,,"Jan 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
35,36,The Vascular Lab - University of Arkansas for Medical Sciences,34.751583,-92.320998,granted,4301 West Markham Street,Slot 728,Little Rock,AR,72205,USA,,,,vascular,www.google.com/search?q=The+Vascular+Lab+-+University+of+Arkansas+for+Medical+Sciences,The Vascular Lab - University of Arkansas for Medical Sciences Little Rock,,,,,,,,,"Aug 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
36,37,UAMS Family Medical Center,33.427209,-94.040619,granted,3417 U of A Way,,Texarkana,AR,71854,USA,,,,pediatric_echo,www.google.com/search?q=UAMS+Family+Medical+Center,UAMS Family Medical Center Texarkana,,,,,,,,,,,"Sep 30, 2022",Pediatric Transthoracic,,,,,,,,,,,,
37,38,UAMS Health Women’s Center,34.743111,-92.338868,granted,6119 Midtown Ave.,,Little Rock,AR,72205,USA,,,,pediatric_echo,www.google.com/search?q=UAMS+Health+Women’s+Center,UAMS Health Women’s Center Little Rock,,,,,,,,,,,"Sep 30, 2022",Fetal,,,,,,,,,,,,
38,39,Unity Health Cardiology Clinic,35.238899,-91.71791,granted,711 Santa Fe Drive,,Searcy,AR,72143,USA,,jharalsonheartclinicarkansas.com,,nuclear,,Unity Health Cardiology Clinic Searcy,,,,,,,"Dec 31, 2022","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
39,40,University of Arkansas for Medical Sciences,34.761637,-92.321391,granted,4301 West Markham Slot 526,,Little Rock,AR,72205,USA,,,,pediatric_echo,www.google.com/search?q=University+of+Arkansas+for+Medical+Sciences,University of Arkansas for Medical Sciences Little Rock,,,,,,,,,,,"Sep 30, 2022","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
40,41,"USA Vein Clinics of Little Rock, PLLC",34.746481,-92.289595,granted,1225 Breckenridge Drive,Suite 110,Little Rock,AR,72220,USA,,,,vascular,"www.google.com/search?q=USA+Vein+Clinics+of+Little+Rock,+PLLC","USA Vein Clinics of Little Rock, PLLC Little Rock",,,,,,,,,"Dec 30, 2022",Peripheral Venous Testing,,,,,,,,,,,,,,
