,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Abrazo Medical Group dba Biltmore Cardiology,32.879627,-111.705833,granted,1890 E Florence Blvd,Suite 1,Casa Grande,AZ,85122,USA,,,,nuclear,www.google.com/search?q=Abrazo+Medical+Group+dba+Biltmore+Cardiology,Abrazo Medical Group dba Biltmore Cardiology Casa Grande,,,,,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
1,2,Abrazo Medical Group dba Biltmore Cardiology,34.231538,-111.320333,granted,708 S Coeur D’Alene,,Payson,AZ,85541,USA,,,,nuclear,www.google.com/search?q=Abrazo+Medical+Group+dba+Biltmore+Cardiology,Abrazo Medical Group dba Biltmore Cardiology Payson,,,,,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
2,3,Abrazo Medical Group dba Biltmore Cardiology,33.501955,-112.01299,multigranted,2777 East Camelback Road,Suite 200,Phoenix,AZ,85016,USA,,,,"ct, nuclear",www.google.com/search?q=Abrazo+Medical+Group+dba+Biltmore+Cardiology,Abrazo Medical Group dba Biltmore Cardiology Phoenix,"Aug 31, 2023","Coronary CTA, Vascular CTA | Coronary Calcium Scoring",,,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
3,4,"Advanced Nuclear Cardiology, PLLC",33.465746,-112.053812,granted,1010 E. McDowell Road. 300,,Phoenix,AZ,85006,USA,,www.advancednuclearcardiology.com,,nuclear,,"Advanced Nuclear Cardiology, PLLC Phoenix",,,,,,,"Dec 30, 2022","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
4,5,"Advanced Open MRI of Tucson, PA",32.278502,-110.943794,granted,3970 N Campbell Ave,,Tucson,AZ,85719,USA,,,,mr,"www.google.com/search?q=Advanced+Open+MRI+of+Tucson,+PA","Advanced Open MRI of Tucson, PA Tucson",,,,,"Dec 31, 2023","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
5,6,"Ali A. Askari, MD, PC",33.463409,-112.065032,granted,1331 North 7th Street,Suite 400,Phoenix,AZ,85006,USA,,,,echo,"www.google.com/search?q=Ali+A.+Askari,+MD,+PC","Ali A. Askari, MD, PC Phoenix",,,"Aug 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,"Ali A. Askari, PC",34.598716,-112.467474,granted,3124 Willow Creek Road,Suite 200,Prescott,AZ,86301,USA,,,,nuclear,"www.google.com/search?q=Ali+A.+Askari,+PC","Ali A. Askari, PC Prescott",,,,,,,"Nov 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,"Ali A. Askari, PC",34.255094,-111.322516,granted,1106 N Beeline Hwy,,Payson,AZ,85541,USA,,,,nuclear,"www.google.com/search?q=Ali+A.+Askari,+PC","Ali A. Askari, PC Payson",,,,,,,"Nov 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,Antigua Medical Services,33.413024,-111.981654,granted,"4636 East Elwood Street, Suite 2",,Phoenix,AZ,85040,USA,,,,nuclear,www.google.com/search?q=Antigua+Medical+Services,Antigua Medical Services Phoenix,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,Arizona Breathe Free Sinus and Allergy Centers,33.640037,-111.881901,granted,9377 E Bell Rd,,Scottsdale,AZ,85260,USA,,www.arizonabreathefree.com/,,ct,,Arizona Breathe Free Sinus and Allergy Centers Scottsdale,"May 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
10,11,Arizona Cardiology Center,33.610736,-112.180206,granted,5620 W. Thunderbird Road,Suite E4,Glendale,AZ,85306,USA,,,,echo,www.google.com/search?q=Arizona+Cardiology+Center,Arizona Cardiology Center Glendale,,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Arizona Cardiology Group,33.469373,-112.06854,granted,"340 E. Palm Lane, Suite 175",,Phoenix,AZ,85004,USA,,www.azcard.com,,vascular,,Arizona Cardiology Group Phoenix,,,,,,,,,"Aug 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
12,13,Arizona Cardiology Group,33.469373,-112.06854,granted,340 East Palm Lane,Suite 175,Phoenix,AZ,85004,USA,,,,echo,www.google.com/search?q=Arizona+Cardiology+Group,Arizona Cardiology Group Phoenix,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,Arizona Cardiology Group,33.67028,-111.921003,granted,20201 N. Scottsdale Healthcare Drive,Suite 110,Scottsdale,AZ,85255,USA,,,,echo,www.google.com/search?q=Arizona+Cardiology+Group,Arizona Cardiology Group Scottsdale,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
14,15,Arizona Center for Hand Surgery,33.476614,-112.06633,granted,370 E Virginia Ave Ste 100,,Phoenix,AZ,85004,USA,,www.achssurgeons.com ,,ct,,Arizona Center for Hand Surgery Phoenix,"May 31, 2024",Body CT,,,,,,,,,,,,,,,,,,,,,,
15,16,"Arizona Coast Ear, Nose and Throat, LTD.",34.47685,-114.33995,granted,1760 McCulloch Blvd N,Ste 100,Lake Havasu City,AZ,86403,USA,,www.azcoastent.com,,ct,,"Arizona Coast Ear, Nose and Throat, LTD. Lake Havasu City","Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
16,17,Arizona Desert ENT Specialists,33.46426,-112.351109,granted,13555 West Mcdowell road,Suite 209,Goodyear,AZ,85395,USA,,azdesertent.com,,ct,,Arizona Desert ENT Specialists Goodyear,"May 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
17,18,Arizona Desert ENT Specialists,33.505622,-112.036826,granted,2111e E Highland Ave b431,,Phoenix,AZ,85016,USA,,,,ct,www.google.com/search?q=Arizona+Desert+ENT+Specialists,Arizona Desert ENT Specialists Phoenix,"May 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
18,19,Arizona Heart and Rhythm Center,34.592063,-112.431622,granted,1958 Commerce Center Circle,,Prescott,AZ,86301,USA,,,,nuclear,www.google.com/search?q=Arizona+Heart+and+Rhythm+Center,Arizona Heart and Rhythm Center Prescott,,,,,,,"Dec 31, 2023",Positron Emission Tomography (PET),,,,,,,,,,,,,,,,
19,20,Arizona Heart and Rhythm Center,33.481033,-112.042094,granted,2921 North 18th Place,,Phoenix,AZ,85016,USA,,,,nuclear,www.google.com/search?q=Arizona+Heart+and+Rhythm+Center,Arizona Heart and Rhythm Center Phoenix,,,,,,,"Dec 31, 2023",Positron Emission Tomography (PET),,,,,,,,,,,,,,,,
20,21,Arizona Heart and Vascular Clinic,33.654339,-112.195683,granted,6316 W. Union Hills Drive,Suite 210,Glendale,AZ,85308,USA,,www.acvcusa.com,,echo,,Arizona Heart and Vascular Clinic Glendale,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
21,22,Arizona Heart Doctor,33.392961,-111.899313,granted,2045 South Vineyard Ave 119,,Mesa,AZ,85210,USA,,www.azheartdoctor.com,,echo,,Arizona Heart Doctor Mesa,,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
22,23,Arizona Heart Doctor,33.480306,-112.079797,granted,333 W. Thomas Road,#206,Phoenix,AZ,85013,USA,,,,nuclear,www.google.com/search?q=Arizona+Heart+Doctor,Arizona Heart Doctor Phoenix,,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
23,24,"Arizona Heart Doctor, LLC",33.377453,-111.84442,granted,2045 South Vineyard Avenue,Suite 119,Mesa,AZ,85210,USA,,www.azheartdoctor.com/,,nuclear,,"Arizona Heart Doctor, LLC Mesa",,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
24,25,"Arizona Heart Doctor, Phoenix",33.48033,-112.07676,granted,"333 West Thomas Road, Suite 206 and 208A",,Phoenix,AZ,85013,USA,,www.azheartdoctor.com,,echo,,"Arizona Heart Doctor, Phoenix Phoenix",,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
25,26,Arizona Heart Institute,33.476892,-112.038924,granted,1910 E Thomas Rd,Suite 200,Phoenix,AZ,85016,USA,,www.azheart.com,,nuclear,,Arizona Heart Institute Phoenix,,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
26,27,Arizona Heart Rhythm Center,34.592063,-112.431622,granted,1958 Commerce Center Circle,,Prescott,AZ,86301,USA,,,,nuclear,www.google.com/search?q=Arizona+Heart+Rhythm+Center,Arizona Heart Rhythm Center Prescott,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
27,28,Arizona Heart Rhythm Center,33.609492,-112.261518,granted,13760 N. 93rd Ave,Suite #203,Peoria,AZ,85381,USA,,,,nuclear,www.google.com/search?q=Arizona+Heart+Rhythm+Center,Arizona Heart Rhythm Center Peoria,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
28,29,Arizona Heart Rhythm Center,33.480249,-112.041758,granted,1848 E. Thomas Rd,Suite #100,Phoenix,AZ,85016,,,,,nuclear,www.google.com/search?q=Arizona+Heart+Rhythm+Center,Arizona Heart Rhythm Center Phoenix,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
29,30,"Arizona Imaging Specialists, LLC",33.52374,-112.063825,granted,727 E Bethany Home Road Suite A-106,,Phoenix,AZ,85014,USA,,www.azdoppler.com,,vascular,,"Arizona Imaging Specialists, LLC Phoenix",,,,,,,,,"Sep 29, 2022 | Jul 31, 2025","Peripheral Venous Testing | Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
30,31,"Arthritis Center of Yuma, Inc.",32.683885,-114.645256,granted,"2095 W. 24th St., Ste. C",,Yuma,AZ,85364,USA,,,,mr,"www.google.com/search?q=Arthritis+Center+of+Yuma,+Inc.","Arthritis Center of Yuma, Inc. Yuma",,,,,"Dec 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
31,32,Aspire Allergy and Sinus,33.338702,-111.859096,granted,2248 North Alma School Road,Suite 104,Chandler,AZ,85224,USA,,,,ct,www.google.com/search?q=Aspire+Allergy+and+Sinus,Aspire Allergy and Sinus Chandler,"Aug 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
32,33,Avondale Medical Center,33.449833,-112.352855,granted,501 W. Van Buren St,Suite T,Avondale,AZ,85323,USA,,,,nuclear,www.google.com/search?q=Avondale+Medical+Center,Avondale Medical Center Avondale,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
33,34,Banner Baywood Medical Center,33.41047,-111.687166,granted,6644 East Baywood Avenue,,Mesa,AZ,85206,USA,,,,echo,www.google.com/search?q=Banner+Baywood+Medical+Center,Banner Baywood Medical Center Mesa,,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
34,35,Banner Boswell Medical Centerr,33.604802,-112.28344,granted,10401 West Thunderbird Boulevard,,Sun City,AZ,85351,USA,,,,echo,www.google.com/search?q=Banner+Boswell+Medical+Centerr,Banner Boswell Medical Centerr Sun City,,,"Nov 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
35,36,Banner Cardon Children’s Medical Center,33.39091,-111.874624,granted,1400 South Dobson Road,,Mesa,AZ,85202,USA,,,,pediatric_echo,www.google.com/search?q=Banner+Cardon+Children’s+Medical+Center,Banner Cardon Children’s Medical Center Mesa,,,,,,,,,,,"May 31, 2023","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
36,37,Banner Casa Grande Medical Center,32.879608,-111.709253,granted,1800 E. Florence Blvd.,,Casa Grande,AZ,85122,USA,,,,echo,www.google.com/search?q=Banner+Casa+Grande+Medical+Center,Banner Casa Grande Medical Center Casa Grande,,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
37,38,Banner Children’s Specialists Cardiology Glendale,33.610724,-112.174804,granted,5310 W. Thunderbird Rd,Ste. 214,Glendale,AZ,85306,USA,,,,pediatric_echo,www.google.com/search?q=Banner+Children’s+Specialists+Cardiology+Glendale,Banner Children’s Specialists Cardiology Glendale Glendale,,,,,,,,,,,"May 31, 2023","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
