,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,A Step Above Foot Care,33.827888,-118.116578,granted,3816 Woodruff Avenue,Suite 302,Long Beach,CA,90808,USA,,,,mr,www.google.com/search?q=A+Step+Above+Foot+Care,A Step Above Foot Care Long Beach,,,,,"Apr 30, 2024",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,ACC Vascular Laboratory,37.763383,-122.458242,granted,400 Parnassus Avenue,,San Francisco,CA,94143,USA,,,,vascular,www.google.com/search?q=ACC+Vascular+Laboratory,ACC Vascular Laboratory San Francisco,,,,,,,,,"May 31, 2024","Extracranial Cerebrovascular Testing, Intracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
2,3,Advanced Body Scan of Newport,33.658261,-117.879038,granted,20311 Sw Acacia,Suite 140,Newport Beach,CA,92660,USA,,www.newportbodyscan.com,,ct,,Advanced Body Scan of Newport Newport Beach,"Mar 31, 2025","Body CT, Coronary Calcium Scoring",,,,,,,,,,,,,,,,,,,,,,
3,4,Advanced Cardiovascular Institute,37.675913,-121.782439,granted,1022 Murrieta Blvd,,Livermore,CA,94550,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiovascular+Institute,Advanced Cardiovascular Institute Livermore,,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Advanced Cardiovascular Services,33.560358,-117.136692,granted,29995 Technology Dr.,Ste. 302,Murrieta,CA,92563,,,,,nuclear,www.google.com/search?q=Advanced+Cardiovascular+Services,Advanced Cardiovascular Services Murrieta,,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Advanced Heart and Vascular Physicians,33.944035,-117.390517,granted,4646 Brockton Ave,Suite 301,Riverside,CA,92506,USA,,,,nuclear,www.google.com/search?q=Advanced+Heart+and+Vascular+Physicians,Advanced Heart and Vascular Physicians Riverside,,,,,,,"Jul 31, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,Adventist Health Mendocino Coast,39.432466,-123.800799,granted,700 River Drive,,Fort Bragg,CA,95437,USA,,www.mcdh.org,,echo,,Adventist Health Mendocino Coast Fort Bragg,,,"Apr 30, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,Adventist Health Physician Network,34.259612,-118.794815,granted,124 Macaw Lane,,Simi Valley,CA,93065,USA,,,,nuclear,www.google.com/search?q=Adventist+Health+Physician+Network,Adventist Health Physician Network Simi Valley,,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,"Alameda Campus, Alameda Health System",37.76323,-122.253541,granted,2070 Clinton Ave.,,Alameda,CA,94501,USA,,,,echo,"www.google.com/search?q=Alameda+Campus,+Alameda+Health+System","Alameda Campus, Alameda Health System Alameda",,,"Jan 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"Albert J. Sharf, MD, FACC",32.683598,-117.082706,granted,1845 E 12th st,,National CIty,CA,91950,USA,,www.mycardiacmd.com,,nuclear,,"Albert J. Sharf, MD, FACC National CIty",,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
