,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Academy Heights Foot Clinic PC,38.947048,-104.808365,granted,1155 Kelly Johnson Blvd,#310,Colorado Springs,CO,80920,USA,,,,mr,www.google.com/search?q=Academy+Heights+Foot+Clinic+PC,Academy Heights Foot Clinic PC Colorado Springs,,,,,"Nov 30, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,Advanced ENT and Allergy Center,39.618675,-104.902397,granted,7400 East Crestline Circle,Suite 100,Greenwood Village,CO,80111,USA,,,,ct,www.google.com/search?q=Advanced+ENT+and+Allergy+Center,Advanced ENT and Allergy Center Greenwood Village,"Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,Albert Vein Institute,39.545352,-104.870518,granted,9400 Station Street,Suite 200,Lonetree,CO,80124,USA,,www.albertvein.com,,vascular,,Albert Vein Institute Lonetree,,,,,,,,,"Apr 30, 2025",Peripheral Venous Testing,,,,,,,,,,,,,,
3,4,Albert Vein Institute,38.986822,-104.806918,multigranted,10807 New Allegiance Drive,Suite 450,Colorado Spring,CO,80921,USA,,www.albertvein.com,,"vein_center, vascular",,Albert Vein Institute Colorado Spring,,,,,,,,,"Apr 30, 2025",Peripheral Venous Testing,,,,,,,"Jun 30, 2024",Superficial Venous Evaluation and Management,,,,,,
4,5,"Alpine Ear, Nose and Throat PC",40.432634,-105.078838,granted,3820 North Grant Ave,,Loveland,CO,80538,USA,,,,ct,"www.google.com/search?q=Alpine+Ear,+Nose+and+Throat+PC","Alpine Ear, Nose and Throat PC Loveland","Dec 30, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,"Alpine Surgical, LLC",40.014807,-105.236406,granted,"4743 Arapahoe Avenue, Ste 102",,Boulder,CO,80303,USA,,www.boulderveins.com,,vascular,,"Alpine Surgical, LLC Boulder",,,,,,,,,"Jun 30, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
6,7,"American Vein and Vascular Institute, Canon City",38.438365,-105.230946,granted,109 Latigo Lane,Suite D,Canon City,CO,81212,USA,,,,vascular,"www.google.com/search?q=American+Vein+and+Vascular+Institute,+Canon+City","American Vein and Vascular Institute, Canon City Canon City",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
7,8,"American Vein and Vascular Institute, Colorado Springs",38.829348,-104.794904,granted,"175 S. Union Blvd, Suite 200",,Colorado Springs,CO,80910,USA,,americanvein.com,,vascular,,"American Vein and Vascular Institute, Colorado Springs Colorado Springs",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
8,9,"American Vein and Vascular Institute, Fort Collins",40.519737,-105.042874,granted,1915 Wilmington Dr,Suite 100,Fort Collins,CO,80528,USA,,americanvein.com,,vascular,,"American Vein and Vascular Institute, Fort Collins Fort Collins",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
9,10,"American Vein and Vascular Institute, Highlands Ranch",39.558935,-104.991896,granted,"300 Plaza Drive, Suite 205",,Littleton,CO,80129,USA,,americanvein.com,,vascular,,"American Vein and Vascular Institute, Highlands Ranch Littleton",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
10,11,"American Vein and Vascular Institute, Parker",39.554039,-104.770345,granted,19284 Cottonwood Drive,Suite 204,Parker,CO,80138,USA,,,,vascular,"www.google.com/search?q=American+Vein+and+Vascular+Institute,+Parker","American Vein and Vascular Institute, Parker Parker",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
11,12,"American Vein and Vascular Institute, Pueblo Riverwalk",38.265526,-104.611827,granted,115 E. Riverwalk,Suite 200,Pueblo,CO,81003,USA,,www.americanvein.com,,vascular,,"American Vein and Vascular Institute, Pueblo Riverwalk Pueblo",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
12,13,"American Vein and Vascular Institute, Vail Valley",39.643564,-106.59579,granted,105 Edwards Village Blvd C202,,Edwards,CO,81632,USA,,www.americanvein.com,,vascular,,"American Vein and Vascular Institute, Vail Valley Edwards",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
13,14,"American Vein and Vascular Institute, Westminster",39.898463,-104.996642,granted,11150 Huron Street,Suite 212,Northglenn,CO,80234,USA,,americanvein.com,,vascular,,"American Vein and Vascular Institute, Westminster Northglenn",,,,,,,,,"Oct 31, 2023",Peripheral Venous Testing,,,,,,,,,,,,,,
14,15,Associates of Otolaryngology,39.671293,-104.977948,granted,850 East Harvard Avenue,Suite 505,Denver,CO,80210,USA,,,,ct,www.google.com/search?q=Associates+of+Otolaryngology,Associates of Otolaryngology Denver,"Aug 31, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
15,16,Aurora Denver Cardiology Associates,39.746083,-104.967888,granted,1601 E. 19th Avenue,Suite 5000,Denver,CO,80218,USA,,adca.biz,,vascular,,Aurora Denver Cardiology Associates Denver,,,,,,,,,"Nov 30, 2023",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
16,17,Aurora Denver Cardiology Associates,39.690499,-104.831155,granted,1444 S. Potomac,,Aurora,CO,80012,USA,,www.auroramed.com,,echo,,Aurora Denver Cardiology Associates Aurora,,,"Jan 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
