,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Cardiovascular Specialists,41.19246,-73.165205,granted,439 Mill Hill Avenue,,Bridgeport,CT,06610,USA,,,,echo,www.google.com/search?q=Advanced+Cardiovascular+Specialists,Advanced Cardiovascular Specialists Bridgeport,,,"Feb 28, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,Advanced Cardiovascular Specialists P.C.,41.19246,-73.165205,granted,439 Mill Hill Avenue,,Bridgeport,CT,06610,USA,,www.advcardiovascular.com,,nuclear,,Advanced Cardiovascular Specialists P.C. Bridgeport,,,,,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
2,3,"American Diagnostics Services, Inc. - Northeast",41.874765,-70.946167,granted,460 Smith Street,,Middletown,CT,06457,USA,,,,echo,"www.google.com/search?q=American+Diagnostics+Services,+Inc.+-+Northeast","American Diagnostics Services, Inc. - Northeast Middletown",,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Bridgeport Hospital Echocardiography Laboratory,41.188776,-73.16608,granted,267 Grant Street,,Bridgeport,CT,06610,USA,,www.bridgeporthospital.org,,echo,,Bridgeport Hospital Echocardiography Laboratory Bridgeport,,,"May 31, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,Bridgeport Hospital Heart Center-Cardiac Specialists,41.410949,-73.43569,multigranted,25 Germantown Rd,,Danbury,CT,06810,USA,,www.cardiacspecialists.com,,"nuclear, vascular, echo",,Bridgeport Hospital Heart Center-Cardiac Specialists Danbury,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,"Jan 29, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging","Jul 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
5,6,Bridgeport Hospital Heart Center-Cardiac Specialists,41.142632,-73.25526,multigranted,1305 Post Road,Lower Level,Fairfield,CT,06824,USA,,,,"nuclear, vascular, echo",www.google.com/search?q=Bridgeport+Hospital+Heart+Center-Cardiac+Specialists,Bridgeport Hospital Heart Center-Cardiac Specialists Fairfield,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,"Jan 29, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging","Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
6,7,Bridgeport Hospital Heart Center-Cardiac Specialists,41.230056,-73.153796,multigranted,999 Silver Lane,,Trumbull,CT,06611,USA,,,,"nuclear, vascular, echo",www.google.com/search?q=Bridgeport+Hospital+Heart+Center-Cardiac+Specialists,Bridgeport Hospital Heart Center-Cardiac Specialists Trumbull,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,"Jan 29, 2023",Myocardial Perfusion Imaging,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
7,8,Bridgeport Hospital Heart Center-Cardiac Specialists,41.229399,-73.047103,multigranted,20 Commerce park,,Milford,CT,06460,USA,,,,"nuclear, echo",www.google.com/search?q=Bridgeport+Hospital+Heart+Center-Cardiac+Specialists,Bridgeport Hospital Heart Center-Cardiac Specialists Milford,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,"Jan 29, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,Bridgeport Hospital Heart Center-Cardiac Specialists,41.283787,-73.495908,granted,30 Prospect Street,Suite 200,Ridgefield,CT,06877,USA,,www.cardiacspecialists.com,,echo,,Bridgeport Hospital Heart Center-Cardiac Specialists Ridgefield,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Bristol Hospital,41.676078,-72.934878,granted,Brewster Rd.,,Bristol,CT,06011,USA,,www.bristolhospital.org,,echo,,Bristol Hospital Bristol,,,"Mar 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
