,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,All Heart Medical Center,38.899458,-76.979872,granted,1647 Benning Road Ne Suite 201,,Washington,DC,20002,USA,,,,nuclear,www.google.com/search?q=All+Heart+Medical+Center,All Heart Medical Center Washington,,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,"Amjad M. Rasul, MD, PA",38.942876,-76.991533,granted,1160 Varnum Street,Suite 114,Washington,DC,20017,USA,,,,nuclear,"www.google.com/search?q=Amjad+M.+Rasul,+MD,+PA","Amjad M. Rasul, MD, PA Washington",,,,,,,"May 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,"Capital Cardiology Consultants, P.C. Imaging Center",38.942876,-76.991533,granted,1160 Varnum Street,Suite 100,Washington,DC,20017,USA,,www.capcardiology.com,,echo,,"Capital Cardiology Consultants, P.C. Imaging Center Washington",,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Capital Cardiology Consultants, PC",38.931164,-77.013078,granted,106 Irving Street NW,Suite 3200N,Washington,DC,20010,USA,,,,echo,"www.google.com/search?q=Capital+Cardiology+Consultants,+PC","Capital Cardiology Consultants, PC Washington",,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,"Capital Cardiology Consultants, Pc",38.931164,-77.013078,granted,106 Irving Street Nw,Suite 3200n,Washington,DC,20010,USA,,,,nuclear,"www.google.com/search?q=Capital+Cardiology+Consultants,+Pc","Capital Cardiology Consultants, Pc Washington",,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Capitol Breathe Free Sinus and Allergy Centers,38.902652,-77.045802,granted,"2021 K Street, NW 206",,Washington,DC,20006,USA,,www.capitolbreathefree.com/,,ct,,Capitol Breathe Free Sinus and Allergy Centers Washington,"May 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
6,7,"Captial Cardiovascular Specialists, PLLC",38.905261,-77.050706,granted,"2311 M Street NW, Suite 101",,Washington,DC,20037,USA,,shawn.howellccspllc.com,,echo,,"Captial Cardiovascular Specialists, PLLC Washington",,,"Jun 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
7,8,"Cardiology Associates, LLC",38.931164,-77.013078,granted,"106 Irving Street, NW",Suite 4800 N,Washington,DC,20010,USA,,,,echo,"www.google.com/search?q=Cardiology+Associates,+LLC","Cardiology Associates, LLC Washington",,,"Jun 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Children’s National Hospital,38.926273,-77.01388,granted,"111 Michigan Avenue, NW",,Washington,DC,20010,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+National+Hospital,Children’s National Hospital Washington,,,,,,,,,,,"Jul 31, 2023","Pediatric Transesophageal, Pediatric Transthoracic, Fetal",,,,,,,,,,,,
9,10,Fishman Allergy and Asthma,38.902652,-77.045802,granted,"2021 K Street, NW",Suite 400,Washington,DC,20006,USA,,,,ct,www.google.com/search?q=Fishman+Allergy+and+Asthma,Fishman Allergy and Asthma Washington,"Jan 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
