,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,A.I. DuPont Hospital for Children,39.745947,-75.546589,granted,1600 Rockland Road,,Wilmington,DE,19899,USA,,nemours.org,,cardiovascular_catheterization,,A.I. DuPont Hospital for Children Wilmington,,,,,,,,,,,,,,,,,,,,,"Nov 30, 2024",Pediatric Cardiovascular Catheterization,,
1,2,Alfieri Cardiology Nuclear Laboratory,39.692395,-75.67705,granted,G-39 Omega Drive,,Newark,DE,19713,USA,,www.alfiericardiology.com,,nuclear,,Alfieri Cardiology Nuclear Laboratory Newark,,,,,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,"Alfieri Cardiology, P.A.",39.692395,-75.67705,multigranted,G-39 Omega Drive,,Newark,DE,19713,USA,,www.alfiericardiology.com,,"vascular, vein_center",,"Alfieri Cardiology, P.A. Newark",,,,,,,,,"Oct 31, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,"Apr 30, 2023",Superficial Venous Evaluation and Management,,,,,,
3,4,"Alfieri Cardiology, PA",39.692395,-75.67705,granted,G-39 Omega Drive,,Newark,DE,19713,USA,,www.alfiericardiology.com,,echo,,"Alfieri Cardiology, PA Newark",,,"Nov 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,"Aspirian Open MRI of Southern Delaware, LLC",38.744155,-75.149982,granted,"34435 King Street Row, Suite 2",,Lewes,DE,19958,USA,,,,mr,"www.google.com/search?q=Aspirian+Open+MRI+of+Southern+Delaware,+LLC","Aspirian Open MRI of Southern Delaware, LLC Lewes",,,,,"Dec 30, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
5,6,Bayhealth Cardiac Diagnostic Center - Dover,39.15874,-75.546563,multigranted,540 South Governors Ave.,Suite 201,Dover,DE,19904,USA,,www.bayhealth.org,,"nuclear, echo, vascular",,Bayhealth Cardiac Diagnostic Center - Dover Dover,,,"Sep 30, 2023",Adult Transthoracic,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging","Dec 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
6,7,Bayhealth Cardiac Diagnostic Center - Milford,38.923124,-75.436304,multigranted,802 North DuPont Blvd,,Milford,DE,19963,USA,,www.bayhealth.org,,"nuclear, echo, vascular",,Bayhealth Cardiac Diagnostic Center - Milford Milford,,,"Sep 30, 2023",Adult Transthoracic,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging","Dec 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
7,8,Bayhealth Heart and Vascular Cardiac Diagnostic Center,39.171778,-75.577313,multigranted,"200 Banning Street, Suite 340",Eden Hill Medical Center,Dover,DE,19904,USA,,Bayhealth.org,,"echo, vascular, nuclear",,Bayhealth Heart and Vascular Cardiac Diagnostic Center Dover,,,"Dec 31, 2022",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Jan 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
8,9,Bayhealth Medical Center - Kent General Hospital,39.150149,-75.522347,granted,640 South State Street,,Dover,DE,19901,USA,,www.bayhealth.org,,echo,,Bayhealth Medical Center - Kent General Hospital Dover,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Bayhealth Medical Center - Sussex Campus,38.905855,-75.432714,granted,100 Wellness Way,,Milford,DE,19963,USA,,,,echo,www.google.com/search?q=Bayhealth+Medical+Center+-+Sussex+Campus,Bayhealth Medical Center - Sussex Campus Milford,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
