,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"21st Century Oncology, Inc.",26.587338,-81.881205,granted,39 Barkley Circle,,Fort Myers,FL,33907,USA,,www.entfl.com,,ct,,"21st Century Oncology, Inc. Fort Myers","Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,"3033 Winkler Avenue, LLC",26.60459,-81.84955,granted,3033 Winkler Avenue,Suite #100,Fort Myers,FL,33916,USA,,,,mr,"www.google.com/search?q=3033+Winkler+Avenue,+LLC","3033 Winkler Avenue, LLC Fort Myers",,,,,"Jan 29, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
2,3,A1 Imaging of Aventura,25.946476,-80.148634,granted,20880 West Dixie Highway,Suite 111,North Miami Beach,FL,33180,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Aventura,A1 Imaging of Aventura North Miami Beach,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI, Breast MRI",,,,,,,,,,,,,,,,,,
3,4,A1 Imaging of Cape Coral,26.633945,-81.94074,granted,1003 Del Prado Blvd. South,Suite 103,Cape Coral,FL,33990,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Cape+Coral,A1 Imaging of Cape Coral Cape Coral,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
4,5,A1 Imaging of Deerfield,26.317874,-80.129616,granted,1890 West Hillsboro Boulevard,,Deerfield Beach,FL,33442,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Deerfield,A1 Imaging of Deerfield Deerfield Beach,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
5,6,A1 Imaging of Ft. Lauderdale,26.190982,-80.11406,granted,5100 N. Federal Highway,Suite 102,Ft. Lauderdale,FL,33308,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Ft.+Lauderdale,A1 Imaging of Ft. Lauderdale Ft. Lauderdale,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
6,7,A1 Imaging of Ocala,29.171679,-82.133905,granted,301 SE 17th Street,Unit 102,Ocala,FL,34471,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Ocala,A1 Imaging of Ocala Ocala,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
7,8,A1 Imaging of Orange Park,30.164972,-81.729422,granted,1566 Kingsley Avenue,,Orange Park,FL,32073,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Orange+Park,A1 Imaging of Orange Park Orange Park,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI, Breast MRI",,,,,,,,,,,,,,,,,,
8,9,A1 Imaging of Pembroke Pines,26.008959,-80.252202,granted,8384 Pines Boulevard,,Pembroke Pines,FL,33024,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Pembroke+Pines,A1 Imaging of Pembroke Pines Pembroke Pines,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI, Breast MRI",,,,,,,,,,,,,,,,,,
9,10,A1 Imaging of Plantation,26.122012,-80.252841,granted,150 North University Drive,Suite 110,Plantation,FL,33324,USA,,,,mr,www.google.com/search?q=A1+Imaging+of+Plantation,A1 Imaging of Plantation Plantation,,,,,"Jun 30, 2025","Musculoskeletal MRI, Neurological MRI, Breast MRI",,,,,,,,,,,,,,,,,,
