,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Advanced Ear, Nose, and Throat Associates, PC",33.907812,-84.355764,granted,"960 Johnson Ferry Road, NE",Suite 200,Atlanta,GA,30342,USA,,www.Advancedentpc.com,,ct,,"Advanced Ear, Nose, and Throat Associates, PC Atlanta","Apr 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,Advanced Medical Associates,32.558544,-83.662114,granted,1282 South Houston Lake Road,,Warner Robins,GA,31088,USA,,www.advamed.org/,,nuclear,,Advanced Medical Associates Warner Robins,,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,"Albany Ear, Nose, Throat, Sinus and Allergy",31.609356,-84.225756,granted,605 Pointe North Blvd,,Albany,GA,31721,USA,,www.albanyent.org,,ct,,"Albany Ear, Nose, Throat, Sinus and Allergy Albany","Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
3,4,"Alpharetta Cardiology, LLC",34.06863,-84.264423,granted,3400 C Old Milton Parkway,Suite 325,Alpharetta,GA,30005,USA,,www.marleneblaisemd.com,,nuclear,,"Alpharetta Cardiology, LLC Alpharetta",,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Alpharetta Facility,34.060854,-84.248459,granted,3905 Brookside Parkway,Sutie 202,Alpharetta,GA,30022,USA,,,,echo,www.google.com/search?q=Alpharetta+Facility,Alpharetta Facility Alpharetta,,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,"American Health Imaging of Augusta, LLC",33.484975,-82.092498,multigranted,1211 West Medical Park Drive,,Augusta,GA,30909,USA,,www.americanhealthimaging.com/location/augusta-ga/,,"ct, mr",,"American Health Imaging of Augusta, LLC Augusta","Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
6,7,"American Health Imaging of Brunswick, LLC",31.18767,-81.470326,multigranted,1103 Fountain Lake Dr,,Brunswick,GA,31525,USA,,www.americanhealthimaging.com/location/brunswick-ga/,,"ct, mr",,"American Health Imaging of Brunswick, LLC Brunswick","Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
7,8,American Health Imaging of Canton,34.260158,-84.466011,multigranted,100 Liberty Blvd. Suite 100,,Canton,GA,30114,USA,,www.americanhealthimaging.com/location/canton-ga/,,"ct, mr",,American Health Imaging of Canton Canton,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
8,9,"American Health Imaging of Cumming, LLC",34.173279,-84.129852,multigranted,1050 Haw Creek Parkway,Suite 100,Cumming,GA,30041,USA,,www.americanhealthimaging.com,,"ct, mr",,"American Health Imaging of Cumming, LLC Cumming","Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
9,10,"American Health Imaging of Decatur, LLC",33.792962,-84.280163,multigranted,2774 North Decatur Rd,,Decatur,GA,30033,USA,,www.americanhealthimaging.com/location/decatur-ga/,,"ct, mr",,"American Health Imaging of Decatur, LLC Decatur","Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | Breast MRI, MRA",,,,,,,,,,,,,,,,,,
