,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Cardiology Associates, Inc.",21.307005,-157.852228,granted,98-1079 Moanalua Rd.,rm 200,Aiea,HI,96701,USA,,www.cardiologyassociateshi.com,,nuclear,,"Cardiology Associates, Inc. Aiea",,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Don T Matsuura MD Inc,19.708806,-155.078499,granted,1248 Kinoole Street,Suite 104,Hilo,HI,96720,USA,,,,echo,www.google.com/search?q=Don+T+Matsuura+MD+Inc,Don T Matsuura MD Inc Hilo,,,"Aug 31, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,"Edward N. Shen, M.D., Inc.",21.308636,-157.852901,granted,1380 Lusitana Street,Suite 701,Honolulu,HI,96813,USA,,,,echo,"www.google.com/search?q=Edward+N.+Shen,+M.D.,+Inc.","Edward N. Shen, M.D., Inc. Honolulu",,,"Jul 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Kaiser Noninvasive Vascular Laboratory,21.363251,-157.901077,granted,3288 Moanalua Road,,Honolulu,HI,96819,USA,,,,vascular,www.google.com/search?q=Kaiser+Noninvasive+Vascular+Laboratory,Kaiser Noninvasive Vascular Laboratory Honolulu,,,,,,,,,"Dec 31, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
4,5,Kapiolani Medical Center for Women and Children,21.300347,-157.834276,granted,1319 Punahou Street,,Honolulu,HI,96826,USA,,,,pediatric_echo,www.google.com/search?q=Kapiolani+Medical+Center+for+Women+and+Children,Kapiolani Medical Center for Women and Children Honolulu,,,,,,,,,,,"Aug 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
5,6,Marian Medical Honolulu,21.307005,-157.852228,granted,1329 Lusitana St.,Suite B-9,Honolulu,HI,96813,USA,,,,nuclear,www.google.com/search?q=Marian+Medical+Honolulu,Marian Medical Honolulu Honolulu,,,,,,,"Oct 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,"Moanalua Pediatric, Congenital, and Fetal Cardiology Clinic",21.363251,-157.901077,granted,3288 Moanalua Road,,Honolulu,HI,96819,USA,,,,pediatric_echo,"www.google.com/search?q=Moanalua+Pediatric,+Congenital,+and+Fetal+Cardiology+Clinic","Moanalua Pediatric, Congenital, and Fetal Cardiology Clinic Honolulu",,,,,,,,,,,"Dec 31, 2024","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
7,8,"Pacific Cardiology, LLC",21.307005,-157.852228,granted,"1329 Lusitana St, Suite 305",,Honolulu,HI,96813,USA,,,,echo,"www.google.com/search?q=Pacific+Cardiology,+LLC","Pacific Cardiology, LLC Honolulu",,,"Jan 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Pali Momi Medical Center,21.383779,-157.937582,granted,98-1079 Moanalua Road,,Aiea,HI,96701,USA,,,,echo,www.google.com/search?q=Pali+Momi+Medical+Center,Pali Momi Medical Center Aiea,,,"Oct 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,QHI Advanced Heart Failure,21.306063,-157.854513,granted,550 So. Beretania St. Suite 610,,Honolulu,HI,96813,USA,,,,echo,www.google.com/search?q=QHI+Advanced+Heart+Failure,QHI Advanced Heart Failure Honolulu,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,QHI Aiea,21.389095,-157.95346,granted,98-1247 Kaahumanu St Suite 208,,Aiea,HI,96701,USA,,,,echo,www.google.com/search?q=QHI+Aiea,QHI Aiea Aiea,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
