,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Vascular and Vein Center,40.753639,-95.369106,granted,300 Pershing Ave,,Shenandoah,IA,51601,USA,,,,vascular,www.google.com/search?q=Advanced+Vascular+and+Vein+Center,Advanced Vascular and Vein Center Shenandoah,,,,,,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
1,2,Advanced Vascular and Vein Center,41.02654,-95.213919,granted,2301 Eastern Ave,,Red Oak,IA,51566,USA,,,,vascular,www.google.com/search?q=Advanced+Vascular+and+Vein+Center,Advanced Vascular and Vein Center Red Oak,,,,,,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Buena Vista County Hospital,42.644354,-95.223059,granted,1525 West 5th Street,,Storm Lake,IA,50588,USA,,,,echo,www.google.com/search?q=Buena+Vista+County+Hospital,Buena Vista County Hospital Storm Lake,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,Burgess Health Center,42.025739,-96.105586,granted,1600 Diamond Street,,Onawa,IA,51040,USA,,BURGESSBURGESSHC.ORG,,echo,,Burgess Health Center Onawa,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,"Burlington Ear Nose and Throat Clinic, PC",40.807195,-91.170279,granted,1225 S Gear Ave. Ste 255,,West Burlington,IA,52655,USA,,www.burlingtonent.com,,ct,,"Burlington Ear Nose and Throat Clinic, PC West Burlington","Mar 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,"Cardiovascular Medicine, PC",41.538724,-90.559095,multigranted,1236 East Rusholme 300,,Davenport,IA,52803,USA,,,,"echo, vascular, nuclear","www.google.com/search?q=Cardiovascular+Medicine,+PC","Cardiovascular Medicine, PC Davenport",,,"Sep 30, 2023",Adult Transthoracic,,,"May 31, 2025","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging, Positron Emission Tomography (PET)","Mar 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
6,7,Cherokee Regional Hospital,42.759282,-95.546962,granted,300 Valley Drive,,Cherokee,IA,51012,USA,,,,echo,www.google.com/search?q=Cherokee+Regional+Hospital,Cherokee Regional Hospital Cherokee,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,CHI Health Mercy,41.269636,-95.838201,multigranted,800 Mercy Dr.,,Council Bluffs,IA,51503,USA,,,,"vascular, echo",www.google.com/search?q=CHI+Health+Mercy,CHI Health Mercy Council Bluffs,,,"Apr 30, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Nov 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
8,9,"Dubuque Orthopaedic Surgeons, PC",42.497616,-90.685692,granted,1500 Delhi St Ste 4200,,Dubuque,IA,52001,USA,,www.dubuqueorthosurgeons.com,,mr,,"Dubuque Orthopaedic Surgeons, PC Dubuque",,,,,"May 31, 2024",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
9,10,"ENT Clinic of Iowa, PC",41.594182,-93.74434,granted,2600 Westown Parkway,Ste 360,West Des Moines,IA,50266,USA,,,,ct,"www.google.com/search?q=ENT+Clinic+of+Iowa,+PC","ENT Clinic of Iowa, PC West Des Moines","Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
10,11,Floyd Valley Hospital,42.79728,-96.15599,granted,714 Lincoln Street NE,,Lemars,IA,51031,USA,,,,echo,www.google.com/search?q=Floyd+Valley+Hospital,Floyd Valley Hospital Lemars,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
11,12,Genesis Medical Center,41.542837,-90.556958,granted,1227 E. Rusholme Street,,Davenport,IA,52803,USA,,,,echo,www.google.com/search?q=Genesis+Medical+Center,Genesis Medical Center Davenport,,,"Aug 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
12,13,Genesis Medical Center,41.825795,-90.547286,granted,1118 11th Street,,DeWitt,IA,52742,USA,,,,echo,www.google.com/search?q=Genesis+Medical+Center,Genesis Medical Center DeWitt,,,"Aug 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,GHG Vascular Specialists,41.55693,-90.51659,granted,1230 East Rusholme Street,"Medical Office Building 2, Suite 303",Davenport,IA,52803,USA,,,,vascular,www.google.com/search?q=GHG+Vascular+Specialists,GHG Vascular Specialists Davenport,,,,,,,,,"Feb 28, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
14,15,Grand River Medical Group,42.49738,-90.685999,granted,1515 Delhi Street,Suite 100,Dubuque,IA,52001,USA,,,,echo,www.google.com/search?q=Grand+River+Medical+Group,Grand River Medical Group Dubuque,,,"Jan 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
15,16,Greater Community Hospital,34.732323,-112.027798,granted,Cottonwood & Townline,,Creston,IA,50801,USA,,,,vascular,www.google.com/search?q=Greater+Community+Hospital,Greater Community Hospital Creston,,,,,,,,,"Jan 31, 2024",Peripheral Arterial Testing,,,,,,,,,,,,,,
16,17,Greene County Medial Center,42.015264,-94.387101,multigranted,1000 West Lincolnway,,Jefferson,IA,50129,USA,,,,"echo, vascular",www.google.com/search?q=Greene+County+Medial+Center,Greene County Medial Center Jefferson,,,"Mar 01, 2023",Adult Transthoracic,,,,,"Jan 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
17,18,Guthrie County Hospital- Guthrie Center,41.677768,-94.494495,multigranted,10 North 12th Street,,Guthrie Center,IA,50115,USA,,,,"echo, vascular",www.google.com/search?q=Guthrie+County+Hospital-+Guthrie+Center,Guthrie County Hospital- Guthrie Center Guthrie Center,,,"Mar 01, 2023",Adult Transthoracic,,,,,"Jan 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
18,19,Horn Memorial,42.341031,-95.460763,granted,East 2nd Street,,Ida Gove,IA,51445,USA,,,,echo,www.google.com/search?q=Horn+Memorial,Horn Memorial Ida Gove,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
19,20,"Humboldt County Memorial Hospital, Humboldt, Ia.",42.731835,-94.230216,multigranted,1000 North 15th Street,,Humboldt,IA,50548,USA,,www.humboldthospital.org,,"echo, vascular",,"Humboldt County Memorial Hospital, Humboldt, Ia. Humboldt",,,"Jul 31, 2023",Adult Transthoracic,,,,,"Aug 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
20,21,Iowa City Veterans Affairs Health Care System,41.6970871,-91.6211923,granted,601 Highway 6 West,,Iowa City,IA,52246,USA,,,,vascular,www.google.com/search?q=Iowa+City+Veterans+Affairs+Health+Care+System,Iowa City Veterans Affairs Health Care System Iowa City,,,,,,,,,"Jun 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
21,22,Iowa ENT Center PLLC,41.570568,-93.75181,granted,105 Valley West Dr,,West Des Moines,IA,50265,USA,,,,ct,www.google.com/search?q=Iowa+ENT+Center+PLLC,Iowa ENT Center PLLC West Des Moines,"Aug 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
22,23,Iowa Heart Center,41.027492,-92.38924,granted,1005 Pennsylvania Avenue,Suite 207,Ottumwa,IA,52501,USA,,,,nuclear,www.google.com/search?q=Iowa+Heart+Center,Iowa Heart Center Ottumwa,,,,,,,"Mar 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
23,24,Iowa Heart Center,42.490252,-94.191358,granted,800 Kenyon Road,,Ft Dodge,IA,50501,USA,,www.iowaheart.com,,nuclear,,Iowa Heart Center Ft Dodge,,,,,,,"Mar 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
24,25,Iowa Heart Center,42.049181,-92.906678,granted,312 East Main Street,Suite 2100,Marshalltown,IA,50158,USA,,www.iowaheart.com,,nuclear,,Iowa Heart Center Marshalltown,,,,,,,"Mar 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
25,26,Iowa Heart Center,42.035405,-93.58843,granted,1816 Philadelphia Street,,Ames,IA,50010,USA,,www.iowaheart.com,,nuclear,,Iowa Heart Center Ames,,,,,,,"Mar 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
26,27,Iowa Heart Center,42.055681,-94.867425,granted,405 S Clark Street,Suite 205,Carroll,IA,51401,USA,,www.iowaheart.com,,nuclear,,Iowa Heart Center Carroll,,,,,,,"Mar 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
27,28,Iowa Heart Center Ames,42.035405,-93.58843,multigranted,1816 Philadelphia,,Ames,IA,50010,USA,,,,"echo, vascular",www.google.com/search?q=Iowa+Heart+Center+Ames,Iowa Heart Center Ames Ames,,,"May 31, 2024","Adult Stress, Adult Transthoracic",,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing, Screening",,,,,,,,,,,,,,
28,29,Iowa Heart Center at Fort Dodge,42.490252,-94.191358,multigranted,800 Kenyon Road,,Fort Dodge,IA,50501,USA,,,,"echo, vascular",www.google.com/search?q=Iowa+Heart+Center+at+Fort+Dodge,Iowa Heart Center at Fort Dodge Fort Dodge,,,"May 31, 2024",Adult Transthoracic,,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing, Screening",,,,,,,,,,,,,,
