,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Idaho Heart Institute,43.470809,-111.988464,granted,2985 Cortez Avenue,,Idaho Falls,ID,83404,USA,,,,nuclear,www.google.com/search?q=Idaho+Heart+Institute,Idaho Heart Institute Idaho Falls,,,,,,,"Sep 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Kootenai Health Heart Center,47.694597,-116.792669,granted,2003 Kootenai Health Way,,Coeur d’Alene,ID,83814,,,www.kh.org,,echo,,Kootenai Health Heart Center Coeur d’Alene,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Kootenai Heart Clinics,47.715994,-116.928785,multigranted,"1300 N. Mullan Avenue, Suite 900",,Post Falls,ID,83854,USA,,,,"echo, vascular",www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Post Falls,,,"Feb 28, 2023",Adult Transthoracic,,,,,"Sep 30, 2023",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
3,4,Kootenai Heart Clinics,47.547123,-116.131409,granted,25 Jacob’s Gulch Road,,Kellogg,ID,83837,USA,,,,echo,www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Kellogg,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,Kootenai Heart Clinics,47.694469,-116.792665,multigranted,700 Ironwood Drive,Suite 320,Coeur d’Alene,ID,83814,USA,,,,"echo, vascular",www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Coeur d’Alene,,,"Feb 28, 2023",Adult Transthoracic,,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
5,6,Kootenai Heart Clinics,48.70257,-116.322084,granted,6640 Kaniksu Street,,Bonners Ferry,ID,83805,USA,,,,echo,www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Bonners Ferry,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,Kootenai Heart Clinics,47.694469,-116.792665,granted,700 Ironwood Drive,Suite 320,Coeur dAlene,ID,83814,USA,,,,nuclear,www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Coeur dAlene,,,,,,,"Oct 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Kootenai Heart Clinics,48.278258,-116.550314,multigranted,423 North 3rd Avenue,Suite 355,Sandpoint,ID,83864,USA,,,,"echo, vascular",www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics Sandpoint,,,"Feb 28, 2023",Adult Transthoracic,,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
8,9,Kootenai Heart Clinics,47.314613,-116.566678,granted,229 South 7th Street,,St. Maries,ID,83861,USA,,,,echo,www.google.com/search?q=Kootenai+Heart+Clinics,Kootenai Heart Clinics St. Maries,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"Medical Oncology Associates, PS",47.7144,-116.922827,granted,1641 E Polston Ave 102,,Post Falls,ID,83854,USA,,www.summitcancercenters.com,,ct,,"Medical Oncology Associates, PS Post Falls","May 31, 2024",Body CT,,,,,,,,,,,,,,,,,,,,,,
10,11,MultiCare Pulse Advanced Cardiac Imaging,47.695894,-116.798573,multigranted,980 W. Ironwood Dr. Suite 204,,Coeur d’Alene,ID,83814,USA,,,,"nuclear, echo",www.google.com/search?q=MultiCare+Pulse+Advanced+Cardiac+Imaging,MultiCare Pulse Advanced Cardiac Imaging Coeur d’Alene,,,"Jan 31, 2024","Adult Stress, Adult Transthoracic",,,"Dec 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
11,12,Portneuf Medical Center - Idaho Vein Center,42.877617,-112.418143,multigranted,444 Hospital Way,Suite 777,Pocatello,ID,83201,USA,,,,"vascular, vein_center",www.google.com/search?q=Portneuf+Medical+Center+-+Idaho+Vein+Center,Portneuf Medical Center - Idaho Vein Center Pocatello,,,,,,,,,"Jul 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,"Sep 30, 2024",Superficial Venous Evaluation and Management,,,,,,
12,13,Providence Spokane Heart Institute- Spokane Cardiology,46.397883,-117.021055,granted,2315 8th Street,,Lewiston,ID,83501,USA,,,,echo,www.google.com/search?q=Providence+Spokane+Heart+Institute-+Spokane+Cardiology,Providence Spokane Heart Institute- Spokane Cardiology Lewiston,,,"Mar 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,Saint Alphonsus Medical Group Heart Care,43.614576,-116.257343,granted,6140 Curtisian Ste 200,,Boise,ID,83704,USA,,www.saintalphonsus.org/,,nuclear,,Saint Alphonsus Medical Group Heart Care Boise,,,,,,,"Aug 31, 2023","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
