,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Accelerated Open Mri and Imaging Ltd,41.515931,-87.851482,granted,9645 Lincoln Way Lane,,Frankfort,IL,60423,USA,,,,mr,www.google.com/search?q=Accelerated+Open+Mri+and+Imaging+Ltd,Accelerated Open Mri and Imaging Ltd Frankfort,,,,,"Dec 31, 2024","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
1,2,Advanced Foot and Ankle of Joliet,41.515043,-88.169331,granted,350 Houbolt Rd,104,Joliet,IL,60431,USA,,,,mr,www.google.com/search?q=Advanced+Foot+and+Ankle+of+Joliet,Advanced Foot and Ankle of Joliet Joliet,,,,,"Dec 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
2,3,Advanced Heart Care,38.576057,-89.984808,granted,5020 N. Illinois,,Fairview Heights,IL,62208,USA,,www.advancedheartcare.com,,nuclear,,Advanced Heart Care Fairview Heights,,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
3,4,"Advanced Heart Care, LLC",38.576057,-89.984808,granted,5020 N Illinois,,Fairview Heights,IL,62208,USA,,,,echo,"www.google.com/search?q=Advanced+Heart+Care,+LLC","Advanced Heart Care, LLC Fairview Heights",,,"Sep 30, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,"Advanced Heart Care, LLC",38.550325,-90.023213,granted,4600 Memorial Drive,Suite B220,Belleville,IL,62226,USA,,"ADVANCED HEART CARE,LLC",,echo,,"Advanced Heart Care, LLC Belleville",,,"Sep 30, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
5,6,"Advanced Heart Group, SC",41.606277,-87.660078,multigranted,71 West 156th Street,Suite 305,Harvey,IL,60426,USA,,,,"echo, nuclear","www.google.com/search?q=Advanced+Heart+Group,+SC","Advanced Heart Group, SC Harvey",,,"Jan 31, 2023",Adult Transthoracic,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,"Advanced Heart Group, SC",41.614242,-87.79447,multigranted,15255 S. Harlem Ave. Building B,,Orland Park,IL,60462,USA,,,,"echo, nuclear","www.google.com/search?q=Advanced+Heart+Group,+SC","Advanced Heart Group, SC Orland Park",,,"Jan 31, 2023",Adult Transthoracic,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Advanced Mobile Diagnostics at the Cottage Hospital Peripheral Vascular Laboratory,40.946143,-90.306887,granted,Cardiac Rehab Services 4th Floor,695 Kellogg Street,Galesburg,IL,61401,USA,,,,vascular,www.google.com/search?q=Advanced+Mobile+Diagnostics+at+the+Cottage+Hospital+Peripheral+Vascular+Laboratory,Advanced Mobile Diagnostics at the Cottage Hospital Peripheral Vascular Laboratory Galesburg,,,,,,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
8,9,Advanced Mobile Diagnostics Peripheral Vascular Laboratory,40.781605,-89.602581,granted,7725 N Knoxville Ave,,Peoria,IL,61614,USA,,,,vascular,www.google.com/search?q=Advanced+Mobile+Diagnostics+Peripheral+Vascular+Laboratory,Advanced Mobile Diagnostics Peripheral Vascular Laboratory Peoria,,,,,,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
9,10,Advanced Sinus and Allergy SC,41.987018,-87.840421,granted,1030 W. Higgins Rd,Suite 325,Park Ridge,IL,60068,USA,,www.advancedsinusandallergy.com,,ct,,Advanced Sinus and Allergy SC Park Ridge,"Sep 29, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
10,11,Advantage MRI-Logan Square,41.91763,-87.726566,granted,2008 N. Pulaski Avenue,,Chicago,IL,60639,USA,,robertcadvantagemri.org,,mr,,Advantage MRI-Logan Square Chicago,,,,,"Jul 31, 2024","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
11,12,ADVENT,41.878151,-87.631213,granted,111 W Jackson Blvd,Suite 106,Chicago,IL,60604,United States,,adventknows.com,,ct,,ADVENT Chicago,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
12,13,ADVENT,42.105528,-87.802979,granted,984 Willow Rd Suite H,,Northbrook,IL,60062,USA,,www.adventknows.com,,ct,,ADVENT Northbrook,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
13,14,ADVENT,42.293223,-87.95544,granted,925 N Milwaukee Ave,,Vernon Hills,IL,60061,USA,,www.adventknows.com,,ct,,ADVENT Vernon Hills,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
