,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced ENT and Allergy,38.404849,-86.112688,granted,108 W Daisy Lane,,New Albany,IN,47150,USA,,www.advancedentandallergy.com,,ct,,Advanced ENT and Allergy New Albany,"Oct 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,ADVENT South Bend,41.713039,-86.203446,granted,53760 Generations Drive,,South Bend,IN,46635,,,www.adventknows.com,,ct,,ADVENT South Bend South Bend,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,AffordableMRI.com,39.887383,-86.046125,granted,7301 North Shadeland Ave,Ste 1D,Indianapolis,IN,46250,USA,,AffordableMRI.com,,mr,,AffordableMRI.com Indianapolis,,,,,"Nov 29, 2022","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
3,4,"Allen County Cardiology, LLC",41.078036,-85.147583,multigranted,604 W. Berry St.,,Fort Wayne,IN,46802,USA,,www.allencountycardiology.com,,"nuclear, echo",,"Allen County Cardiology, LLC Fort Wayne",,,"Mar 31, 2025",Adult Transthoracic,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,"Allen County Cardiology, LLC",41.638868,-84.994601,granted,424 North Williams Street,,Angola,IN,46703,USA,,www.allencountycardiology.com,,echo,,"Allen County Cardiology, LLC Angola",,,"Mar 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,"Allied Physicians of Michiana, LLC",41.718319,-86.195103,granted,"6301 University Commons, Suite 360",,South Bend,IN,46635,USA,,,,ct,"www.google.com/search?q=Allied+Physicians+of+Michiana,+LLC","Allied Physicians of Michiana, LLC South Bend","Dec 30, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
6,7,Ascension Medical Group,39.909505,-86.193879,granted,8433 Harcourt Road,Suite 100,Indianapolis,IN,46260,USA,,,,vascular,www.google.com/search?q=Ascension+Medical+Group,Ascension Medical Group Indianapolis,,,,,,,,,"Apr 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
7,8,Ascension Medical Group,39.983083,-86.147094,granted,13450 North Meridian Street,Suite 160,Carmel,IN,46032,USA,,,,vascular,www.google.com/search?q=Ascension+Medical+Group,Ascension Medical Group Carmel,,,,,,,,,"Apr 30, 2025",Peripheral Venous Testing,,,,,,,,,,,,,,
8,9,Ascension Medical Group,39.934328,-86.160292,granted,10590 North Meridian Street,Suite 105,Indianapolis,IN,46290,USA,,,,vascular,www.google.com/search?q=Ascension+Medical+Group,Ascension Medical Group Indianapolis,,,,,,,,,"Apr 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
9,10,Ascension Medical Group - Avon,39.759436,-86.433399,granted,9166 E. US Hwy. 36,,Avon,IN,46123,USA,,,,echo,www.google.com/search?q=Ascension+Medical+Group+-+Avon,Ascension Medical Group - Avon Avon,,,"Jun 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
