,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Orthopaedic Associates,37.732543,-97.226254,granted,2778 N. Webb Rd,,Wichita,KS,67226,USA,,www.aoaortho.com,,mr,,Advanced Orthopaedic Associates Wichita,,,,,"Oct 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,Advent Health Cardiology at Lansing,39.28148,-94.901171,granted,1004  Progress Drive,,Lansing,KS,66043,USA,,,,nuclear,www.google.com/search?q=Advent+Health+Cardiology+at+Lansing,Advent Health Cardiology at Lansing Lansing,,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,AdventHealth Medical Group Cardiology at Lansing,39.265563,-94.915649,granted,1004 Progress Drive Suite 130,,Lansing,KS,66043,USA,,,,echo,www.google.com/search?q=AdventHealth+Medical+Group+Cardiology+at+Lansing,AdventHealth Medical Group Cardiology at Lansing Lansing,,,"Nov 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,AdventHealth Shawnee Mission,38.995137,-94.69204,granted,9100 West 74th Street,,Shawnee Mission,KS,66204,USA,,,,echo,www.google.com/search?q=AdventHealth+Shawnee+Mission,AdventHealth Shawnee Mission Shawnee Mission,,,"Nov 30, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,AdventHealth South Overland Park,38.827945,-94.707244,granted,7820 W. 165th Street,,Overland Park,KS,66223,USA,,,,echo,www.google.com/search?q=AdventHealth+South+Overland+Park,AdventHealth South Overland Park Overland Park,,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Anderson County Hospital,38.28012,-95.2493,granted,421 South Maple Street,,Garnett,KS,66032,USA,,,,echo,www.google.com/search?q=Anderson+County+Hospital,Anderson County Hospital Garnett,,,"Oct 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,"Ascension Medical Group, PA, Inc.",37.697432,-97.29608,granted,3311 E Murdock,,Wichita,KS,67208,USA,,,,echo,"www.google.com/search?q=Ascension+Medical+Group,+PA,+Inc.","Ascension Medical Group, PA, Inc. Wichita",,,"Nov 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,"Ascentist Ear, Nose and Throat",38.912834,-94.652111,granted,5701 West 119th,Suite 425,Overland Park,KS,66209,USA,,,,ct,"www.google.com/search?q=Ascentist+Ear,+Nose+and+Throat","Ascentist Ear, Nose and Throat Overland Park","Apr 30, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
8,9,"Ascentist Physicians Group, Leawood",38.927432,-94.642093,granted,4801 College Blvd,,Leawood,KS,66211,,,,,ct,"www.google.com/search?q=Ascentist+Physicians+Group,+Leawood","Ascentist Physicians Group, Leawood Leawood","Dec 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
9,10,"Ascentist Physicians Group, Legends",39.131003,-94.833746,granted,2300 Hutton Road,Suite 106-107,Kansas City,KS,66109,USA,,www.entofgkc.com,,ct,,"Ascentist Physicians Group, Legends Kansas City","Dec 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
