,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Cardiology of Owensboro,37.74925,-87.060548,granted,3110 Fairview Drive,,Owensboro,KY,42303,USA,,www.advancedcardiologyofowensboro.com,,echo,,Advanced Cardiology of Owensboro Owensboro,,,"Jul 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
1,2,Advanced ENT and Allergy,38.151786,-85.836484,granted,1725 Gagel Avenue,,Louisville,KY,40216,USA,,www.advancedentandallergy.com,,ct,,Advanced ENT and Allergy Louisville,"Oct 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,Advanced ENT and Allergy,38.233048,-85.631199,granted,2944 Breckenridge Lane,,Louisville,KY,40220,USA,,www.advancedentandallergy.com,,ct,,Advanced ENT and Allergy Louisville,"Oct 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
3,4,Appalachian Heart and Vascular Institute,36.810168,-83.313163,granted,90 Ballpark Road,,Harlan,KY,40831,USA,,,,nuclear,www.google.com/search?q=Appalachian+Heart+and+Vascular+Institute,Appalachian Heart and Vascular Institute Harlan,,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Appalachian Heart Center,37.279035,-83.22793,granted,200 Medical Center Drive,Suite 2A,Hazard,KY,41701,USA,,,,nuclear,www.google.com/search?q=Appalachian+Heart+Center,Appalachian Heart Center Hazard,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Asension Medical Group St. Vincent Cardiology,37.849126,-87.584179,granted,914 N. Elm Street,,Henderson,KY,42420,USA,,www.ascension.org,,vascular,,Asension Medical Group St. Vincent Cardiology Henderson,,,,,,,,,"Apr 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Associates in Physician Services,36.993301,-86.426974,granted,427 US 31W Bypass,,Bowling Green,KY,42101,USA,,,,ct,www.google.com/search?q=Associates+in+Physician+Services,Associates in Physician Services Bowling Green,"Dec 31, 2023","Body CT, Coronary CTA, Neurological CT, Vascular CTA, Coronary Calcium Scoring, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
7,8,Baptist Cardiology Frankfort,38.186619,-84.885006,granted,1002 Leawood Drive,,Frankfort,KY,40601,USA,,www.Baptisthealth.com/baptist-health-medical-group,,nuclear,,Baptist Cardiology Frankfort Frankfort,,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,Baptist Health Cardiovascular Laboratory,37.735623,-84.334099,granted,107 Meridian Way,Suite 101,Richmond,KY,40475,USA,,www.baptisthealth.com/richmond/pages/default.aspx,,echo,,Baptist Health Cardiovascular Laboratory Richmond,,,"Mar 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Baptist Health Cardiovascular Laboratory,38.011333,-84.516829,granted,100 Southland Drive,,Lexington,KY,40503,USA,,www.baptisthealth.com,,echo,,Baptist Health Cardiovascular Laboratory Lexington,,,"Mar 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
