,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Acadian Ear, Nose, and Throat Center",30.204253,-92.013468,granted,1000 W Pinhook  Rd 201,,Lafayette,LA,70503,USA,,www.acadianent.com,,ct,,"Acadian Ear, Nose, and Throat Center Lafayette","Mar 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,Acadiana Vascular Center,30.170826,-92.027254,granted,129 Rue Louis XIV,,Lafayette,LA,70508,USA,,Acadianavascular.com,,vascular,,Acadiana Vascular Center Lafayette,,,,,,,,,"Feb 28, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Advanced Cardiovascular Specialists,32.426166,-93.71877,granted,"1453 E Bert Kouns Industrial Loop, Suite 112",,Shreveport,LA,71105,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiovascular+Specialists,Advanced Cardiovascular Specialists Shreveport,,,,,,,"Feb 29, 2024","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
3,4,"American Diagnostic Technologies, LLC",30.383739,-91.045729,granted,12133 Industriplex blvd.,,Baton Rouge,LA,70809,USA,,www.adtnuclear.com,,nuclear,,"American Diagnostic Technologies, LLC Baton Rouge",,,,,,,"May 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Ark-La-Tex Spine,32.423645,-93.720934,granted,8660 Fern Avenue Suite 120,,Shreveport,LA,71105,USA,,,,mr,www.google.com/search?q=Ark-La-Tex+Spine,Ark-La-Tex Spine Shreveport,,,,,"Nov 30, 2024",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
5,6,Baton Rouge Cardiology Center,30.395452,-91.093195,granted,8888 Summa Avenue,,Baton Rouge,LA,70809,USA,,,,nuclear,www.google.com/search?q=Baton+Rouge+Cardiology+Center,Baton Rouge Cardiology Center Baton Rouge,,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,Baton Rouge Cardiology Center,30.401677,-91.109049,granted,5231 Brittany Drive,,Baton Rouge,LA,70808,USA,,,,nuclear,www.google.com/search?q=Baton+Rouge+Cardiology+Center,Baton Rouge Cardiology Center Baton Rouge,,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Baton Rouge Clinic Echocardiography Lab,30.397494,-91.113451,granted,7373 Perkins Road,,Baton Rouge,LA,70808,USA,,,,echo,www.google.com/search?q=Baton+Rouge+Clinic+Echocardiography+Lab,Baton Rouge Clinic Echocardiography Lab Baton Rouge,,,"Jun 30, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Baton Rouge General Health Center,30.392207,-91.094228,granted,8585 Picardy Avenue,,Baton Rouge,LA,70809,USA,,,,echo,www.google.com/search?q=Baton+Rouge+General+Health+Center,Baton Rouge General Health Center Baton Rouge,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"Baton Rouge General Medical Center-Bluebonnet, Baton Rouge",30.392207,-91.094228,granted,8585 Picardy Avenue,,Baton Rouge,LA,70809,USA,,,,vascular,"www.google.com/search?q=Baton+Rouge+General+Medical+Center-Bluebonnet,+Baton+Rouge","Baton Rouge General Medical Center-Bluebonnet, Baton Rouge Baton Rouge",,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
10,11,Biomedical Research Foundation Of Northwest Louisiana,32.481788,-93.760754,granted,2120 Kings Highway,,Shreveport,LA,71103,USA,,www.biomedpet.org,,nuclear,,Biomedical Research Foundation Of Northwest Louisiana Shreveport,,,,,,,"Jul 31, 2025",Positron Emission Tomography (PET),,,,,,,,,,,,,,,,
11,12,"Bone and Joint Clinic Of Baton Rouge, Inc",30.404483,-91.111398,granted,7301 Hennessy Blvd.,Suite 200,Baton Rouge,LA,70808,USA,,,,mr,"www.google.com/search?q=Bone+and+Joint+Clinic+Of+Baton+Rouge,+Inc","Bone and Joint Clinic Of Baton Rouge, Inc Baton Rouge",,,,,"Dec 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
12,13,Cardiac and Peripheral Vascular Services,29.955828,-89.985421,granted,8050 W Judge Perez,Suite 3700,Chalmette,LA,70043,USA,,,,nuclear,www.google.com/search?q=Cardiac+and+Peripheral+Vascular+Services,Cardiac and Peripheral Vascular Services Chalmette,,,,,,,"May 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
13,14,Cardiology Center of Acadiana,30.17258,-92.029333,granted,121 Rue Louis XIV,Bldg. 4 Suite B,Lafayette,LA,70508,USA,,,,nuclear,www.google.com/search?q=Cardiology+Center+of+Acadiana,Cardiology Center of Acadiana Lafayette,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
14,15,"Cardiovascular Clinic of Covington, LLC",30.409911,-90.080992,granted,100 Innwood Drive,,Covington,LA,70433,USA,,,,nuclear,"www.google.com/search?q=Cardiovascular+Clinic+of+Covington,+LLC","Cardiovascular Clinic of Covington, LLC Covington",,,,,,,"Sep 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
15,16,Cardiovascular Imaging Solutions,30.402044,-91.106222,granted,7777 Hennessey Blvd. Suite 115,,Baton Rouge,LA,70808,USA,,,,ct,www.google.com/search?q=Cardiovascular+Imaging+Solutions,Cardiovascular Imaging Solutions Baton Rouge,"Apr 30, 2024","Body CT, Coronary CTA, Neurological CT, Vascular CTA, Coronary Calcium Scoring",,,,,,,,,,,,,,,,,,,,,,
16,17,Cardiovascular Institute of the South,29.597127,-90.71165,granted,225 Dunn Street,,Houma,LA,70360,USA,,www.cardio.com,,nuclear,,Cardiovascular Institute of the South Houma,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
17,18,Cardiovascular Institute of the South,29.597127,-90.71165,granted,225 Dunn Street,,Houma,LA,70360,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South Houma,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
18,19,Cardiovascular Institute of the South,29.70382,-90.565487,granted,102 Twin Oaks Drive,,Raceland,LA,70394,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South Raceland,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
19,20,Cardiovascular Institute of the South,29.708027,-91.198237,granted,1231 David Drive,,Morgan City,LA,70381,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South Morgan City,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
20,21,Cardiovascular Institute of the South,29.781303,-90.812667,granted,1320 Martin Luther King Drive,,Thibodaux,LA,70301,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South Thibodaux,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
21,22,Cardiovascular Institute of the South,29.924513,-90.371751,granted,107 Maryland Drive,,Luling,LA,70070,USA,,cardio.com,,echo,,Cardiovascular Institute of the South Luling,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
22,23,Cardiovascular Institute of the South - Baton Rouge,30.393899,-91.098769,granted,8401 Picardy Avenue,,Baton Rouge,LA,70809,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Baton+Rouge,Cardiovascular Institute of the South - Baton Rouge Baton Rouge,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
23,24,Cardiovascular Institute of the South - Breaux Bridge,30.280966,-91.889731,granted,1451 East Bridge Street,,Breaux Bridge,LA,70517,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South - Breaux Bridge Breaux Bridge,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
24,25,Cardiovascular Institute of the South - Jennings,30.239912,-92.259854,granted,422 Kade Drive. Suite 1,,Jennings,LA,70546,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Jennings,Cardiovascular Institute of the South - Jennings Jennings,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
25,26,Cardiovascular Institute of the South - Lafayette,30.199354,-92.07523,granted,2730 Ambassador Caffery Pkwy,,Lafayette,LA,70596,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Lafayette,Cardiovascular Institute of the South - Lafayette Lafayette,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
26,27,Cardiovascular Institute of the South - LGMC,30.20272,-92.016334,granted,441 Heymann Blvd,Suite B,Lafayette,LA,70503,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+LGMC,Cardiovascular Institute of the South - LGMC Lafayette,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
27,28,Cardiovascular Institute of the South - Luling,29.924513,-90.371751,granted,107 Maryland Dr,,Luling,LA,70070,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Luling,Cardiovascular Institute of the South - Luling Luling,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
28,29,Cardiovascular Institute of the South - Morgan City,29.708027,-91.198237,granted,1231 David Drive,,Morgan City,LA,70380,USA,,cardio.com,,vascular,,Cardiovascular Institute of the South - Morgan City Morgan City,,,,,,,,,"Mar 31, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
29,30,Cardiovascular Institute of the South - Morgan City,29.708027,-91.198237,granted,1231 David Drive,,Morgan City,LA,70380,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Morgan+City,Cardiovascular Institute of the South - Morgan City Morgan City,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
30,31,Cardiovascular Institute of the South - New Iberia,30.024779,-91.763693,granted,"500 North Lewis Ave, St 100",,New Iberia,LA,70563,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+New+Iberia,Cardiovascular Institute of the South - New Iberia New Iberia,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
31,32,Cardiovascular Institute of the South - Opelousas,30.520807,-92.092333,granted,1233 Wayne Gilmore Cr.,Suite 450,Opelousas,LA,70570,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Opelousas,Cardiovascular Institute of the South - Opelousas Opelousas,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
32,33,Cardiovascular Institute of the South - Opelousas,30.520807,-92.092333,granted,"1233 Wayne Gilmore Circle, Suite 450",,Opelousas,LA,70570,USA,,cardio.dom,,vascular,,Cardiovascular Institute of the South - Opelousas Opelousas,,,,,,,,,"Feb 28, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
33,34,Cardiovascular Institute of the South - Prairieville,30.317503,-90.980382,granted,"37292 Market Place Drive, Suite A",,Prairieville,LA,70769,USA,,www.cardio.com,,echo,,Cardiovascular Institute of the South - Prairieville Prairieville,,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
34,35,Cardiovascular Institute of the South - Raceland,29.70382,-90.565487,granted,102 Twin Oaks Drive,,Raceland,LA,70394,USA,,www.cardio.com,,vascular,,Cardiovascular Institute of the South - Raceland Raceland,,,,,,,,,"Jul 31, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
35,36,Cardiovascular Institute of the South - Raceland,29.70382,-90.565487,granted,102 Twin Oaks Boulevard,,Raceland,LA,70380,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Raceland,Cardiovascular Institute of the South - Raceland Raceland,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
36,37,Cardiovascular Institute of the South - Thibodaux,29.781303,-90.812667,granted,1320 Martin Luther King Drive,,Thibodaux,LA,70361,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Thibodaux,Cardiovascular Institute of the South - Thibodaux Thibodaux,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
37,38,Cardiovascular Institute of the South - Thibodaux,29.781303,-90.812667,granted,1320 Martin Luther King Dr.,,Thibodaux,LA,70301,USA,,www.cardio.com,,vascular,,Cardiovascular Institute of the South - Thibodaux Thibodaux,,,,,,,,,"Apr 30, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
38,39,Cardiovascular Institute of the South - Westbank,29.884606,-90.053934,granted,1901 Manhattan Blvd,Building A suite 200,Harvey,LA,70058,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Westbank,Cardiovascular Institute of the South - Westbank Harvey,,,,,,,"Feb 28, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
39,40,Cardiovascular Institute of the South - Zachary,30.655648,-91.145057,granted,"6550 Main Street, St 1000",,Zachary,LA,70791,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Zachary,Cardiovascular Institute of the South - Zachary Zachary,,,,,,,"Feb 28, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
40,41,Cardiovascular Institute of the South - Zachary,30.649717,-91.135264,granted,"6550 Main Street, Suite 1000",,Zachary,LA,70791,USA,,,,vascular,www.google.com/search?q=Cardiovascular+Institute+of+the+South+-+Zachary,Cardiovascular Institute of the South - Zachary Zachary,,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
41,42,Cardiovascular Institute of the South APMC LGMC,30.203152,-92.016077,granted,441 Heymann Boulevard,,Lafayette,LA,70503,USA,,cardio.com,,vascular,,Cardiovascular Institute of the South APMC LGMC Lafayette,,,,,,,,,"Dec 30, 2022",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
42,43,Cardiovascular Institute of the South APMC-Lafayette,30.199354,-92.07523,granted,2730 Ambassador Caffery Parkway,,Lafayette,LA,70596,USA,,,,vascular,www.google.com/search?q=Cardiovascular+Institute+of+the+South+APMC-Lafayette,Cardiovascular Institute of the South APMC-Lafayette Lafayette,,,,,,,,,"Feb 28, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
43,44,Cardiovascular Institute of the South New Iberia,30.00611,-91.796678,granted,"500 North Lewis Street , Suite100",,New Iberia,LA,70563,USA,,,,vascular,www.google.com/search?q=Cardiovascular+Institute+of+the+South+New+Iberia,Cardiovascular Institute of the South New Iberia New Iberia,,,,,,,,,"Apr 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
44,45,"Cardiovascular Institute of the South, APMC - Baton Rouge",30.397177,-91.105606,granted,8401 Picardy Avenue,,Baton Rouge,LA,70809,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Baton Rouge Baton Rouge",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
45,46,"Cardiovascular Institute of the South, APMC - Crowley",30.226812,-92.364571,granted,"1325 Wright Avenue, Suite K",,Crowley,LA,70526,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Crowley Crowley",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
46,47,"Cardiovascular Institute of the South, APMC - Jennings",32.545562,-82.850503,granted,422 Kade Drive,Suite 1,Jennings,LA,70546,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Jennings Jennings",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
47,48,"Cardiovascular Institute of the South, APMC - Lafayette",30.199354,-92.07523,granted,2730 Ambassador Caffery Parkway,,Lafayette,LA,70506,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Lafayette Lafayette",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
48,49,"Cardiovascular Institute of the South, APMC - Lafayette General",30.203152,-92.016077,granted,441 Heymann Blvd,,Lafayette,LA,70503,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Lafayette General Lafayette",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
49,50,"Cardiovascular Institute of the South, APMC - New Iberia",30.00611,-91.796678,granted,500 North Lewis Street,Suite 100,New Iberia,LA,70563,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - New Iberia New Iberia",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
50,51,"Cardiovascular Institute of the South, APMC - Opelousas",30.520807,-92.092333,granted,1233 Wayne Gilmore Circle,Suite 450,Opelousas,LA,70570,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Opelousas Opelousas",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
51,52,"Cardiovascular Institute of the South, APMC - Westbank",29.884606,-90.053934,granted,1901 Manhattan Blvd,"Bldg A, Ste. 200",Harvey,LA,70058,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Westbank Harvey",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
52,53,"Cardiovascular Institute of the South, APMC - Zachary",30.649717,-91.135264,granted,6550 Main Street,Suite 1000,Zachary,LA,70791,USA,,www.cardio.com,,echo,,"Cardiovascular Institute of the South, APMC - Zachary Zachary",,,"May 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
53,54,Cenla Heart Specialists,31.283844,-92.460376,granted,2108 Texas Avenue,Suite 2061,Alexandria,LA,71301,USA,,,,echo,www.google.com/search?q=Cenla+Heart+Specialists,Cenla Heart Specialists Alexandria,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
54,55,"Chapital Cardiology Clinic, The Heart Imaging Center",29.97554,-90.078808,granted,1221 N. Broad Street,,New Orleans,LA,70119,USA,,,,nuclear,"www.google.com/search?q=Chapital+Cardiology+Clinic,+The+Heart+Imaging+Center","Chapital Cardiology Clinic, The Heart Imaging Center New Orleans",,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
55,56,Children’s Hospital,29.917396,-90.127131,granted,200 Henry Clay Ave.,,New Orleans,LA,70118,USA,,www.chnola.org,,pediatric_echo,,Children’s Hospital New Orleans,,,,,,,,,,,"Feb 28, 2025","Pediatric Transesophageal, Pediatric Transthoracic, Fetal",,,,,,,,,,,,
56,57,Children’s Hospital Alexandria Center,31.28399,-92.478737,granted,1268 Southampton Dr.,,Alexandria,LA,70114,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+Alexandria+Center,Children’s Hospital Alexandria Center Alexandria,,,,,,,,,,,"Feb 28, 2025",Pediatric Transthoracic,,,,,,,,,,,,
57,58,Children’s Hospital Northshore Center,30.46018,-90.121145,granted,5025 Keystone Blvd. Suite 100,,Covington,LA,70433,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+Northshore+Center,Children’s Hospital Northshore Center Covington,,,,,,,,,,,"Feb 28, 2025",Pediatric Transthoracic,,,,,,,,,,,,
58,59,Children’s Hospital Outpatient Center of Baton Rouge,30.393584,-91.092692,granted,9001 Summa Ave Suite 342,,Baton Rouge,LA,70809,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+Outpatient+Center+of+Baton+Rouge,Children’s Hospital Outpatient Center of Baton Rouge Baton Rouge,,,,,,,,,,,"Feb 28, 2025",Pediatric Transthoracic,,,,,,,,,,,,
59,60,Children’s Hospital Ridgelake Center,29.993718,-90.15399,granted,2121 Ridgelake Drive,2nd Floor,Metairie,LA,70001,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+Ridgelake+Center,Children’s Hospital Ridgelake Center Metairie,,,,,,,,,,,"Feb 28, 2025",Pediatric Transthoracic,,,,,,,,,,,,
60,61,Children’s Hospital West Jefferson Center,29.866139,-90.10833,granted,1111 Medical Center Blvd.,South Tower F350,Marrero,LA,70072,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+West+Jefferson+Center,Children’s Hospital West Jefferson Center Marrero,,,,,,,,,,,"Feb 28, 2025",Pediatric Transthoracic,,,,,,,,,,,,
61,62,Complete Cardiovascular Center of Monroe,32.520117,-92.109311,granted,1100 Nth 18th St.,Suite 100,Monroe,LA,71201,USA,,,,echo,www.google.com/search?q=Complete+Cardiovascular+Center+of+Monroe,Complete Cardiovascular Center of Monroe Monroe,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
62,63,CVT Vascular Laboratory,30.402044,-91.106222,granted,7777 Hennessy Boulevard,Suite 1008,Baton Rouge,LA,70808,USA,,www.cvtsc.com,,vascular,,CVT Vascular Laboratory Baton Rouge,,,,,,,,,"Aug 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
63,64,Dr. Charles J. Ballay,30.031209,-99.140438,granted,1111 Medical Center Blvd,Ste. 707N,Marrero,LA,70072,USA,,,,ct,www.google.com/search?q=Dr.+Charles+J.+Ballay,Dr. Charles J. Ballay Marrero,"Jan 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
64,65,"Dr. Corwin A. Thomas, FACC",30.195938,-92.077037,granted,802 E. Farrel Road,,Lafayette,LA,70508,USA,,www.ctcardio.com,,echo,,"Dr. Corwin A. Thomas, FACC Lafayette",,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
