,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Addison Gilbert Hospital,42.626076,-70.679978,granted,298 Washington Street,,Gloucester,MA,01930,USA,,www.beverlyhospital.org,,echo,,Addison Gilbert Hospital Gloucester,,,"Aug 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
1,2,Advanced Vein Care Center,42.127201,-72.611288,granted,3640 Main Street,Suite 302,Springfield,MA,01107,USA,,www.advancedveincarecenter.com,,vein_center,,Advanced Vein Care Center Springfield,,,,,,,,,,,,,,,,,"Mar 31, 2024",Superficial Venous Evaluation and Management,,,,,,
2,3,"Anthony F. Marino, MD, PC",42.724798,-71.160321,granted,99 Jackson Street,,Methuen,MA,01844,USA,,,,echo,"www.google.com/search?q=Anthony+F.+Marino,+MD,+PC","Anthony F. Marino, MD, PC Methuen",,,"Sep 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Atrius Health Cardiovascular Center,42.211214,-70.932237,granted,"90 Libbey Parkway, Suite 201",,Weymouth,MA,02189,USA,,,,echo,www.google.com/search?q=Atrius+Health+Cardiovascular+Center,Atrius Health Cardiovascular Center Weymouth,,,"Jun 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,Atrius Health Cardiovascular Center,42.193851,-70.947955,granted,90 Libbey Industrial Parkway,Suite 201,Weymouth,MA,02189,USA,,www.Atriushealth.org,,nuclear,,Atrius Health Cardiovascular Center Weymouth,,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Atrius Health Plymouth Medical Group,41.979122,-70.692018,granted,10 Cordage Park,Suite 211,Plymouth,MA,02360,USA,,,,echo,www.google.com/search?q=Atrius+Health+Plymouth+Medical+Group,Atrius Health Plymouth Medical Group Plymouth,,,"Jun 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,"Atrius Health, Inc. Dedham Practice",42.265803,-71.206173,granted,100 Second Avenue,,Needham,MA,02494,USA,,www.atriushealth.org,,vascular,,"Atrius Health, Inc. Dedham Practice Needham",,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing, Screening",,,,,,,,,,,,,,
7,8,"Atrius Health, Inc. Kenmore Practice",42.345191,-71.100624,granted,133 Brookline Ave,,Boston,MA,02215,USA,,www.atriushealth.org,,vascular,,"Atrius Health, Inc. Kenmore Practice Boston",,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing, Screening",,,,,,,,,,,,,,
8,9,"Atrius Health, Inc. Somerville Practice",42.397646,-71.123446,granted,40 Holland Street,,Somerville,MA,02144,USA,,www.atriushealth.org,,vascular,,"Atrius Health, Inc. Somerville Practice Somerville",,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Screening",,,,,,,,,,,,,,
9,10,Atrius Health- Dedham Medical Norwood,42.173197,-71.194752,granted,1177 Providence Highway,,Norwood,MA,02062,USA,,atriushealth.org,,echo,,Atrius Health- Dedham Medical Norwood Norwood,,,"Jun 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
10,11,Auburn Reliant Medical Group,42.199956,-71.82459,granted,35 Millbury Street,,Auburn,MA,01501,USA,,www.reliantmedicalgroup.org,,echo,,Auburn Reliant Medical Group Auburn,,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Baystate Franklin Medical Center,42.595606,-72.591287,granted,"Heart & Vascular Program, Nuclear Cardiology",164 High Street,Greenfield,MA,01301,USA,,www.baystatehealth.com/bfmc,,nuclear,,Baystate Franklin Medical Center Greenfield,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,Baystate Franklin Medical Center,42.595606,-72.591287,granted,164 High Street,,Greenfield,MA,01301,USA,,www.baystatehealth.com/fmc,,echo,,Baystate Franklin Medical Center Greenfield,,,"Sep 29, 2022","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
13,14,Baystate Franklin Vascular Laboratory,42.595606,-72.591287,granted,164 High Street,,Greenfield,MA,01301,USA,,www.baystatehealth.org,,vascular,,Baystate Franklin Vascular Laboratory Greenfield,,,,,,,,,"Oct 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
14,15,"Baystate Heart and Vascular, Cardiovascular Imaging Suite",42.334714,-72.667365,granted,325 King St.,,Northampton,MA,01060,USA,,www.baystatehealth.com,,echo,,"Baystate Heart and Vascular, Cardiovascular Imaging Suite Northampton",,,"Sep 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
15,16,Baystate Mary Lane Outpatient Center,42.252993,-72.241326,granted,85 South Street,,Ware,MA,01082,USA,,,,vascular,www.google.com/search?q=Baystate+Mary+Lane+Outpatient+Center,Baystate Mary Lane Outpatient Center Ware,,,,,,,,,"Oct 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
16,17,Baystate Medical Center,42.120742,-72.605251,granted,759 Chestnut Street,,Springfield,MA,01199,USA,,www.baystatehealth.com,,echo,,Baystate Medical Center Springfield,,,"Sep 29, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
17,18,Baystate Medical Center,42.123188,-72.609662,granted,3300 Main Street,,Springfield,MA,01199,USA,,www.baystatehealth.com,,echo,,Baystate Medical Center Springfield,,,"Sep 29, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
18,19,Baystate Medical Center,42.334714,-72.667365,granted,325 King Street,,Northampton,MA,01060,USA,,baystatehealth.org,,vascular,,Baystate Medical Center Northampton,,,,,,,,,"Oct 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
19,20,Baystate Medical Center Inpatient Lab,42.120458,-72.606306,granted,759 Chestnut Street,,Springfield,MA,01107,USA,,baystatehealth.com,,vascular,,Baystate Medical Center Inpatient Lab Springfield,,,,,,,,,"Oct 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
20,21,Baystate Medical Center Outpatient Lab,42.125784,-72.610728,multigranted,"3500 Main Street, Suite 201",,Springfield,MA,01107,USA,,,,"vascular, vein_center",www.google.com/search?q=Baystate+Medical+Center+Outpatient+Lab,Baystate Medical Center Outpatient Lab Springfield,,,,,,,,,"Oct 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,"Oct 31, 2024",Superficial Venous Evaluation and Management,,,,,,
21,22,Baystate Noble Hospital,42.117756,-72.760329,granted,115 W Silver St.,,Westfield,MA,01085,USA,,www.baystatehealth.org/locations/noble-hospital?utm_source=gmb&utm_medium=web&utm_campaign=b,,nuclear,,Baystate Noble Hospital Westfield,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
22,23,Baystate Northampton Cardiology Practice,42.334701,-72.636029,granted,"Heart & Vascular Program, Nuclear Cardiology",325 King Street,Northampton,MA,01060,USA,,www.baystatehealth.org,,nuclear,,Baystate Northampton Cardiology Practice Northampton,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
23,24,Baystate Pediatric Cardiology Associates,42.102051,-72.585757,granted,50 Wason Avenue,Children’s Specialty Center,Springfield,MA,01199,USA,,,,pediatric_echo,www.google.com/search?q=Baystate+Pediatric+Cardiology+Associates,Baystate Pediatric Cardiology Associates Springfield,,,,,,,,,,,"Jun 30, 2025","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
24,25,Baystate Springfield Cardiology Practice,36.323601,-91.714699,granted,"Heart & Vascular Program, Nuclear Cardiology",3300 Main Street,Springfield,MA,01107,USA,,www.baystatehealth.org,,nuclear,,Baystate Springfield Cardiology Practice Springfield,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
25,26,Baystate Springfield Medical Center,42.121712,-72.605956,granted,"Heart & Vascular Program, Nuclear Cardiology",759 Chestnut Street,Springfield,MA,01199,USA,,www.baystatehealth.org,,nuclear,,Baystate Springfield Medical Center Springfield,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
26,27,Baystate Vein Center Greenfield,42.59509,-72.593673,granted,164 High St,Suite 2026,Greenfield,MA,01301,USA,,,,vein_center,www.google.com/search?q=Baystate+Vein+Center+Greenfield,Baystate Vein Center Greenfield Greenfield,,,,,,,,,,,,,,,,,"Nov 30, 2022",Superficial Venous Evaluation and Management,,,,,,
27,28,Baystate Wing Hospital,42.168727,-72.341031,granted,40 Wright Street.,,Palmer,MA,01069,USA,,www.baystatehealth.org/locations/wing-hospital,,echo,,Baystate Wing Hospital Palmer,,,"Sep 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
28,29,Baystate Wing Medical Center,36.323601,-91.714699,granted,"Heart & Vascular Program, Nuclear Cardiology",40 Wright St,Palmer,MA,01069,USA,,www.baystatehealth.org/locations/wing-hospital ,,nuclear,,Baystate Wing Medical Center Palmer,,,,,,,"Apr 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
29,30,Berkshire Faculty Services,42.460582,-73.248757,multigranted,777 North Street,Suite 407,Pittsfield,MA,01201,USA,,,,"vein_center, vascular",www.google.com/search?q=Berkshire+Faculty+Services,Berkshire Faculty Services Pittsfield,,,,,,,,,"Aug 31, 2024",Peripheral Venous Testing,,,,,,,"Sep 30, 2022",Superficial Venous Evaluation and Management,,,,,,
30,31,Berkshire Medical Center,42.458748,-73.249004,granted,725 North Street,,Pittsfield,MA,01201,USA,,www.berkshirehealthsystems.org,,nuclear,,Berkshire Medical Center Pittsfield,,,,,,,"Nov 30, 2023","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
31,32,Berkshire Medical Center,42.458748,-73.249004,multigranted,725 North Street,,Pittsfield,MA,01201,USA,,,,"echo, vascular",www.google.com/search?q=Berkshire+Medical+Center,Berkshire Medical Center Pittsfield,,,"Jul 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
