,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,ACE Cardiovascular Associates,38.991636,-76.87801,granted,7525 Greenway Center Drive,Suite 313,Greenbelt,MD,20770,USA,,,,nuclear,www.google.com/search?q=ACE+Cardiovascular+Associates,ACE Cardiovascular Associates Greenbelt,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Advanced Cardiology Care,39.033828,-77.106458,granted,11119 Rockville Pike,Suite 100,Rockville,MD,20852,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiology+Care,Advanced Cardiology Care Rockville,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,Advanced Diagnostic Radiology,39.650833,-78.798002,multigranted,952 Seton Drive,,Cumberland,MD,21502,USA,,,,"mr, nuclear, ct",www.google.com/search?q=Advanced+Diagnostic+Radiology,Advanced Diagnostic Radiology Cumberland,"Oct 31, 2024","Body CT, Coronary CTA, Neurological CT, Vascular CTA, Coronary Calcium Scoring, Maxillofacial CT",,,"Dec 30, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI, Breast MRI, MRA","Aug 31, 2023","General Nuclear Medicine, Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
3,4,Adventist Healthcare Outpatient Imaging,39.098851,-77.195408,granted,9711 Medical Center Drive,Suite 101,Rockville,MD,20850,USA,,adventisthealthcareimaging.com ,,vascular,,Adventist Healthcare Outpatient Imaging Rockville,,,,,,,,,"Mar 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,Affiliated PET Systems LLC,39.016165,-77.032497,granted,1400 Forest Glen Road,Suite 430,Silver Spring,MD,20910,USA,,www.affiliatedpet.com,,ct,,Affiliated PET Systems LLC Silver Spring,"Sep 30, 2024",Body CT,,,,,,,,,,,,,,,,,,,,,,
5,6,"Alfred C. Burris, MD, PC",38.92973,-77.01369,granted,11701 Livingston Road,Suite 207,Fort Washington,MD,20744,USA,,,,nuclear,"www.google.com/search?q=Alfred+C.+Burris,+MD,+PC","Alfred C. Burris, MD, PC Fort Washington",,,,,,,"May 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,Allegany Cardiology Center,39.650833,-78.798002,granted,952 Seton Drive Suite 300,,Cumberland,MD,21502,USA,,,,nuclear,www.google.com/search?q=Allegany+Cardiology+Center,Allegany Cardiology Center Cumberland,,,,,,,"Feb 28, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,American Cardiology and Nuclear Practice,39.339631,-76.48957,granted,17 Fontana Lane,Suite 101-103,Rosedale,MD,21237,USA,,,,nuclear,www.google.com/search?q=American+Cardiology+and+Nuclear+Practice,American Cardiology and Nuclear Practice Rosedale,,,,,,,"Oct 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,American Cardiology and Nuclear Practice,39.339631,-76.48957,granted,17 Fontana Lane,Suite 101-103,Rosedale,MD,21237,USA,,,,echo,www.google.com/search?q=American+Cardiology+and+Nuclear+Practice,American Cardiology and Nuclear Practice Rosedale,,,"Jan 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"American Cardiovascular Imaging, LLC",39.089235,-76.855068,granted,8675 Cherry Lane,,Laurel,MD,20707,USA,,www.americancardio.com,,nuclear,,"American Cardiovascular Imaging, LLC Laurel",,,,,,,"May 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
