,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Advanced Vein Center, Llc",43.637139,-70.322586,granted,1945 Congress St,"Building C, S101",Portland,ME,04102,USA,,www.advancedveincenter.com,,vascular,,"Advanced Vein Center, Llc Portland",,,,,,,,,"Jul 31, 2025",Peripheral Venous Testing,,,,,,,,,,,,,,
1,2,Central Maine Heart and Vascular Institute,44.100922,-70.21464,granted,300 Main Street,,Lewiston,ME,04240,USA,,,,echo,www.google.com/search?q=Central+Maine+Heart+and+Vascular+Institute,Central Maine Heart and Vascular Institute Lewiston,,,"Nov 30, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,Central Maine Heart and Vascular Institute,44.10284,-70.215454,granted,60 High Street,,Lewiston,ME,04240,USA,,,,vascular,www.google.com/search?q=Central+Maine+Heart+and+Vascular+Institute,Central Maine Heart and Vascular Institute Lewiston,,,,,,,,,"Dec 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,"Down East Orthopedic Associates, PA",44.845809,-68.741775,granted,78 Ridgewood Drive,,Bangor,ME,04401,USA,,,,mr,"www.google.com/search?q=Down+East+Orthopedic+Associates,+PA","Down East Orthopedic Associates, PA Bangor",,,,,"Jun 30, 2024",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
4,5,Eastern Maine Medical Center,44.809998,-68.749591,multigranted,489 State Street,,Bangor,ME,04401,USA,,,,"nuclear, echo",www.google.com/search?q=Eastern+Maine+Medical+Center,Eastern Maine Medical Center Bangor,,,"Oct 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,"May 31, 2023","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
5,6,Eastern Maine Medical Center,44.809998,-68.749591,granted,489 State Street,,Bangor,ME,04401,USA,,www.emmc.org,,vascular,,Eastern Maine Medical Center Bangor,,,,,,,,,"Aug 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
6,7,"Eastern Maine Medical Center, Imaging PET-CT",44.771135,-68.728796,granted,33 Whiting Hill Road,,Brewer,ME,04412,USA,,,,nuclear,"www.google.com/search?q=Eastern+Maine+Medical+Center,+Imaging+PET-CT","Eastern Maine Medical Center, Imaging PET-CT Brewer",,,,,,,"May 31, 2023",Positron Emission Tomography (PET),,,,,,,,,,,,,,,,
7,8,EMMC Pediatric Cardiology,44.813803,-68.902858,granted,"417 State Street, Suite 305",Webber East,Bangor,ME,04401,USA,,,,pediatric_echo,www.google.com/search?q=EMMC+Pediatric+Cardiology,EMMC Pediatric Cardiology Bangor,,,,,,,,,,,"Nov 30, 2023",Pediatric Transthoracic,,,,,,,,,,,,
8,9,Franklin Memorial Hospital,44.625115,-70.161244,granted,111 Franklin Health Commons,,Farmington,ME,04938,USA,,,,echo,www.google.com/search?q=Franklin+Memorial+Hospital,Franklin Memorial Hospital Farmington,,,"May 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,"Intermed, PA",43.638777,-70.324963,granted,50 Foden Road,,South Portland,ME,04106,USA,,jguiryintermed.com,,echo,,"Intermed, PA South Portland",,,"Jul 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,Lincoln Health,44.026199,-69.527164,granted,35 Miles St.,,Damariscotta,ME,04543,USA,,,,echo,www.google.com/search?q=Lincoln+Health,Lincoln Health Damariscotta,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Maine General Medical Center Alfond Center for Health,44.360853,-69.785718,granted,35 Medical Center Pkwy,,Augusta,ME,04330,USA,,www.MaineGeneral.org,,echo,,Maine General Medical Center Alfond Center for Health Augusta,,,"May 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
12,13,Maine Medical Center,43.652193,-70.275104,granted,22 Bramhall Street,,Portland,ME,04101,USA,,,,nuclear,www.google.com/search?q=Maine+Medical+Center,Maine Medical Center Portland,,,,,,,"Nov 29, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
13,14,Maine Medical Center,43.652193,-70.275104,granted,22 Bramhall Street,,Portland,ME,04101,USA,,,,echo,www.google.com/search?q=Maine+Medical+Center,Maine Medical Center Portland,,,"May 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
