,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,A Bahjat Shahbandar Md Pc,42.661133,-83.133013,multigranted,1349 South Rochester Road,Suite  105,Rochester Hills,MI,48307,USA,,,,"nuclear, echo",www.google.com/search?q=A+Bahjat+Shahbandar+Md+Pc,A Bahjat Shahbandar Md Pc Rochester Hills,,,"Mar 31, 2025",Adult Transthoracic,,,"Nov 30, 2024","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
1,2,Academic Cardiology Associates,42.624034,-83.096208,granted,1701 South Boulevard East,Suite 390,Rochester Hills,MI,48307,USA,,www.academiccardiology.com,,nuclear,,Academic Cardiology Associates Rochester Hills,,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,"Academic Cardiology Associates, PC",42.624034,-83.096208,granted,1701 South Boulevard East,Suite 390,Rochester Hills,MI,48307,USA,,,,echo,"www.google.com/search?q=Academic+Cardiology+Associates,+PC","Academic Cardiology Associates, PC Rochester Hills",,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Advanced Cardiac and Vascular Centers,42.990642,-85.590633,multigranted,"1525 E Beltline Ave NE, Suite 101",,Grand Rapids,MI,49525,USA,,www.advancedcardiacandvascular.com/,,"vascular, echo",,Advanced Cardiac and Vascular Centers Grand Rapids,,,"Nov 30, 2024",Adult Transthoracic,,,,,"Oct 31, 2024","Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,Advanced Cardiac and Vascular Centers,42.682872,-84.505739,multigranted,"3370 E Jolly Road, Suite A",,Lansing,MI,48910,USA,,www.advancedcardiacandvascular.com/,,"vascular, echo",,Advanced Cardiac and Vascular Centers Lansing,,,"Nov 30, 2024",Adult Transthoracic,,,,,"Oct 31, 2024","Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
5,6,"Advanced Cardiology Associates, PC",42.640949,-83.124726,multigranted,645 Barclay Circle,,Rochester Hills,MI,48307,USA,,,,"echo, nuclear","www.google.com/search?q=Advanced+Cardiology+Associates,+PC","Advanced Cardiology Associates, PC Rochester Hills",,,"Oct 31, 2023","Adult Stress, Adult Transthoracic",,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
6,7,"Advanced Cardiology Associates, PC",42.822215,-83.2627,multigranted,72 S. Washington,Suite 203,Oxford,MI,48371,USA,,,,"echo, nuclear","www.google.com/search?q=Advanced+Cardiology+Associates,+PC","Advanced Cardiology Associates, PC Oxford",,,"Oct 31, 2023",Adult Transthoracic,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,"Advanced Cardiovascular Associates, PLC",42.623756,-83.051825,granted,44850 Mound Road,,Sterling Heights,MI,48314,USA,,,,echo,"www.google.com/search?q=Advanced+Cardiovascular+Associates,+PLC","Advanced Cardiovascular Associates, PLC Sterling Heights",,,"Jun 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,"Advanced Cardiovascular Associates, PLC",42.623756,-83.051825,granted,44850 Mound Road,,Sterling Heights,MI,48314,USA,,,,nuclear,"www.google.com/search?q=Advanced+Cardiovascular+Associates,+PLC","Advanced Cardiovascular Associates, PLC Sterling Heights",,,,,,,"Jan 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,Advanced Cardiovascular Clinic,43.014629,-83.775801,granted,6122 W. Pierson Road,Unit 1,Flushing,MI,48433,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiovascular+Clinic,Advanced Cardiovascular Clinic Flushing,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
10,11,"Advanced Cardiovascular Health Specialists, PC",42.409691,-83.417037,multigranted,37799 Professional Center Drive,Suite 105,Livonia,MI,48154,USA,,,,"echo, nuclear","www.google.com/search?q=Advanced+Cardiovascular+Health+Specialists,+PC","Advanced Cardiovascular Health Specialists, PC Livonia",,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,"Feb 29, 2024","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
11,12,Advanced Veins and Vascular Management,41.944535,-84.651593,granted,3271 W Carleton Rd,,Hillsdale,MI,49242,USA,,,,vascular,www.google.com/search?q=Advanced+Veins+and+Vascular+Management,Advanced Veins and Vascular Management Hillsdale,,,,,,,,,"Aug 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Screening",,,,,,,,,,,,,,
12,13,"APC Physicians, PLLC",42.256314,-83.208143,granted,6742 Park Avenue,,Allen Park,MI,48101,USA,,,,nuclear,"www.google.com/search?q=APC+Physicians,+PLLC","APC Physicians, PLLC Allen Park",,,,,,,"Aug 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
13,14,"APC Physicians, PLLC",42.256314,-83.208143,granted,6742 Park Avenue,,Allen Park,MI,48101,USA,,,,echo,"www.google.com/search?q=APC+Physicians,+PLLC","APC Physicians, PLLC Allen Park",,,"Mar 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
