,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Abbott Northwestern Hospital,44.951953,-93.262294,multigranted,800 East 28th Street,Internal Zip 92100,Minneapolis,MN,55407,USA,,,,"echo, vein_center, nuclear, vascular, ct",www.google.com/search?q=Abbott+Northwestern+Hospital,Abbott Northwestern Hospital Minneapolis,"Jul 31, 2024","Coronary CTA, Vascular CTA, Coronary Calcium Scoring","Oct 30, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,"Apr 30, 2023","General Nuclear Medicine, Myocardial Perfusion Imaging, Positron Emission Tomography (PET)","Apr 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,"Jan 31, 2023",Superficial Venous Evaluation and Management,,,,,,
1,2,"Advanced Specialty Associates, Ltd.",46.34479,-94.25092,granted,13359 Isle Dr Suite 1,,Baxter,MN,56425,USA,,www.advancedspecialtyassociates.com,,ct,,"Advanced Specialty Associates, Ltd. Baxter","Aug 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,"Advancements in Allergy and Asthma Care, Ltd",44.971292,-93.437116,granted,"12450 Wayzata Blvd., Ste. 215",,Minnetonka,MN,55305,USA,,http:/www.advancementsinallergy.com/,,ct,,"Advancements in Allergy and Asthma Care, Ltd Minnetonka","Jun 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
3,4,Allina Medical Clinic - Maple Grove,45.097403,-93.447375,granted,7840 Vinewood Lane,,Maple Grove,MN,55369,USA,,,,echo,www.google.com/search?q=Allina+Medical+Clinic+-+Maple+Grove,Allina Medical Clinic - Maple Grove Maple Grove,,,"Jan 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,Andros ENT and Sleep Center,44.867529,-93.054184,granted,5565 Blaine Ave,Suite 225,Inver Grove Heights,MN,55076,USA,,,,ct,www.google.com/search?q=Andros+ENT+and+Sleep+Center,Andros ENT and Sleep Center Inver Grove Heights,"Jan 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,Avera Worthington Medical Group,43.634836,-95.596436,granted,1216 Ryans Road,,Worthington,MN,56187,USA,,,,nuclear,www.google.com/search?q=Avera+Worthington+Medical+Group,Avera Worthington Medical Group Worthington,,,,,,,"Nov 30, 2023","General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
6,7,Buffalo Hospital,45.193198,-93.871283,granted,303 Catlin Street,,Buffalo,MN,55313,USA,,,,nuclear,www.google.com/search?q=Buffalo+Hospital,Buffalo Hospital Buffalo,,,,,,,"Mar 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Buffalo Hospital,45.193198,-93.871283,granted,303 Catlin Street,,Buffalo,MN,55313,USA,,,,echo,www.google.com/search?q=Buffalo+Hospital,Buffalo Hospital Buffalo,,,"Jan 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Burnsville Park Nicollet Clinic,44.748038,-93.275196,granted,14000 Fairview Drive,,Burnsville,MN,55337,USA,,,,echo,www.google.com/search?q=Burnsville+Park+Nicollet+Clinic,Burnsville Park Nicollet Clinic Burnsville,,,"Jan 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Center For Specialty Care,43.647358,-94.447331,granted,"717 South State Street, Suite 900",,Fairmont,MN,56031,USA,,www.centerforspecialtycare.com/,,mr,,Center For Specialty Care Fairmont,,,,,"Nov 29, 2022","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
10,11,CentraCare Heart and Vascular Center,45.575325,-94.17045,multigranted,1406 Sixth Avenue North,,St. Cloud,MN,56303,USA,,www.centracare.com/services/heart-vascular,,"echo, pediatric_echo, cardiac_electrophysiology",,CentraCare Heart and Vascular Center St. Cloud,,,"Jan 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,"May 31, 2023",Pediatric Transthoracic | Fetal,,,,,,,"May 31, 2023","Testing and Ablation, Device Implantation, Chronic Lead Extraction",,,,
11,12,CentraCare Rice Memorial Hospital,45.120611,-95.045558,granted,301 Becker Ave. S.W.,,Willmar,MN,56201,USA,,www.ricehospital.com,,echo,,CentraCare Rice Memorial Hospital Willmar,,,"Jan 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
12,13,Chanhassen Park Nicollet Clinic,44.857732,-93.529578,granted,300 Lake Drive East,,Chanhassen,MN,55317,USA,,,,echo,www.google.com/search?q=Chanhassen+Park+Nicollet+Clinic,Chanhassen Park Nicollet Clinic Chanhassen,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
