,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Barnes-Jewish Hospital,38.63494,-90.264966,granted,Nuclear Medicine-PET,#1 Barnes-Jewish Plaza,St. Louis,MO,63110,USA,,gamma.wustl.edu/,,nuclear,,Barnes-Jewish Hospital St. Louis,,,,,,,"Apr 30, 2025","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging, Other Cardiovascular Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
1,2,Barnes-Jewish Hospital at Washington University School of Medicine Echocardiography Laboratory,38.634889,-90.264448,granted,1 Barnes Hospital Plaza,Mailstop #90-72-316,St. Louis,MO,63110,USA,,,,echo,www.google.com/search?q=Barnes-Jewish+Hospital+at+Washington+University+School+of+Medicine+Echocardiography+Laboratory,Barnes-Jewish Hospital at Washington University School of Medicine Echocardiography Laboratory St. Louis,,,"Oct 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,Barnes-Jewish St. Peters Hospital,38.793291,-90.578237,granted, 10 Hospital Drive,,St. Peters,MO,63376,USA,,,,echo,www.google.com/search?q=Barnes-Jewish+St.+Peters+Hospital,Barnes-Jewish St. Peters Hospital St. Peters,,,"Feb 29, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,Barnes-Jewish West County Hospital,38.676997,-90.466227,granted,12634 Olive,Ste 1329,St. Louis,MO,63141,USA,,,,echo,www.google.com/search?q=Barnes-Jewish+West+County+Hospital,Barnes-Jewish West County Hospital St. Louis,,,"Oct 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,BJC Medical Group Cardiology,38.77954,-90.334979,multigranted,1225 Graham Rd,"Building C, Suite 1310",Florissant,MO,63031,USA,,,,"nuclear, echo",www.google.com/search?q=BJC+Medical+Group+Cardiology,BJC Medical Group Cardiology Florissant,,,"Aug 31, 2023","Adult Stress, Adult Transthoracic",,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,BJCMG Cardiology,38.19697,-90.3954,granted,1471 US Hwy 61,,Festus,MO,63028,USA,,,,echo,www.google.com/search?q=BJCMG+Cardiology,BJCMG Cardiology Festus,,,"Aug 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Boone Health,38.950669,-92.317039,multigranted,1600 East Broadway,,Columbia,MO,65201,USA,,boone.health,,"echo, vascular",,Boone Health Columbia,,,"May 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Aug 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
7,8,Boone Health,38.950669,-92.317039,multigranted,1600 East Broadway,,Columbia,MO,65201,USA,,Boone.org,,"echo, vascular",,Boone Health Columbia,,,"May 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Aug 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
8,9,Boone Hospital Cardiac Diagnostic Center,38.950291,-92.315256,granted,1605 E. Broadway,Suite 300,Columbia,MO,65201,USA,,,,nuclear,www.google.com/search?q=Boone+Hospital+Cardiac+Diagnostic+Center,Boone Hospital Cardiac Diagnostic Center Columbia,,,,,,,"Jan 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,C-TRAIN at Washington University,38.636908,-90.252767,granted,"4320 Forest Park Ave. , Suite 101",,St. Louis,MO,63108,USA,,ctrain.wustl.edu,,mr,,C-TRAIN at Washington University St. Louis,,,,,"Jul 31, 2024",Cardiovascular MRI,,,,,,,,,,,,,,,,,,
