,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Baptist Health Systems, Inc. - Nuclear Cardiology Laboratory",32.314278,-90.178228,multigranted,1225 North State Street,,Jackson,MS,39202,USA,,,,"nuclear, ct","www.google.com/search?q=Baptist+Health+Systems,+Inc.+-+Nuclear+Cardiology+Laboratory","Baptist Health Systems, Inc. - Nuclear Cardiology Laboratory Jackson","Aug 31, 2025","Coronary CTA, Vascular CTA, Coronary Calcium Scoring",,,,,"Jun 30, 2025","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
1,2,Baptist Memorial Hospital - DeSoto,34.968334,-89.995523,granted,7601 Southcrest Parkway,,Southaven,MS,38671,USA,,,,echo,www.google.com/search?q=Baptist+Memorial+Hospital+-+DeSoto,Baptist Memorial Hospital - DeSoto Southaven,,,"Dec 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Baptist Memorial Hospital North Mississippi,34.346609,-89.5212,granted,1100 Belk Blvd,,Oxford,MS,38655,USA,,,,echo,www.google.com/search?q=Baptist+Memorial+Hospital+North+Mississippi,Baptist Memorial Hospital North Mississippi Oxford,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Bay Area ENT,30.446519,-88.936901,granted,1720 A Medical Park Drive,Ste 100,Biloxi,MS,39532,USA,,,,ct,www.google.com/search?q=Bay+Area+ENT,Bay Area ENT Biloxi,"Apr 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
4,5,"Brookhaven ENT Allergy and Facial Surgery, P.A.",31.578066,-90.442758,granted,201 South Railroad Avenue,,Brookhaven,MS,39601,USA,,brookhavenent.com/,,ct,,"Brookhaven ENT Allergy and Facial Surgery, P.A. Brookhaven","Jun 30, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,Cardiology Associates of North Mississippi,34.252548,-88.71761,multigranted,499 Gloster Creek Village,Suite A2,Tupelo,MS,38801,USA,,,,"nuclear, ct, echo, vascular",www.google.com/search?q=Cardiology+Associates+of+North+Mississippi,Cardiology Associates of North Mississippi Tupelo,"Sep 30, 2023","Body CT, Coronary CTA, Neurological CT, Vascular CTA","Oct 31, 2024",Adult Transthoracic,,,"Feb 28, 2023","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)","Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Screening",,,,,,,,,,,,,,
6,7,Cardiology Associates of North Mississippi - Columbus,33.523351,-88.429005,multigranted,2459 5th Street North,,Columbus,MS,39705,USA,,,,"nuclear, echo, vascular",www.google.com/search?q=Cardiology+Associates+of+North+Mississippi+-+Columbus,Cardiology Associates of North Mississippi - Columbus Columbus,,,"Oct 31, 2024",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Screening",,,,,,,,,,,,,,
7,8,Cardiology Associates of North Mississippi - Corinth,34.936232,-88.558651,multigranted,616 Alcorn Drive,,Corinth,MS,38834,USA,,,,"nuclear, echo, vascular",www.google.com/search?q=Cardiology+Associates+of+North+Mississippi+-+Corinth,Cardiology Associates of North Mississippi - Corinth Corinth,,,"Oct 31, 2024",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Nov 30, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
8,9,Cardiology Associates of North Mississippi - Oxford,34.331994,-89.519805,multigranted,2892 South Lamar Boulevard,,Oxford,MS,36655,USA,,,,"nuclear, echo, vascular",www.google.com/search?q=Cardiology+Associates+of+North+Mississippi+-+Oxford,Cardiology Associates of North Mississippi - Oxford Oxford,,,"Oct 31, 2024",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Screening",,,,,,,,,,,,,,
9,10,Cardiology Associates of North Mississippi - Starkville,33.462012,-88.845411,multigranted,801 Stark Road,,Starkville,MS,39759,USA,,,,"nuclear, echo, vascular",www.google.com/search?q=Cardiology+Associates+of+North+Mississippi+-+Starkville,Cardiology Associates of North Mississippi - Starkville Starkville,,,"Oct 31, 2024",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Screening",,,,,,,,,,,,,,
