,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Alpine Orthopedics and Sports Medicine,45.673604,-111.104212,granted,"536 Cottonwood Rd., Suite 100",,Bozeman,MT,59718,USA,,www.alpineorthopedics.com,,mr,,Alpine Orthopedics and Sports Medicine Bozeman,,,,,"Feb 29, 2024",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,Bellamah Vein Center,46.902284,-114.036894,multigranted,2975 Stockyard Rd.,Ste 200,Missoula,MT,59808,USA,,veinmontana.com/,,"vascular, vein_center",,Bellamah Vein Center Missoula,,,,,,,,,"Apr 30, 2024",Peripheral Venous Testing,,,,,,,"May 31, 2024",Superficial Venous Evaluation and Management,,,,,,
2,3,Big Sky Diagnostic Imaging,46.008213,-112.547569,multigranted,"401 S. Alabama St., Ste. 7",,Butte,MT,59701,USA,,,,"ct, mr",www.google.com/search?q=Big+Sky+Diagnostic+Imaging,Big Sky Diagnostic Imaging Butte,"Sep 30, 2023","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 30, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
3,4,Bozeman Health Cardiology Consultants,45.670385,-111.017232,granted,937 Highland Boulevard,Suite 5510,Bozeman,MT,59715,USA,,www.bozemandeaconess.org,,echo,,Bozeman Health Cardiology Consultants Bozeman,,,"Oct 31, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,Bozeman Health Cardiology Consultants,45.671144,-111.017152,granted,915 Highland Boulevard,,Bozeman,MT,59715,USA,,,,echo,www.google.com/search?q=Bozeman+Health+Cardiology+Consultants,Bozeman Health Cardiology Consultants Bozeman,,,"Oct 31, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
5,6,Bridger Orthopedic and Sports Medicine,45.671758,-111.016187,granted,1450 Ellis Street,Suite 201,Bozeman,MT,59715,USA,,www.bridgerorthopedic.com,,mr,,Bridger Orthopedic and Sports Medicine Bozeman,,,,,"Feb 28, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
6,7,CardioVascular Consultants of Montana,45.793195,-108.514402,granted,1101 North 27th Street,Suite F,Billings,MT,59101,USA,,,,echo,www.google.com/search?q=CardioVascular+Consultants+of+Montana,CardioVascular Consultants of Montana Billings,,,"Sep 29, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,"Ear, Nose and Throat Associates",45.792893,-108.518498,granted,2900 12th Avenue North,Suite 330w,Billings,MT,59101,USA,,,,ct,"www.google.com/search?q=Ear,+Nose+and+Throat+Associates","Ear, Nose and Throat Associates Billings","Mar 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
8,9,"Glacier Ear, Nose, and Throat, Head and Neck Surgery, PC",48.218192,-114.328166,granted,160 Heritage Way,,Kalispell,MT,59901,USA,,glacierentclinic.com,,ct,,"Glacier Ear, Nose, and Throat, Head and Neck Surgery, PC Kalispell","Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
9,10,Helena Cardiology Clinic,46.580635,-111.995344,granted,32 Medical Park Drive,,Helena,MT,59601,USA,,,,echo,www.google.com/search?q=Helena+Cardiology+Clinic,Helena Cardiology Clinic Helena,,,"Sep 30, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
