,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advent Health Hendersonville,35.391908,-82.488057,granted,100 Hospital Drive,,Hendersonville,NC,28732,USA,,parkridgehealth.org,,echo,,Advent Health Hendersonville Hendersonville,,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,Advent Health Hendersonville,35.390369,-82.486831,granted,50 Hospital Drive,Suite 3-B,Hendersonville,NC,28732,USA,,,,echo,www.google.com/search?q=Advent+Health+Hendersonville,Advent Health Hendersonville Hendersonville,,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,"Alamance Ear, Nose and Throat, LLP",36.063636,-79.502685,granted,1248 Huffman Mill Road,Suite 200,Burlington,NC,27215,USA,,www.alamance-ent.com/,,ct,,"Alamance Ear, Nose and Throat, LLP Burlington","Oct 30, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
3,4,Alamance Vein and Vascular Surgery,36.06316,-79.495793,granted,2977 Crouse Lane,,Burlington,NC,27215,USA,,,,vascular,www.google.com/search?q=Alamance+Vein+and+Vascular+Surgery,Alamance Vein and Vascular Surgery Burlington,,,,,,,,,"Apr 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
4,5,Alliance Medical Associates,36.063123,-79.49546,granted,2961 Crouse Lane,Suite B,Burlington,NC,27215,USA,,www.alliancemedicalassociates.com,,nuclear,,Alliance Medical Associates Burlington,,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,"Alliance Medical Associates, PLLC",36.06314,-79.497191,granted,2905 Crouse Lane,,Burlington,NC,27215,USA,,,,echo,"www.google.com/search?q=Alliance+Medical+Associates,+PLLC","Alliance Medical Associates, PLLC Burlington",,,"Jun 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,"Andre K. S. Tse, M.D., P.A.",34.765362,-77.385459,granted,158 Memorial Court,,Jacksonville,NC,28546,USA,,,,nuclear,"www.google.com/search?q=Andre+K.+S.+Tse,+M.D.,+P.A.","Andre K. S. Tse, M.D., P.A. Jacksonville",,,,,,,"Feb 29, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Angel Medical Center,35.184628,-83.37764,granted,120 Riverview street,,Franklin,NC,28734,USA,,,,echo,www.google.com/search?q=Angel+Medical+Center,Angel Medical Center Franklin,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Annie Penn Hospital,36.354961,-79.666191,granted,618 South Main Street,,Reidsville,NC,27320,USA,,,,echo,www.google.com/search?q=Annie+Penn+Hospital,Annie Penn Hospital Reidsville,,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Asheville Cardiology Associates at Brevard,35.256336,-82.713048,granted,260 Hospital Drive,,Brevard,NC,28712,USA,,,,echo,www.google.com/search?q=Asheville+Cardiology+Associates+at+Brevard,Asheville Cardiology Associates at Brevard Brevard,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
