,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Catalyst Medical Center, PC",46.846914,-96.810604,granted,1800 21st Ave S,,Fargo,ND,58103,USA,,www.CatalystMedicalCenter.com,,ct,,"Catalyst Medical Center, PC Fargo","Sep 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,Essentia Health Fargo,46.8325,-96.828106,granted,3000 32nd Avenue SW,,Fargo,ND,58104,USA,,,,echo,www.google.com/search?q=Essentia+Health+Fargo,Essentia Health Fargo Fargo,,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Mid Dakota Clinic PC,46.809417,-100.778476,granted,401 North 9th Street,,Bismarck,ND,58501,USA,,,,vascular,www.google.com/search?q=Mid+Dakota+Clinic+PC,Mid Dakota Clinic PC Bismarck,,,,,,,,,"Nov 30, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,"Plains Ear, Nose, Throat and Facial Plastic Surgery PC",46.86351,-96.822727,granted,2700 12th Ave S,Suite D,Fargo,ND,58103,USA,,plainsent.com,,ct,,"Plains Ear, Nose, Throat and Facial Plastic Surgery PC Fargo","Aug 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
4,5,Sanford Bismarck,46.807457,-100.781563,granted,300 N 7th Street,,Bismarck,ND,58501,USA,,,,echo,www.google.com/search?q=Sanford+Bismarck,Sanford Bismarck Bismarck,,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Sanford Health Jamestown Clinic,46.910647,-98.707091,granted,300 2nd Ave NE,,Jamestown,ND,58401,USA,,,,echo,www.google.com/search?q=Sanford+Health+Jamestown+Clinic,Sanford Health Jamestown Clinic Jamestown,,,"Apr 30, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Sanford Health Valley City Clinic,46.927975,-97.995236,granted,520 Chautauqua Boulevard,,Valley City,ND,58072,USA,,,,echo,www.google.com/search?q=Sanford+Health+Valley+City+Clinic,Sanford Health Valley City Clinic Valley City,,,"Apr 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
7,8,Sanford Health Wahpeton Clinic,46.265032,-96.605012,granted,332 2nd Avenue N,,Wahpeton,ND,58075,USA,,,,echo,www.google.com/search?q=Sanford+Health+Wahpeton+Clinic,Sanford Health Wahpeton Clinic Wahpeton,,,"Apr 30, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Sanford Mayville Medical Center,47.500684,-97.317368,granted,42 6th Ave SE,,Mayville,ND,58257,USA,,,,echo,www.google.com/search?q=Sanford+Mayville+Medical+Center,Sanford Mayville Medical Center Mayville,,,"Apr 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Sanford Medical Center Broadway,46.88468,-96.78773,multigranted,801 Broadway N.,,Fargo,ND,58122,USA,,,,"echo, pediatric_echo",www.google.com/search?q=Sanford+Medical+Center+Broadway,Sanford Medical Center Broadway Fargo,,,"Apr 30, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,"Jun 30, 2025",Pediatric Transthoracic,,,,,,,,,,,,
10,11,Sanford Medical Center Fargo,46.884644,-96.787758,granted,801 N Broadway,,Fargo,ND,58122,USA,,,,vascular,www.google.com/search?q=Sanford+Medical+Center+Fargo,Sanford Medical Center Fargo Fargo,,,,,,,,,"Nov 29, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
11,12,Sanford Medical Center Fargo,46.843968,-96.880215,granted,5525 23rd Ave S,,Fargo,ND,58104,USA,,,,vascular,www.google.com/search?q=Sanford+Medical+Center+Fargo,Sanford Medical Center Fargo Fargo,,,,,,,,,"Nov 29, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
12,13,Sanford Medical Center Fargo,46.843997,-96.876529,multigranted,5225 23rd Ave S,,Fargo,ND,58104,USA,,,,"echo, pediatric_echo",www.google.com/search?q=Sanford+Medical+Center+Fargo,Sanford Medical Center Fargo Fargo,,,"Apr 30, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,"Jun 30, 2025",Pediatric Transthoracic,,,,,,,,,,,,
13,14,Valley Bone and Joint Clinic,47.917062,-97.073434,granted,3035 Demers Ave,,Grand Forks,ND,58201,USA,,valleyboneandjointclinic.com,,mr,,Valley Bone and Joint Clinic Grand Forks,,,,,"Oct 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
