,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Cardiovascular Care,41.118438,-95.951538,multigranted,12717 S. 28th Ave,Suite B,Bellevue,NE,68123,USA,,,,"nuclear, echo",www.google.com/search?q=Advanced+Cardiovascular+Care,Advanced Cardiovascular Care Bellevue,,,"Aug 31, 2023",Adult Transthoracic,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Advanced Vascular and Vein Center,41.259863,-96.187521,granted,17410 Burke St,Suite 106,Omaha,NE,68118,USA,,,,vascular,www.google.com/search?q=Advanced+Vascular+and+Vein+Center,Advanced Vascular and Vein Center Omaha,,,,,,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Bryan Medical Center,40.796598,-96.653661,granted,1600 South 48th Street,,Lincoln,NE,68506,USA,,,,vascular,www.google.com/search?q=Bryan+Medical+Center,Bryan Medical Center Lincoln,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,Bryan Medical Center - East Campus,40.796598,-96.653661,granted,1600 South 48th Street,,Lincoln,NE,68506,USA,,,,echo,www.google.com/search?q=Bryan+Medical+Center+-+East+Campus,Bryan Medical Center - East Campus Lincoln,,,"Jul 31, 2025","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
4,5,Bryan Medical Center - West Campus,40.790201,-96.696739,granted,2221 South 17th,,Lincoln,NE,68502,USA,,,,echo,www.google.com/search?q=Bryan+Medical+Center+-+West+Campus,Bryan Medical Center - West Campus Lincoln,,,"Jul 31, 2025","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
5,6,Bryan Medical Center West,40.791403,-96.698402,granted,2300 South 16th Street,,Lincoln,NE,68502,USA,,,,vascular,www.google.com/search?q=Bryan+Medical+Center+West,Bryan Medical Center West Lincoln,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Central Nebraska Orthopedics and Sports Medicine,40.923878,-98.384603,granted,620 N Diers Ave. Suite 200,,Grand Island,NE,68803,USA,,,,mr,www.google.com/search?q=Central+Nebraska+Orthopedics+and+Sports+Medicine,Central Nebraska Orthopedics and Sports Medicine Grand Island,,,,,"Sep 30, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
7,8,CHI Health Alegent Creighton Clinic Lakeside,41.23675,-96.181357,granted,16909 Lakeside Hills Court,Suite 101,Omaha,NE,68130,USA,,,,echo,www.google.com/search?q=CHI+Health+Alegent+Creighton+Clinic+Lakeside,CHI Health Alegent Creighton Clinic Lakeside Omaha,,,"Apr 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,CHI Health Bergan Mercy,41.237904,-96.028717,multigranted,7500 Mercy Road,,Omaha,NE,68124,USA,,,,"vascular, echo",www.google.com/search?q=CHI+Health+Bergan+Mercy,CHI Health Bergan Mercy Omaha,,,"Apr 30, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Nov 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
9,10,CHI Health Bergan Mercy,41.237904,-96.028717,granted,7500 Mercy Road,,Omaha,NE,68124,USA,,www.alegent.com,,nuclear,,CHI Health Bergan Mercy Omaha,,,,,,,"Feb 29, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
10,11,CHI Health Clinic Cardiology,40.922838,-98.385788,granted,3515 Richmond Circle,,Grand Island,NE,68803,USA,,www.neheart.com,,nuclear,,CHI Health Clinic Cardiology Grand Island,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
11,12,CHI Health Clinic Cardiology,40.591391,-98.386146,granted,"715 North Kansas Ave, Suite 200",,Hastings,NE,68901,USA,,www.neheart.com,,nuclear,,CHI Health Clinic Cardiology Hastings,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,CHI Health Clinic Cardiology,41.120422,-100.76609,granted,102 McNeel Lane,Suite 1,North Platte,NE,69101,USA,,www.neheart.com,,nuclear,,CHI Health Clinic Cardiology North Platte,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
