,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Access Sports Medicine and Orthopaedics,42.977929,-70.917373,granted,1 Hampton Rd,Suite 200,Exeter,NH,03857,USA,,,,mr,www.google.com/search?q=Access+Sports+Medicine+and+Orthopaedics,Access Sports Medicine and Orthopaedics Exeter,,,,,"Aug 31, 2025",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,Access Sports Medicine and Orthropaedics,43.220897,-70.888572,granted,19 Webb Place,,Dover,NH,03820,USA,,,,mr,www.google.com/search?q=Access+Sports+Medicine+and+Orthropaedics,Access Sports Medicine and Orthropaedics Dover,,,,,"Aug 31, 2025",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
2,3,Androscoggin Valley Hospital,44.487099,-71.156548,granted,59 Page Hill Rd,,Berlin,NH,03570,USA,,avhnh.org,,echo,,Androscoggin Valley Hospital Berlin,,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Anil Mukerjee MD, FACC, FACP, FASE, FASNC",44.301611,-71.769005,granted,134 Cottage street,PO Box 680,Littleton,NH,03561,USA,,,,echo,"www.google.com/search?q=Anil+Mukerjee+MD,+FACC,+FACP,+FASE,+FASNC","Anil Mukerjee MD, FACC, FACP, FASE, FASNC Littleton",,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,Cardiology Care of New Hampshire and York Hospital,43.096801,-70.797225,granted,2064 Woodbury Avenue,Suite 103,Newington,NH,03801,USA,,www.yorkhospital.com,,vascular,,Cardiology Care of New Hampshire and York Hospital Newington,,,,,,,,,"Aug 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
5,6,Cardiovascular Care of New Hampshire and York Hospital,43.096801,-70.797225,granted,2064 Woodbury Avenue,"Building I, Suite 103",Newington,NH,03801,USA,,,,echo,www.google.com/search?q=Cardiovascular+Care+of+New+Hampshire+and+York+Hospital,Cardiovascular Care of New Hampshire and York Hospital Newington,,,"Dec 31, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,Catholic Medical Center,42.991211,-71.47379,granted,100 McGregor Street,,Manchester,NH,03102,USA,,,,echo,www.google.com/search?q=Catholic+Medical+Center,Catholic Medical Center Manchester,,,"Aug 31, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,CCTVS  Appledore Medical Group,43.243262,-70.898573,granted,3 Terrascape Parkway,,Somersworth,NH,03802,USA,,,,vascular,www.google.com/search?q=CCTVS++Appledore+Medical+Group,CCTVS  Appledore Medical Group Somersworth,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
8,9,CCTVS  Appledore Medical Group,43.06504,-70.79026,granted,333 Borthwick Avenue,Suite402,Portsmouth,NH,03801,USA,,,,vascular,www.google.com/search?q=CCTVS++Appledore+Medical+Group,CCTVS  Appledore Medical Group Portsmouth,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
9,10,Center for Vein Restoration,42.784021,-71.213081,multigranted,224 Main Street,Suite 1-D,Salem,NH,03079,USA,,,,"vein_center, vascular",www.google.com/search?q=Center+for+Vein+Restoration,Center for Vein Restoration Salem,,,,,,,,,"Feb 28, 2023",Peripheral Venous Testing,,,,,,,"Oct 31, 2022",Superficial Venous Evaluation and Management,,,,,,
10,11,Cheshire Medical Center,42.949873,-72.290732,granted,580 Court Street,4th Floor,Keene,NH,03431,USA,,www.cheshire-med.com,,echo,,Cheshire Medical Center Keene,,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Concord Hospital,43.196329,-71.562366,multigranted,250 Pleasant Street,,Concord,NH,03301,USA,,www.concordhospital.org,,"vascular, echo",,Concord Hospital Concord,,,"Aug 31, 2025","Adult Stress, Adult Transthoracic",,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
12,13,Dartmouth Hitchcock Clinic - Concord,43.196542,-71.563258,granted,253 Pleasant Street,,Concord,NH,03301,USA,,,,vascular,www.google.com/search?q=Dartmouth+Hitchcock+Clinic+-+Concord,Dartmouth Hitchcock Clinic - Concord Concord,,,,,,,,,"Dec 31, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
13,14,Dartmouth Hitchcock Clinic - Manchester,43.009658,-71.422039,granted,100 Hitchcock Way,,Manchester,NH,03104,USA,,,,vascular,www.google.com/search?q=Dartmouth+Hitchcock+Clinic+-+Manchester,Dartmouth Hitchcock Clinic - Manchester Manchester,,,,,,,,,"Dec 31, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
14,15,Dartmouth Hitchcock Clinic - Nashua,42.786311,-71.498373,granted,2300 Southwood Drive,,Nashua,NH,03063,USA,,,,vascular,www.google.com/search?q=Dartmouth+Hitchcock+Clinic+-+Nashua,Dartmouth Hitchcock Clinic - Nashua Nashua,,,,,,,,,"Dec 31, 2022","Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
15,16,Dartmouth-Hitchcock Clinic,43.009535,-71.42193,granted,100 Hitchcock Way,,Manchester,NH,03104,USA,,,,pediatric_echo,www.google.com/search?q=Dartmouth-Hitchcock+Clinic,Dartmouth-Hitchcock Clinic Manchester,,,,,,,,,,,"Dec 31, 2024","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
16,17,Dartmouth-Hitchcock Clinic Concord,43.196542,-71.563258,granted,253 Pleasant Street,,Concord,NH,03301,USA,,,,echo,www.google.com/search?q=Dartmouth-Hitchcock+Clinic+Concord,Dartmouth-Hitchcock Clinic Concord Concord,,,"Nov 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
