,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,247 Heart and Vascular,40.437645,-74.537601,granted,3084 State Route 27,Suite 5,Kendall Park,NJ,08824,USA,,www.247heartandvascular.com,,echo,,247 Heart and Vascular Kendall Park,,,"Mar 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,Access Medicine NJ,40.729073,-74.162643,granted,228 Lafayette Street,,Newark,NJ,07105,USA,,,,echo,www.google.com/search?q=Access+Medicine+NJ,Access Medicine NJ Newark,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Advanced Cardiology of South Jersey,39.750148,-75.259456,granted,4 Burton Lane,Suite 100,Mullica Hill,NJ,08062,USA,,,,echo,www.google.com/search?q=Advanced+Cardiology+of+South+Jersey,Advanced Cardiology of South Jersey Mullica Hill,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Advanced Cardiology of South Jersey,39.750148,-75.259456,multigranted,4 Burton Lane,Suite 100,Mullica Hill,NJ,08062,USA,,,,"nuclear, vascular",www.google.com/search?q=Advanced+Cardiology+of+South+Jersey,Advanced Cardiology of South Jersey Mullica Hill,,,,,,,"Oct 31, 2023",Myocardial Perfusion Imaging,"Jan 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
4,5,Advanced Cardiology Practice,40.946763,-74.206014,granted,246 Hamburg Tpk. Suite. 201,,Wayne,NJ,07470,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiology+Practice,Advanced Cardiology Practice Wayne,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,"Advanced Cardiology Practice, LLC",40.946763,-74.206014,granted,246 Hamburg Turnpike,Suite 201,Wayne,NJ,07470,USA,,,,echo,"www.google.com/search?q=Advanced+Cardiology+Practice,+LLC","Advanced Cardiology Practice, LLC Wayne",,,"Jan 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,"Advanced Cardiology, LLC",41.057739,-74.755027,multigranted,59-61 High Street,,Newton,NJ,07860,USA,,,,"echo, vascular","www.google.com/search?q=Advanced+Cardiology,+LLC","Advanced Cardiology, LLC Newton",,,"Nov 29, 2022",Adult Transthoracic,,,,,"May 31, 2023",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
7,8,"Advanced Cardiology, LLC",40.824248,-74.449046,multigranted,65 Ridgedale Avenue,,Cedar Knolls,NJ,07927,USA,,,,"echo, vascular","www.google.com/search?q=Advanced+Cardiology,+LLC","Advanced Cardiology, LLC Cedar Knolls",,,"Nov 29, 2022",Adult Transthoracic,,,,,"May 31, 2023",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
8,9,"Advanced Cardiology, LLC",40.856131,-74.815443,multigranted,117 Seber Road,Suite #1B,Hackettstown,NJ,07840,USA,,,,"echo, vascular","www.google.com/search?q=Advanced+Cardiology,+LLC","Advanced Cardiology, LLC Hackettstown",,,"Nov 29, 2022",Adult Transthoracic,,,,,"May 31, 2023",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
9,10,Advanced Heart and  Vascular Institute of Hunterdon,40.631972,-74.886114,multigranted,"200 Route 31 North, Suite 101",Raritan Commons,Flemington,NJ,08822,USA,,www.hunterdonheartandvascular.com/,,"echo, vascular, vein_center",,Advanced Heart and  Vascular Institute of Hunterdon Flemington,,,"Dec 31, 2022",Adult Transthoracic,,,,,"Feb 28, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,"May 31, 2023",Superficial Venous Evaluation and Management,,,,,,
10,11,Advanced Open MRI of West Hudson,40.777333,-74.133412,granted,732 Elm St.,,Kearny,NJ,07032,USA,,,,mr,www.google.com/search?q=Advanced+Open+MRI+of+West+Hudson,Advanced Open MRI of West Hudson Kearny,,,,,"Oct 31, 2023","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
11,12,Advanced Primary Care,40.642326,-74.380007,granted,346 South Avenue,,Fanwood,NJ,07023,USA,,,,echo,www.google.com/search?q=Advanced+Primary+Care,Advanced Primary Care Fanwood,,,"Sep 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
12,13,"Advanced Vascular Associates, PC",40.788509,-74.460928,multigranted,131 Madison Avenue,,Morristown,NJ,07960,USA,,,,"vascular, vein_center","www.google.com/search?q=Advanced+Vascular+Associates,+PC","Advanced Vascular Associates, PC Morristown",,,,,,,,,"Mar 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,"Jun 30, 2023",Superficial Venous Evaluation and Management,,,,,,
13,14,"Advanced Vascular Associates, PC",41.039655,-74.643994,granted,757 route 15,Suite 103B,Lake Hopatcong,NJ,07849,USA,,,,vascular,"www.google.com/search?q=Advanced+Vascular+Associates,+PC","Advanced Vascular Associates, PC Lake Hopatcong",,,,,,,,,"Mar 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
14,15,Advocare Berlin Medical Associates,39.779095,-74.954424,multigranted,175 Cross Keys Rd,,Berlin,NJ,08009,USA,,berlinmedical.org,,"echo, nuclear",,Advocare Berlin Medical Associates Berlin,,,"Aug 31, 2023",Adult Transthoracic,,,"May 31, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
15,16,Advocare Gardenstate Cardiology Associates,39.846665,-74.990296,multigranted,320 Rt 73,,Voorhees,NJ,08043,USA,,,,"vein_center, nuclear, echo",www.google.com/search?q=Advocare+Gardenstate+Cardiology+Associates,Advocare Gardenstate Cardiology Associates Voorhees,,,"Jul 31, 2024",Adult Transthoracic,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,"Apr 30, 2023",Superficial Venous Evaluation and Management,,,,,,
16,17,"Alexander Kasatkin, MD, PC",40.94074,-74.115039,multigranted,28-02 Fair Lawn Ave,,Fair Lawn,NJ,07410,USA,,,,"echo, vascular","www.google.com/search?q=Alexander+Kasatkin,+MD,+PC","Alexander Kasatkin, MD, PC Fair Lawn",,,"Jun 30, 2023","Adult Stress, Adult Transthoracic",,,,,"Mar 31, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
