,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Albuquerque Vein and Laser Institute,35.164437,-106.589296,multigranted,5110 Masthead St. NE Suite C,,Albuquerque,NM,87109,USA,,albuquerquevein.com,,"vein_center, vascular",,Albuquerque Vein and Laser Institute Albuquerque,,,,,,,,,"Nov 30, 2024",Peripheral Venous Testing,,,,,,,"Aug 31, 2023",Superficial Venous Evaluation and Management,,,,,,
1,2,"BreatheAmerica Albuquerque, Inc.",35.173152,-106.589298,granted,"4901 Lang Avenue, NE, Suite 100",,Albuquerque,NM,87109,USA,,,,ct,"www.google.com/search?q=BreatheAmerica+Albuquerque,+Inc.","BreatheAmerica Albuquerque, Inc. Albuquerque","Mar 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,Cardiac Ultrasound Laboratory  University of New Mexico Hospital,35.069806,-106.620756,granted,"2 South, Heart Station",2211 Lomas Blvd NE,Albuquerque,NM,87106,USA,,UNM.edu,,echo,,Cardiac Ultrasound Laboratory  University of New Mexico Hospital Albuquerque,,,"Oct 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,Center for Venous Disease,35.646026,-105.952519,granted,"490 B West Zia Rd., Ste 1",,Santa Fe,NM,87505,USA,,www.veinscreening.com,,vascular,,Center for Venous Disease Santa Fe,,,,,,,,,"Dec 31, 2022",Peripheral Venous Testing,,,,,,,,,,,,,,
4,5,Children’s Hospital Heart Center,35.069806,-106.620756,granted,2211 Lomas Bl. NE,University of New Mexico Hospital,Albuquerque,NM,87106,USA,,hospitals.unm.edu/children/chhc/index.shtml,,pediatric_echo,,Children’s Hospital Heart Center Albuquerque,,,,,,,,,,,"Aug 31, 2023","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
5,6,Christus St Vincent Regional Medical Center,35.658175,-105.948342,granted,455 St Michael’s Drive,,Santa Fe,NM,87505,USA,,www.stvin.org,,echo,,Christus St Vincent Regional Medical Center Santa Fe,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,Clovis Cardiology Associates,34.419316,-103.228994,granted,2000 W. 21st St. Ste. E-1,,Clovis,NM,88101,USA,,,,nuclear,www.google.com/search?q=Clovis+Cardiology+Associates,Clovis Cardiology Associates Clovis,,,,,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,Eastern New Mexico Medical Center,33.4233,-104.527405,granted,405 West Country Club Road,,Roswell,NM,88201,USA,,www.enmmc.com,,echo,,Eastern New Mexico Medical Center Roswell,,,"Dec 31, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,El Camino Imaging Center,35.093581,-106.555698,granted,8020 Constitution Place NE,,Albuquerque,NM,87110,USA,,www.xranm.com,,nuclear,,El Camino Imaging Center Albuquerque,,,,,,,"Dec 31, 2022",General Nuclear Medicine,,,,,,,,,,,,,,,,
9,10,Hobbs Open MRI,32.742444,-103.162928,granted,3900 N Lovington Hwy,Suite 300,Hobbs,NM,88240,USA,,,,mr,www.google.com/search?q=Hobbs+Open+MRI,Hobbs Open MRI Hobbs,,,,,"May 31, 2024","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
10,11,Holy Cross Hospital,36.368119,-105.57827,granted,1397 Weimer Road,,Taos,NM,87571,USA,,www.taoshospital.org,,echo,,Holy Cross Hospital Taos,,,"Oct 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,"Las Cruces Cardiology, LLC",32.319436,-106.737211,granted,3825 Foothills Rd,Suite A,Las Cruces,NM,88011,USA,,,,nuclear,"www.google.com/search?q=Las+Cruces+Cardiology,+LLC","Las Cruces Cardiology, LLC Las Cruces",,,,,,,"Oct 31, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,"Las Cruces Cardiology, LLC",32.324061,-106.725799,granted,3825 Foothills Rd,Suite A,Las Cruces,NM,88011,USA,,www.lccardiology.com,,echo,,"Las Cruces Cardiology, LLC Las Cruces",,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
