,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Heart Care Associates,36.111595,-115.123731,granted,4275 Burnham Ave,Suite 220,Las Vegas,NV,89119,USA,,,,nuclear,www.google.com/search?q=Advanced+Heart+Care+Associates,Advanced Heart Care Associates Las Vegas,,,,,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
1,2,Advanced Orthopedics and Sports medicine,36.055534,-115.275065,granted,8420 W. Warm Springs Rd,,Las Vegas,NV,89113,USA,,advorthopedics.com,,mr,,Advanced Orthopedics and Sports medicine Las Vegas,,,,,"Aug 31, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
2,3,Cardiology Specialists of Nevada,36.216593,-115.251216,granted,3150 N Tenaya Way Suite 135,,Las Vegas,NV,89128,USA,,,,nuclear,www.google.com/search?q=Cardiology+Specialists+of+Nevada,Cardiology Specialists of Nevada Las Vegas,,,,,,,"Nov 29, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
3,4,Carson Surgical Group,39.198463,-119.781641,granted,1375 Vista Lane,,Carson City,NV,89703,USA,,,,vascular,www.google.com/search?q=Carson+Surgical+Group,Carson Surgical Group Carson City,,,,,,,,,"Dec 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,Carson Surgical Group,38.955761,-119.779027,granted,1667 Lucerne St.,Suite A,Minden,NV,89423,USA,,,,vascular,www.google.com/search?q=Carson+Surgical+Group,Carson Surgical Group Minden,,,,,,,,,"Dec 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
5,6,Courtney W Garrett MD Ltd.,39.523827,-119.800334,granted,900 Ryland Street,,Reno,NV,89502,USA,,,,ct,www.google.com/search?q=Courtney+W+Garrett+MD+Ltd.,Courtney W Garrett MD Ltd. Reno,"Aug 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
6,7,Crovetti Orthopaedics and Sports Medicine,35.98077,-115.106242,granted,2779 West Horizon Ridge 200,,Henderson,NV,89052,USA,,www.crovettiortho.com,,mr,,Crovetti Orthopaedics and Sports Medicine Henderson,,,,,"Dec 31, 2022",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
7,8,Desert Cardiovascular Consultants,36.083527,-115.297529,granted,5785 S. Fort Apache Ste A-100,,Las Vegas,NV,89148,USA,,,,nuclear,www.google.com/search?q=Desert+Cardiovascular+Consultants,Desert Cardiovascular Consultants Las Vegas,,,,,,,"Feb 29, 2024","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
8,9,Healthcare Partners of Nevada Cardiology,36.070247,-115.294948,granted,9280 W Sunset Rd,Ste. 320,Las Vegas,NV,89148,USA,,,,echo,www.google.com/search?q=Healthcare+Partners+of+Nevada+Cardiology,Healthcare Partners of Nevada Cardiology Las Vegas,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Healthcare Partners of Nevada-Cardiology Division,36.183102,-115.316099,granted,10105 Banburry Cross Dr.,Suite 250,Las Vegas,NV,89144,USA,,www.ccnv.com,,echo,,Healthcare Partners of Nevada-Cardiology Division Las Vegas,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
