,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"1211 WPR Medical Services, PC",40.830922,-73.861812,multigranted,1211 White Plains Road,,Bronx,NY,10472,USA,,,,"nuclear, vascular, echo","www.google.com/search?q=1211+WPR+Medical+Services,+PC","1211 WPR Medical Services, PC Bronx",,,"Mar 31, 2025",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,"Feb 28, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
1,2,"Accord Medical Care, PC",40.638392,-74.010127,granted,5724 7th Ave,2F,Brooklyn,NY,11220,USA,,,,echo,"www.google.com/search?q=Accord+Medical+Care,+PC","Accord Medical Care, PC Brooklyn",,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,"Accurate Medical Diagnostic Services, PC",40.598588,-74.162482,granted,2025 Richmond Avenue,Suite 2,Staten Island,NY,10314,USA,,,,mr,"www.google.com/search?q=Accurate+Medical+Diagnostic+Services,+PC","Accurate Medical Diagnostic Services, PC Staten Island",,,,,"Mar 31, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
3,4,Adirondack Cardiology - A Service of Glens Falls Hospital,43.338633,-73.652803,multigranted,6 Hearts Way,,Queensbury,NY,12804,USA,,,,"nuclear, vascular, echo",www.google.com/search?q=Adirondack+Cardiology+-+A+Service+of+Glens+Falls+Hospital,Adirondack Cardiology - A Service of Glens Falls Hospital Queensbury,,,"Feb 28, 2025",Adult Transthoracic,,,"Jun 30, 2023",Myocardial Perfusion Imaging,"Jan 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,"Advanced Cardio Diagnostic, PLLC, Eugene Shteerman, MD, FACC",40.616395,-73.955844,granted,"1384 East 19th Street, Ste 1",,Brooklyn,NY,11230,USA,,checkmyheartnow.com,,echo,,"Advanced Cardio Diagnostic, PLLC, Eugene Shteerman, MD, FACC Brooklyn",,,"Jun 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
5,6,Advanced Cardiology,40.7532,-73.629145,granted,166 East Jericho Turnpike,,Mineola,NY,11501,USA,,,,echo,www.google.com/search?q=Advanced+Cardiology,Advanced Cardiology Mineola,,,"Dec 31, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Advanced Cardiovascular Care,40.618845,-74.021823,granted,705 86th Street,Suite M4,Brooklyn,NY,11228,USA,,,,echo,www.google.com/search?q=Advanced+Cardiovascular+Care,Advanced Cardiovascular Care Brooklyn,,,"Jan 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,"Advanced Cardiovascular Imaging, PC",40.760923,-73.830487,multigranted,"136-20 38th Avenue,",Suite 5G,Flushing,NY,11354,USA,,,,"nuclear, echo","www.google.com/search?q=Advanced+Cardiovascular+Imaging,+PC","Advanced Cardiovascular Imaging, PC Flushing",,,"Apr 30, 2024",Adult Transthoracic,,,"Feb 28, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,Advanced ENT Physicians and Surgeons of Central New York,43.039659,-76.022273,granted,4000 Medical Center Drive,Suite 404,Fayetteville,NY,13066,USA,,advancedentphysicians.com,,ct,,Advanced ENT Physicians and Surgeons of Central New York Fayetteville,"Jan 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
9,10,"Advanced Medical Care, PLLC",40.577896,-73.956386,granted,1117 Brighton Beach Avenue,2nd Floor,Brooklyn,NY,11235,USA,,,,echo,"www.google.com/search?q=Advanced+Medical+Care,+PLLC","Advanced Medical Care, PLLC Brooklyn",,,"Jun 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,"Advanced Medical Care, PLLC",40.72604,-73.852005,granted,101-24 Queens Blvd.,Suite A,Forest Hills,NY,11375,USA,,,,echo,"www.google.com/search?q=Advanced+Medical+Care,+PLLC","Advanced Medical Care, PLLC Forest Hills",,,"Jun 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,AdvantageCare Physicians PC,40.831,-73.108424,granted,640 Hawkins Avenue,,Ronkonkoma,NY,11779,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Ronkonkoma,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
12,13,AdvantageCare Physicians PC,40.742672,-73.309012,granted,300 Bayshore Road,,North Babylon,NY,11703,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC North Babylon,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,AdvantageCare Physicians PC,40.662065,-73.709462,granted,260 W. Sunrise Hwy,,Valley Stream,NY,11581,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Valley Stream,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
14,15,AdvantageCare Physicians PC,40.78423,-73.949159,granted,215 E. 95th Street,,New York,NY,10128,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC New York,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
15,16,AdvantageCare Physicians PC,40.757765,-73.69419,granted,1991 Marcus Avenue,,Lake Success,NY,11042,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Lake Success,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
16,17,AdvantageCare Physicians PC,40.809302,-73.949102,granted,215 W. 125th Street,,New York,NY,10027,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC New York,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
17,18,AdvantageCare Physicians PC,40.760324,-73.514958,granted,1055 Stewart Ave.,,Bethpage,NY,11714,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Bethpage,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
18,19,AdvantageCare Physicians PC,40.686175,-73.982887,granted,447 Atlantic Ave,,Brooklyn,NY,11217,USA,,www.acpny.com/doctors-locations/offices/downtown-medical-office,,echo,,AdvantageCare Physicians PC Brooklyn,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
19,20,AdvantageCare Physicians PC,40.711304,-73.85623,granted,96-10 Metropolitan Ave,,Forest Hills,NY,11375,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Forest Hills,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
20,21,AdvantageCare Physicians PC,40.756941,-73.978371,granted,590 5th Ave,,New York,NY,10036,USA,,,,echo,www.google.com/search?q=AdvantageCare+Physicians+PC,AdvantageCare Physicians PC New York,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
21,22,AdvantageCare Physicians PC,40.713173,-73.781859,granted,180-05 Hillside Ave,,Jamaica,NY,11432,USA,,www.acpny.com,,echo,,AdvantageCare Physicians PC Jamaica,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
22,23,AdvantageCare Physicians PC,40.527765,-74.165342,granted,4771 Hylan Blvd,,Staten Island,NY,10312,USA,,www.acpny.com/doctors-locations/offices/annadale-medical-office,,echo,,AdvantageCare Physicians PC Staten Island,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
23,24,AdvantageCare Physicians PC,40.619874,-74.108259,granted,1050 Clove Rd,,Staten Island,NY,10301,USA,,www.acpny.com/doctors-locations/offices/clove-road-medical-office,,echo,,AdvantageCare Physicians PC Staten Island,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
24,25,AdvantageCare Physicians PC,40.669758,-73.859458,granted,101 Pennsylvania Ave.,,Brooklyn,NY,11207,USA,,www.acpny.com/doctors-locations/offices/lindenwood-medical-office,,echo,,AdvantageCare Physicians PC Brooklyn,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
25,26,AdvantageCare Physicians PC,40.604628,-73.942691,granted,3245 Nostrand Ave,,Brooklyn,NY,11229,USA,,www.acpny.com/doctors-locations/offices/kings-highway-medical-office,,echo,,AdvantageCare Physicians PC Brooklyn,,,"Nov 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
26,27,"AdvantageCare Physicians, PC",40.675252,-73.896751,granted,101 Pennsylvania Ave,,Brooklyn,NY,11207,USA,,www.acpny.com,,nuclear,,"AdvantageCare Physicians, PC Brooklyn",,,,,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
27,28,"AdvantageCare Physicians, PC",40.757765,-73.69419,granted,1991 Marcus Ave.,2nd Fl,Lake Success,NY,11042,USA,,www.acpny.com,,nuclear,,"AdvantageCare Physicians, PC Lake Success",,,,,,,"Dec 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
28,29,Albany Associates in Cardiology-Clifton Park,42.864378,-73.78781,granted,1735 Route 9,,Clifton Park,NY,12065,USA,,,,echo,www.google.com/search?q=Albany+Associates+in+Cardiology-Clifton+Park,Albany Associates in Cardiology-Clifton Park Clifton Park,,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
29,30,Albany Associates in Cardiology-Troy,42.742856,-73.675151,granted,2 New Hampshire Avenue,,Troy,NY,12180,USA,,,,echo,www.google.com/search?q=Albany+Associates+in+Cardiology-Troy,Albany Associates in Cardiology-Troy Troy,,,"Jul 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
30,31,Albany ENT and Allergy Services,42.683062,-73.803889,granted,123 Everett Road,,Albany,NY,12205,USA,,,,ct,www.google.com/search?q=Albany+ENT+and+Allergy+Services,Albany ENT and Allergy Services Albany,"Feb 28, 2023","Body CT, Neurological CT, Vascular CTA, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
31,32,Albany Medical Center,42.653254,-73.77386,granted,43 New Scotland Avenue,MC 44,Albany,NY,12208,USA,,,,echo,www.google.com/search?q=Albany+Medical+Center,Albany Medical Center Albany,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
32,33,"Alexa S. Lessow, MD, PC",40.773109,-73.960548,granted,132 E. 76th Street,OFC 2A,New York,NY,10021,USA,,www.allergysinusnyc.com,,ct,,"Alexa S. Lessow, MD, PC New York","Oct 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
33,34,All Neurological Services,40.612488,-73.979159,granted,"2310 65th Street, 1st floor",,Brooklyn,NY,11204,USA,,www.neurologynynj.com/,,vascular,,All Neurological Services Brooklyn,,,,,,,,,"Oct 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
34,35,"Alpha Neurology, P.C.",40.575452,-74.119109,granted,27 New Dorp Lane,,Staten Island,NY,10306,USA,,,,vascular,"www.google.com/search?q=Alpha+Neurology,+P.C.","Alpha Neurology, P.C. Staten Island",,,,,,,,,"Feb 28, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
35,36,American Endovascular and Amputation Prevention,40.718889,-73.99923,granted,202 Center Street,5th Floor,New York,NY,10013,USA,,,,vascular,www.google.com/search?q=American+Endovascular+and+Amputation+Prevention,American Endovascular and Amputation Prevention New York,,,,,,,,,"Apr 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
36,37,American Endovascular and Amputation Prevention,40.624725,-73.96553,granted,1013 Avenue J,Suite A1,Brooklyn,NY,11230,USA,,,,vascular,www.google.com/search?q=American+Endovascular+and+Amputation+Prevention,American Endovascular and Amputation Prevention Brooklyn,,,,,,,,,"Apr 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
37,38,American Endovascular and Amputation Prevention,40.767949,-73.9205,granted,28-18 31st Street,2nd Floor,Astoria,NY,11102,USA,,,,vascular,www.google.com/search?q=American+Endovascular+and+Amputation+Prevention,American Endovascular and Amputation Prevention Astoria,,,,,,,,,"Apr 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
38,39,Amityville Heart Center,40.675603,-73.416488,granted,129 Broadway,,Amityville,NY,11701,USA,,,,echo,www.google.com/search?q=Amityville+Heart+Center,Amityville Heart Center Amityville,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
39,40,Aris Diagnostic Medical PLLC,40.684748,-73.850201,granted,88-09 101 Avenue,Ground Floor,Ozone Park,NY,11416,USA,,,,mr,www.google.com/search?q=Aris+Diagnostic+Medical+PLLC,Aris Diagnostic Medical PLLC Ozone Park,,,,,"May 31, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
40,41,Arnot Health Heart and Vascular Institute,42.099256,-76.826668,granted,600 Roe Avenue,,Elmira,NY,14905,USA,,,,echo,www.google.com/search?q=Arnot+Health+Heart+and+Vascular+Institute,Arnot Health Heart and Vascular Institute Elmira,,,"Nov 30, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
41,42,"Arun Gupta, MD",40.676968,-73.557621,granted,1703 Merrick Avenue,,Merrick,NY,11566,USA,,,,echo,"www.google.com/search?q=Arun+Gupta,+MD","Arun Gupta, MD Merrick",,,"Dec 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
42,43,Associated Cardiology Consultants,40.689413,-73.825725,granted,101-20 Lefferts Blvd,,Richmond Hill,NY,11419,USA,,,,echo,www.google.com/search?q=Associated+Cardiology+Consultants,Associated Cardiology Consultants Richmond Hill,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
43,44,Associated Cardiology Consultants,40.762643,-73.523021,granted,7 New Bridge Rd,,Hicksville,NY,11801,USA,,,,echo,www.google.com/search?q=Associated+Cardiology+Consultants,Associated Cardiology Consultants Hicksville,,,"Aug 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
44,45,"Astoria Medical of New York, LLC",40.760525,-73.91775,granted,30-33 Steinway,,Astoria,NY,11013,USA,,,,vascular,"www.google.com/search?q=Astoria+Medical+of+New+York,+LLC","Astoria Medical of New York, LLC Astoria",,,,,,,,,"Dec 30, 2022",Peripheral Venous Testing,,,,,,,,,,,,,,
45,46,"Atlantic Cardiovascular Assoc, PLLC",40.634395,-73.967395,granted,777 Coney Island Ave.,,Brooklyn,NY,11218,USA,,,,echo,"www.google.com/search?q=Atlantic+Cardiovascular+Assoc,+PLLC","Atlantic Cardiovascular Assoc, PLLC Brooklyn",,,"Nov 30, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
46,47,Auburn Cardiology  Associates,42.95335,-76.544959,granted,281 Grant Avenue,,Auburn,NY,13021,USA,,,,nuclear,www.google.com/search?q=Auburn+Cardiology++Associates,Auburn Cardiology  Associates Auburn,,,,,,,"Apr 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
47,48,Auburn Cardiology Associates,42.95335,-76.544959,granted,281 Grant Avenue,,Auburn,NY,13021,USA,,,,echo,www.google.com/search?q=Auburn+Cardiology+Associates,Auburn Cardiology Associates Auburn,,,"Dec 30, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
48,49,"Avni Thakore, MD",40.807606,-73.633781,granted,2200 Northern Blvd Suite 114,,East Hills,NY,11548,USA,,,,echo,"www.google.com/search?q=Avni+Thakore,+MD","Avni Thakore, MD East Hills",,,"Dec 31, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
49,50,"Balveen Singh, MD, PLLC",40.880045,-73.399956,granted,172 E Main Street,,Huntington,NY,11743,USA,,,,nuclear,"www.google.com/search?q=Balveen+Singh,+MD,+PLLC","Balveen Singh, MD, PLLC Huntington",,,,,,,"Aug 31, 2023","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
50,51,"Barbara L. Seifert, MD, PC",40.854909,-73.17726,granted,285 Middle Country Road,Suite LL2,Smithtown,NY,11787,USA,,,,pediatric_echo,"www.google.com/search?q=Barbara+L.+Seifert,+MD,+PC","Barbara L. Seifert, MD, PC Smithtown",,,,,,,,,,,"Dec 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
51,52,Barnes Primary Care,42.537067,-79.170534,granted,113 Main Street,,Silver Creek,NY,14136,USA,,medicorassociates.com,,echo,,Barnes Primary Care Silver Creek,,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
52,53,Barry Bellovin MD,40.781363,-73.775778,granted,23-25 Bell Boulevard,,Bayside,NY,11360,USA,,,,echo,www.google.com/search?q=Barry+Bellovin+MD,Barry Bellovin MD Bayside,,,"Jul 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
53,54,Bassett Healthcare Cobleskill Regional Hospital,42.686224,-74.482987,granted,178 Grandview Drive,,Cobleskill,NY,12043,USA,,,,echo,www.google.com/search?q=Bassett+Healthcare+Cobleskill+Regional+Hospital,Bassett Healthcare Cobleskill Regional Hospital Cobleskill,,,"Jan 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
54,55,Bassett Healthcare Echocardiography Laboratory,42.696067,-74.923598,granted,One Atwell Road,,Cooperstown,NY,13326,USA,,,,echo,www.google.com/search?q=Bassett+Healthcare+Echocardiography+Laboratory,Bassett Healthcare Echocardiography Laboratory Cooperstown,,,"Jan 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
55,56,Bassett Healthcare Little Falls,43.043887,-74.84732,granted,140 Burwell Street,,Little Falls,NY,13365,USA,,,,echo,www.google.com/search?q=Bassett+Healthcare+Little+Falls,Bassett Healthcare Little Falls Little Falls,,,"Jan 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
