,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Adena Greenfield Medical Center,39.349351,-83.387839,multigranted,550 Mirabeau Street,,Greenfield,OH,45123,USA,,,,"echo, vascular, nuclear",www.google.com/search?q=Adena+Greenfield+Medical+Center,Adena Greenfield Medical Center Greenfield,,,"Aug 31, 2023",Adult Transthoracic,,,"Feb 28, 2025",Myocardial Perfusion Imaging,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
1,2,Adena Health Center Jackson,39.032939,-82.618688,multigranted,1000 Veterans Drive,,Jackson,OH,45640,USA,,adena.org,,"echo, vascular, nuclear",,Adena Health Center Jackson Jackson,,,"Aug 31, 2023",Adult Transthoracic,,,"Feb 28, 2025",Myocardial Perfusion Imaging,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Adena Health Center Waverly,39.117785,-82.997966,multigranted,12340 State Route 104,,Waverly,OH,45690,USA,,adena.org,,"echo, vascular, nuclear",,Adena Health Center Waverly Waverly,,,"Aug 31, 2023",Adult Transthoracic,,,"Feb 28, 2025",Myocardial Perfusion Imaging,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,Adena Health System Chillicothe,39.39458,-82.969767,multigranted,272 Hospital Road,,Chillicothe,OH,45601,USA,,www.adena.org,,"echo, vascular, nuclear",,Adena Health System Chillicothe Chillicothe,,,"Aug 31, 2023",Adult Transthoracic,,,"Feb 28, 2025",Myocardial Perfusion Imaging,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,Adena Health System Western Avenue,39.331683,-83.016128,multigranted,55 Centennial Blvd.,,Chillicothe,OH,45601,USA,,,,"echo, vascular",www.google.com/search?q=Adena+Health+System+Western+Avenue,Adena Health System Western Avenue Chillicothe,,,"Aug 31, 2023",Adult Transthoracic,,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
5,6,Adena Pike Medical Center,39.117279,-83.006369,multigranted,100 Dawn Lane,,Waverly,OH,45690,USA,,,,"echo, vascular",www.google.com/search?q=Adena+Pike+Medical+Center,Adena Pike Medical Center Waverly,,,"Aug 31, 2023",Adult Transthoracic,,,,,"Jul 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Advanced Cardiovascular Care,39.563984,-84.232212,granted,325 North Main Street Suite 206,,Springboro,OH,45065,USA,,www.micmos.com,,nuclear,,Advanced Cardiovascular Care Springboro,,,,,,,"Oct 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,"Advanced Cardiovascular Consultants, Inc.",41.878871,-80.753433,granted,3315 N. Ridge Rd East,Suite 600,Ashtabula,OH,44004,USA,,,,vascular,"www.google.com/search?q=Advanced+Cardiovascular+Consultants,+Inc.","Advanced Cardiovascular Consultants, Inc. Ashtabula",,,,,,,,,"Feb 29, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
8,9,"Advanced Cardiovascular Consultants, Inc.",41.589303,-81.22142,granted,531 Fifth Avenue,,Chardon,OH,44024,USA,,,,echo,"www.google.com/search?q=Advanced+Cardiovascular+Consultants,+Inc.","Advanced Cardiovascular Consultants, Inc. Chardon",,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"Advanced Cardiovascular Consultants, Inc.",41.589303,-81.22142,granted,531 fifth Avenue,,Chardon,OH,44024,USA,,,,vascular,"www.google.com/search?q=Advanced+Cardiovascular+Consultants,+Inc.","Advanced Cardiovascular Consultants, Inc. Chardon",,,,,,,,,"Feb 29, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
10,11,"Advanced Cardiovascular Consultants, Inc.",41.88289,-80.799456,granted,3315 North Ridge East,Suite 600,Ashtabula,OH,44004,USA,,,,echo,"www.google.com/search?q=Advanced+Cardiovascular+Consultants,+Inc.","Advanced Cardiovascular Consultants, Inc. Ashtabula",,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Akron Children’s Hospital Mahoning Valley,41.029452,-80.66571,granted,6505 Market Street,Building A,Boardman,OH,44512,USA,,www.akronchildrens.org,,pediatric_echo,,Akron Children’s Hospital Mahoning Valley Boardman,,,,,,,,,,,"Apr 30, 2024","Pediatric Transthoracic, Fetal",,,,,,,,,,,,
