,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Allergy ENT Institute,34.594407,-98.455069,granted,4920 SW Lee Boulevard,,Lawton,OK,73505,USA,,www.allergyentinstitute.com,,ct,,Allergy ENT Institute Lawton,"Jun 30, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,"Board of Regents of the University of Oklahoma, OU Physicians Tulsa",36.134223,-95.964626,granted,1919 S. Wheeling Ave. Suite 600,,Tulsa,OK,74104,USA,,,,vascular,"www.google.com/search?q=Board+of+Regents+of+the+University+of+Oklahoma,+OU+Physicians+Tulsa","Board of Regents of the University of Oklahoma, OU Physicians Tulsa Tulsa",,,,,,,,,"Nov 30, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Cardiovascular Care Specialist,35.46636,-97.386238,granted,8121 National Avenue,Suite 400,Midwest City,OK,73110,USA,,,,echo,www.google.com/search?q=Cardiovascular+Care+Specialist,Cardiovascular Care Specialist Midwest City,,,"Oct 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,CardioVascular Health Clinic,35.614822,-97.573595,granted,"3200 Quail Springs Parkway, Suite 200",,Oklahoma City,OK,73134,USA,,,,vascular,www.google.com/search?q=CardioVascular+Health+Clinic,CardioVascular Health Clinic Oklahoma City,,,,,,,,,"Jan 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
4,5,Citizen Potawatomi Nation,35.380639,-97.0589,multigranted,781 Grand Casino Blvd,,Shawnee,OK,74804,USA,,,,"ct, mr",www.google.com/search?q=Citizen+Potawatomi+Nation,Citizen Potawatomi Nation Shawnee,"Jun 30, 2024","Body CT, Neurological CT | Coronary Calcium Scoring, Maxillofacial CT",,,"Jun 30, 2024","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
5,6,"Dr. Naji Karam, MD, FACC",35.477265,-97.523686,granted,608 North West 9th Street,Suite 6100,Oklahoma City,OK,73102,USA,,,,echo,"www.google.com/search?q=Dr.+Naji+Karam,+MD,+FACC","Dr. Naji Karam, MD, FACC Oklahoma City",,,"Oct 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,"Ear, Nose,Throat Inc.",36.04632,-95.954792,granted,2448 E 81 St St  Suite 1350,,Tulsa,OK,74137,USA,,,,ct,"www.google.com/search?q=Ear,+Nose,Throat+Inc.","Ear, Nose,Throat Inc. Tulsa","Jul 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
7,8,"Enid Urology Associates, Inc.",36.393138,-97.869238,granted,615 E Oklahoma Ave Suite 200,,Enid,OK,73701,USA,,,,ct,"www.google.com/search?q=Enid+Urology+Associates,+Inc.","Enid Urology Associates, Inc. Enid","Sep 30, 2024",Body CT,,,,,,,,,,,,,,,,,,,,,,
8,9,ENT of Oklahoma,34.594384,-98.46002,granted,5402 Sw Lee Blvd,,Lawton,OK,73505,USA,,lawtonent.com,,ct,,ENT of Oklahoma Lawton,"Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
9,10,"Healthy Heartbeat, PC - Dr. Pavel Riha, MD",35.481066,-97.525547,granted,1226 N. Shartel Avenue,Suite 100,Oklahoma City,OK,73103,USA,,,,echo,"www.google.com/search?q=Healthy+Heartbeat,+PC+-+Dr.+Pavel+Riha,+MD","Healthy Heartbeat, PC - Dr. Pavel Riha, MD Oklahoma City",,,"Jul 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,Heart Clinic of Central Oklahoma,35.232856,-97.438203,granted,500 East Robinson,Suite 900,Norman,OK,73071,USA,,,,echo,www.google.com/search?q=Heart+Clinic+of+Central+Oklahoma,Heart Clinic of Central Oklahoma Norman,,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
11,12,Hillcrest Hospital South,36.036219,-95.864651,granted,8801 S 101st E Ave,,Tulsa,OK,74133,USA,,,,nuclear,www.google.com/search?q=Hillcrest+Hospital+South,Hillcrest Hospital South Tulsa,,,,,,,"Dec 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,Hillcrest Hospital South,36.036219,-95.864651,granted,8801 S. 101st East Ave,,Tulsa,OK,74133,USA,,hillcrestsouth.com/,,echo,,Hillcrest Hospital South Tulsa,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,Hillcrest Medical Center,36.147164,-95.967141,multigranted,1120 South Utica Ave.,,Tulsa,OK,74104,USA,,,,"echo, vascular",www.google.com/search?q=Hillcrest+Medical+Center,Hillcrest Medical Center Tulsa,,,"Dec 31, 2023",Adult Transthoracic,,,,,"Jun 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
14,15,Hillcrest Medical Center Cardiovascular Diagnostics-South Pointe,36.028972,-95.868496,granted,9228 South Mingo Road,,Tulsa,OK,74133,USA,,,,nuclear,www.google.com/search?q=Hillcrest+Medical+Center+Cardiovascular+Diagnostics-South+Pointe,Hillcrest Medical Center Cardiovascular Diagnostics-South Pointe Tulsa,,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
15,16,Hillcrest Medical Center Cardiovascular Diagnostics-Utica,36.144219,-95.967161,granted,1265 South Utica,,Tulsa,OK,74104,USA,,www.oklahomaheart.com,,nuclear,,Hillcrest Medical Center Cardiovascular Diagnostics-Utica Tulsa,,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
16,17,HMC Cardiovascular Diagnostics,36.146163,-95.954382,multigranted,1265 South Utica,G10,Tulsa,OK,74104,USA,,,,"echo, vascular",www.google.com/search?q=HMC+Cardiovascular+Diagnostics,HMC Cardiovascular Diagnostics Tulsa,,,"Dec 31, 2023",Adult Transthoracic,,,,,"Jun 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
17,18,HMC Cardiovascular Diagnostics South Pointe,36.028972,-95.868496,multigranted,9228 South Mingo Road,Suite 200,Tulsa,OK,74133,USA,,,,"echo, vascular",www.google.com/search?q=HMC+Cardiovascular+Diagnostics+South+Pointe,HMC Cardiovascular Diagnostics South Pointe Tulsa,,,"Dec 31, 2023",Adult Transthoracic,,,,,"Jun 30, 2025","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
18,19,Integris Baptist Medical Center,35.52996,-97.57455,granted,3300 Northwest Expressway,"5 West, Main Hospital",Oklahoma City,OK,73112,USA,,,,echo,www.google.com/search?q=Integris+Baptist+Medical+Center,Integris Baptist Medical Center Oklahoma City,,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
19,20,Integris Baptist Medical Center,35.527532,-97.577444,granted,3433 Northwest 56th Street,Suite 500,Oklahoma City,OK,73112,USA,,,,echo,www.google.com/search?q=Integris+Baptist+Medical+Center,Integris Baptist Medical Center Oklahoma City,,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
20,21,INTEGRIS Southwest Medical Center,35.430969,-97.530195,granted,4401 South Western Avenue,Remit to: P.O. Box 268908,Oklahoma City,OK,73109,USA,,www.integrisok.com,,echo,,INTEGRIS Southwest Medical Center Oklahoma City,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
