,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Adventist Health Northwest Regional Heart and Vascular,45.514052,-122.55955,granted,10000 SE Main,Suite 60,Portland,OR,97216,USA,,,,vascular,www.google.com/search?q=Adventist+Health+Northwest+Regional+Heart+and+Vascular,Adventist Health Northwest Regional Heart and Vascular Portland,,,,,,,,,"May 31, 2024",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
1,2,Adventist Health Portland,45.511537,-122.559093,granted,10123 SE Market Street,,Portland,OR,97216,USA,,,,vascular,www.google.com/search?q=Adventist+Health+Portland,Adventist Health Portland Portland,,,,,,,,,"Jun 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
2,3,Asante Black Oak Clinic,42.31886,-122.835663,granted,555 Black Oak Dr,,Medford,OR,97504,USA,,,,vascular,www.google.com/search?q=Asante+Black+Oak+Clinic,Asante Black Oak Clinic Medford,,,,,,,,,"May 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
3,4,Asante Rogue Regional Medical Center,42.316483,-122.830443,granted,2825 East Barnett Rd,,Medford,OR,97504,USA,,www.asante.org,,vascular,,Asante Rogue Regional Medical Center Medford,,,,,,,,,"May 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
4,5,Ashland Community Hospital,42.206445,-122.725129,granted,280 Maple Street,,Ashland,OR,97520,USA,,,,echo,www.google.com/search?q=Ashland+Community+Hospital,Ashland Community Hospital Ashland,,,"Jun 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Beaver Sports Medicine,44.572649,-123.254689,granted,1128 NE 2nd Street Suite 201,,Corvallis,OR,97330,USA,,www.beaversportsmedicine.com,,mr,,Beaver Sports Medicine Corvallis,,,,,"Apr 30, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
6,7,Bend Memorial Clinic,44.064709,-121.266635,granted,1501 NE Medical Center Drive,PO Box 6018,Bend,OR,97701,USA,,www.bmctotalcare.com,,echo,,Bend Memorial Clinic Bend,,,"Nov 29, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,Bend Memorial Clinic -Redmond Clinic,44.268012,-121.178684,granted,865 SW Veterans Way,,Redmond,OR,97756,USA,,,,echo,www.google.com/search?q=Bend+Memorial+Clinic+-Redmond+Clinic,Bend Memorial Clinic -Redmond Clinic Redmond,,,"Nov 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Blue Mountain Hospital,44.417651,-118.95922,granted,170 Ford Road,,John Day,OR,97845,USA,,,,echo,www.google.com/search?q=Blue+Mountain+Hospital,Blue Mountain Hospital John Day,,,"Jan 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Broadway Medical Clinic,45.535133,-122.61979,granted,4212 Northeast Broadway,,Portland,OR,97213,USA,,www.broadwaymedicalclinic.com,,echo,,Broadway Medical Clinic Portland,,,"Apr 30, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,Cascade Cardiology,44.933644,-123.043841,granted,777 Commercial Street SE,Suite 103,Salem,OR,97301,USA,,,,nuclear,www.google.com/search?q=Cascade+Cardiology,Cascade Cardiology Salem,,,,,,,"Jan 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
11,12,"Cascade Cardiology, LLC",45.005257,-122.78961,granted,400 Welch Street,,Silverton,OR,97381,USA,,www.cascadecardiology.com,,echo,,"Cascade Cardiology, LLC Silverton",,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
12,13,"Cascade Cardiology, LLC",44.933644,-123.043841,granted,777 Commercial St S.,Suite 130,Salem,OR,97301,USA,,www.cascadecardiology.com,,echo,,"Cascade Cardiology, LLC Salem",,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,Central Oregon ENT LLC,44.061083,-121.265928,granted,2450 NE Mary Rose Place,Suite 120,Bend,OR,97701,USA,,,,ct,www.google.com/search?q=Central+Oregon+ENT+LLC,Central Oregon ENT LLC Bend,"Nov 29, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
14,15,CMH Cardiology Clinic,46.188545,-123.817715,granted,2158 Exchange Street,Suite 206,Astoria,OR,97103,USA,,www.columbiamemorial.org,,echo,,CMH Cardiology Clinic Astoria,,,"Oct 31, 2022","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
15,16,Columbia Memorial Hospital Echocardiography Lab,46.188505,-123.81846,granted,2111 Exchange Street,,Astoria,OR,97103,USA,,www.columbiamemorial.org,,echo,,Columbia Memorial Hospital Echocardiography Lab Astoria,,,"Oct 31, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
16,17,Doernbecher Children’s Hospital,45.496908,-122.686061,granted,3550 Southwest US Veterans Hospital Road,,Portland,OR,97239,USA,,,,pediatric_echo,www.google.com/search?q=Doernbecher+Children’s+Hospital,Doernbecher Children’s Hospital Portland,,,,,,,,,,,"Jun 30, 2024","Pediatric Transesophageal, Pediatric Transthoracic, Fetal",,,,,,,,,,,,
17,18,"Ear, Nose, and Throat Northwest",44.90515,-123.018795,granted,2025 Madrona Ave SE. Ste 100,,Salem,OR,97302,USA,,entnorthwest.com,,ct,,"Ear, Nose, and Throat Northwest Salem","Mar 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
18,19,"Eastmoreland Ear, Nose and Throat Clinic, LLP",45.429837,-122.569036,granted,9280 SE Sunnybrook Blvd. Suite 300,,Clackamas,OR,97015,USA,,,,ct,"www.google.com/search?q=Eastmoreland+Ear,+Nose+and+Throat+Clinic,+LLP","Eastmoreland Ear, Nose and Throat Clinic, LLP Clackamas","Sep 30, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
19,20,Good Samaritan Regional Medical Center,44.604624,-123.251104,granted,3600 NW Samaritan Drive,Echo Lab-Cardiopulmonary Department,Corvallis,OR,97330,USA,,samhealth.org,,echo,,Good Samaritan Regional Medical Center Corvallis,,,"May 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
20,21,Grants Pass Clinic,42.421153,-123.340501,granted,495 SW Ramsey Avenue,,Grants Pass,OR,97527,USA,,,,pediatric_echo,www.google.com/search?q=Grants+Pass+Clinic,Grants Pass Clinic Grants Pass,,,,,,,,,,,"Jun 30, 2023",Pediatric Transthoracic,,,,,,,,,,,,
21,22,Hillsboro Cardiology,45.51878,-122.981809,granted,"333 SE 7th Ave, Ste 5400",,Hillsboro,OR,97123,USA,,,,nuclear,www.google.com/search?q=Hillsboro+Cardiology,Hillsboro Cardiology Hillsboro,,,,,,,"Nov 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
22,23,Kaiser Permanente Northwest - Mt. Talbert Medical Office,45.417556,-122.538225,granted,10100 SE Sunnyside Road,,Clackamas,OR,97015,USA,,www.kp.org/nwheart,,echo,,Kaiser Permanente Northwest - Mt. Talbert Medical Office Clackamas,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
23,24,Kaiser Permanente Northwest - North Lancaster Medical Office,44.956186,-122.983673,granted,2400 Lancaster Drive NE,,Salem,OR,97305,USA,,kp.org/heart,,echo,,Kaiser Permanente Northwest - North Lancaster Medical Office Salem,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
24,25,Kaiser Permanente Northwest - Sunnyside Medical Center,45.433462,-122.558525,granted,10180 SE Sunnyside Road,,Clackamas,OR,97015,USA,,,,echo,www.google.com/search?q=Kaiser+Permanente+Northwest+-+Sunnyside+Medical+Center,Kaiser Permanente Northwest - Sunnyside Medical Center Clackamas,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
25,26,Kaiser Permanente Northwest - Westside Medical Center,45.539713,-122.875667,granted,2875 NW Stucki Ave,,Hillsboro,OR,97124,USA,,www.kp.org,,echo,,Kaiser Permanente Northwest - Westside Medical Center Hillsboro,,,"Oct 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
26,27,"Klamath Heart Clinic, LLC",42.252068,-121.789823,granted,2614 Clover Street,,Klamath Falls,OR,97601,USA,,klamathheartclinic.com,,echo,,"Klamath Heart Clinic, LLC Klamath Falls",,,"Feb 29, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
27,28,Lake Grove ENT,45.398319,-122.738259,granted,17704 Jean Way 101,,Lake Oswego,OR,97035,USA,,www.lakegroveent.com,,ct,,Lake Grove ENT Lake Oswego,"Dec 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
28,29,Legacy Emanuel Medical Center,45.543936,-122.669445,granted,2801 N. Gantenbein,,Portland,OR,97227,USA,,www.legacyhealth.org,,echo,,Legacy Emanuel Medical Center Portland,,,"Nov 29, 2022","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
