,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"1703 South Broad, CCP at Jefferson",39.929146,-75.168665,granted,1703 South Broad St,Suite 300,Philadelphia,PA,19148,USA,,www.ccpdocs.com,,echo,,"1703 South Broad, CCP at Jefferson Philadelphia",,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,"227 North Broad, CCP at Jefferson",39.95711,-75.162503,granted,227 N. Broad St,Suite 200,Philadelphia,PA,19107,USA,,www.ccpdocs.com,,echo,,"227 North Broad, CCP at Jefferson Philadelphia",,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Abington Medical Specialists,40.239592,-75.231477,granted,1010 Horsham Rd,Suite 201,North Wales,PA,19454,USA,,amscardiology.com/,,echo,,Abington Medical Specialists North Wales,,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Abington Medical Specialists,40.117673,-75.119967,multigranted,118 Welsh Rd,Unit B,Horsham,PA,19044,USA,,amscardiology.com/,,"echo, vascular",,Abington Medical Specialists Horsham,,,"Nov 30, 2023",Adult Transthoracic,,,,,"Jul 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing",,,,,,,,,,,,,,
4,5,Abington Memorial Hospital,40.18586,-75.079361,granted,225 Newtown Road,,Warminster,PA,18974,USA,,www.amh.org/,,echo,,Abington Memorial Hospital Warminster,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Abington Memorial Hospital,40.11942,-75.119121,granted,1200 Old York Road,,Abington,PA,19001,USA,,www.amh.org/,,echo,,Abington Memorial Hospital Abington,,,"Aug 31, 2023","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Advanced Vein and Laser Center,39.910717,-76.6994,multigranted,191 Leader Heights Road,,York,PA,17402,USA,,www.veinsbegone.com,,"vein_center, vascular",,Advanced Vein and Laser Center York,,,,,,,,,"May 31, 2025",Peripheral Venous Testing,,,,,,,"Jun 30, 2023",Superficial Venous Evaluation and Management,,,,,,
7,8,"Advanced Vein and Laser Center, Lancaster LLC",40.067027,-76.343496,multigranted,896 A Plaza Boulevard,,Lancaster,PA,17601,USA,,veinsbegone.com,,"vein_center, vascular",,"Advanced Vein and Laser Center, Lancaster LLC Lancaster",,,,,,,,,"May 31, 2025",Peripheral Venous Testing,,,,,,,"May 31, 2023",Superficial Venous Evaluation and Management,,,,,,
8,9,Advanced Vein Care,40.428944,-78.412978,multigranted,"723 Broad Street, Route 22",,Duncansville,PA,16635,USA,,www.altoonavein.com,,"vein_center, vascular",,Advanced Vein Care Duncansville,,,,,,,,,"Feb 28, 2025",Peripheral Venous Testing,,,,,,,"Jun 30, 2023",Superficial Venous Evaluation and Management,,,,,,
9,10,Albert Einstein Healthcare Network,40.0367373,-75.1445804,granted,5501 Old York Road,"Einstein Institute for Heart and Vascular Health, Levy Building, Ground Floor",Philadelphia,PA,19141,USA,,,,echo,www.google.com/search?q=Albert+Einstein+Healthcare+Network,Albert Einstein Healthcare Network Philadelphia,,,"Jun 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,Alderfer and Travis Cardiology,40.362405,-75.323902,granted,670 Lawn Avenue,Suite 3A,Sellersville,PA,18960,USA,,atcheartcare.com,,echo,,Alderfer and Travis Cardiology Sellersville,,,"Nov 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
11,12,Alle-Kiski Medical Center,40.617196,-79.737562,granted,1301 Carlisle Street,,Natrona Heights,PA,15065,USA,,,,echo,www.google.com/search?q=Alle-Kiski+Medical+Center,Alle-Kiski Medical Center Natrona Heights,,,"Oct 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
12,13,Allegheny General Hospital,40.456149,-80.003249,granted,320 East North Avenue,,Pittsburgh,PA,15212,USA,,,,vascular,www.google.com/search?q=Allegheny+General+Hospital,Allegheny General Hospital Pittsburgh,,,,,,,,,"Jun 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
13,14,Allegheny General Hospital Center for Cardiovascular,40.456149,-80.003249,granted,320 East North Avenue,,Pittsburgh,PA,15212,USA,,WPAHS.org,,mr,,Allegheny General Hospital Center for Cardiovascular Pittsburgh,,,,,"Dec 30, 2022",Cardiovascular MRI,,,,,,,,,,,,,,,,,,
14,15,"American Diagnostic Services, Inc.",40.168495,-75.134887,granted,115 Gibraltar Road,,Horsham,PA,19004,USA,,,,echo,"www.google.com/search?q=American+Diagnostic+Services,+Inc.","American Diagnostic Services, Inc. Horsham",,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
15,16,Amin Heart Associates,40.711096,-75.281253,granted,3735 Nazareth Road,,Easton,PA,18045,USA,,,,echo,www.google.com/search?q=Amin+Heart+Associates,Amin Heart Associates Easton,,,"Apr 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
16,17,Apple Hill Medical Center,39.923549,-76.716263,granted,25 Monument Road,,York,PA,17403,USA,,,,echo,www.google.com/search?q=Apple+Hill+Medical+Center,Apple Hill Medical Center York,,,"Jun 30, 2025","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
17,18,"Aria Health Physician Services, Diagnostic Cardiology and Imaging Center",40.107235,-75.026816,multigranted,10160 Bustleton Avenue,Suite A,Philadelphia,PA,19116,USA,,www.ariahealth.org/default.aspx?pageid=2907,,"nuclear, echo",,"Aria Health Physician Services, Diagnostic Cardiology and Imaging Center Philadelphia",,,"Jan 31, 2024",Adult Transthoracic,,,"Oct 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
18,19,Aria Regional Cardiovascular Associates,40.185268,-74.88494,granted,"390 Middletown Boulevard, Suite 604",,Langhorne,PA,19047,USA,,,,nuclear,www.google.com/search?q=Aria+Regional+Cardiovascular+Associates,Aria Regional Cardiovascular Associates Langhorne,,,,,,,"May 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
19,20,Armstrong Center for Medicine and Health,40.811486,-79.562505,granted,One Nolte Drive,,Kittanning,PA,16201,USA,,,,echo,www.google.com/search?q=Armstrong+Center+for+Medicine+and+Health,Armstrong Center for Medicine and Health Kittanning,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
20,21,"Artery and Vein Institute, LLC",40.14699,-75.316567,multigranted,2924 Swede Road,,East Norriton,PA,19401,USA,,www.arteryandveininstitute.com,,"vein_center, vascular",,"Artery and Vein Institute, LLC East Norriton",,,,,,,,,"Jun 30, 2025",Peripheral Venous Testing,,,,,,,"Jun 30, 2023",Superficial Venous Evaluation and Management,,,,,,
21,22,"Associated Otolaryngologists of, PA",40.255888,-76.922606,granted,875 Poplar Church Rd.,Suite 320,Camp Hill,PA,17011,USA,,askaop.com,,ct,,"Associated Otolaryngologists of, PA Camp Hill","Nov 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
22,23,Berkshire Orthopedics LLC MRI,40.34572,-75.975562,granted,2201 Ridgewood Road,Suite 330,Wyomissing,PA,19610,USA,,,,mr,www.google.com/search?q=Berkshire+Orthopedics+LLC+MRI,Berkshire Orthopedics LLC MRI Wyomissing,,,,,"Apr 30, 2023",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
23,24,"BHS Cardiovascular Center, Seven Fields",40.698323,-80.017951,multigranted,300 North Point Center,Suite 104,Seven Field,PA,16046,USA,,,,"nuclear, echo","www.google.com/search?q=BHS+Cardiovascular+Center,+Seven+Fields","BHS Cardiovascular Center, Seven Fields Seven Field",,,"Dec 31, 2024",Adult Transthoracic,,,"Oct 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
24,25,BHS Cardiovascular Center- Crossroads Campus,40.875624,-79.87458,multigranted,127 Oneida Valley Road,,Butler,PA,16001,USA,,,,"nuclear, echo",www.google.com/search?q=BHS+Cardiovascular+Center-+Crossroads+Campus,BHS Cardiovascular Center- Crossroads Campus Butler,,,"Dec 31, 2024",Adult Transthoracic,,,"Oct 30, 2022","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
25,26,BHS Enclave,41.062493,-80.359112,granted,121 Enclave Dr,Suite C,New Castle,PA,16105,USA,,,,echo,www.google.com/search?q=BHS+Enclave,BHS Enclave New Castle,,,"Dec 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
26,27,BHS OP Services Butler Commons,40.74807,-79.79195,granted,260 Butler Commons,,Butler,PA,16001,USA,,,,echo,www.google.com/search?q=BHS+OP+Services+Butler+Commons,BHS OP Services Butler Commons Butler,,,"Dec 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
27,28,BHS Slippery Rock,41.067962,-80.046845,granted,100 Inovation Drive Suite 100,,Slippery Rock,PA,16057,USA,,,,echo,www.google.com/search?q=BHS+Slippery+Rock,BHS Slippery Rock Slippery Rock,,,"Dec 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
28,29,"Blair Medical Associates, Inc.",40.511254,-78.401384,multigranted,1414 9th Avenue,,Altoona,PA,16602,USA,,,,"echo, vascular","www.google.com/search?q=Blair+Medical+Associates,+Inc.","Blair Medical Associates, Inc. Altoona",,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,"Mar 31, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
29,30,Bradford Medical Group of Upmc Hamot,41.957267,-78.652674,granted,24 West Washington Street,,Bradford,PA,16701,USA,,,,vascular,www.google.com/search?q=Bradford+Medical+Group+of+Upmc+Hamot,Bradford Medical Group of Upmc Hamot Bradford,,,,,,,,,"Aug 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
30,31,Bradford Medical Group of UPMC Hamot,41.957267,-78.652674,granted,24 West Washington Street,,Bradford,PA,16701,USA,,,,nuclear,www.google.com/search?q=Bradford+Medical+Group+of+UPMC+Hamot,Bradford Medical Group of UPMC Hamot Bradford,,,,,,,"Oct 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
31,32,Bryn Mawr Hospital,40.018515,-75.320482,granted,130 South Bryn Mawr Avenue,,Bryn Mawr,PA,19010,USA,,,,echo,www.google.com/search?q=Bryn+Mawr+Hospital,Bryn Mawr Hospital Bryn Mawr,,,"Nov 30, 2024","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
32,33,Bryn Mawr Hospital,40.018515,-75.320482,granted,130 S. Bryn Mawr Ave,,Bryn Mawr,PA,19010,USA,,,,vascular,www.google.com/search?q=Bryn+Mawr+Hospital,Bryn Mawr Hospital Bryn Mawr,,,,,,,,,"Oct 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
33,34,Butler Medical Providers dba BHS Northwest Regional Cardiology,41.032754,-80.355013,multigranted,2602 Wilmington Road,Suite 200,New Castle,PA,16105,USA,,,,"nuclear, echo",www.google.com/search?q=Butler+Medical+Providers+dba+BHS+Northwest+Regional+Cardiology,Butler Medical Providers dba BHS Northwest Regional Cardiology New Castle,,,"Dec 31, 2024",Adult Transthoracic,,,"Jul 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
34,35,Butler Memorial Hospital,40.867284,-79.879036,multigranted,One Hospital Way,,Butler,PA,16001,USA,,,,"nuclear, echo",www.google.com/search?q=Butler+Memorial+Hospital,Butler Memorial Hospital Butler,,,"Dec 31, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,"Oct 30, 2022","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
