,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Technonuclear Imaging Center,18.418957,-66.064877,granted,"Suite 401, La Torre de Plaza",525 FD Roosevelt Ave.,San Juan,PR,00918,USA,,www.aticplaza.com,,nuclear,,Advanced Technonuclear Imaging Center San Juan,,,,,,,"Sep 30, 2023","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
1,2,"Cardio Health, PSC",18.435991,-66.01248,granted,Ave. Isla Verde 3018,,Carolina,PR,00979,USA,,,,nuclear,"www.google.com/search?q=Cardio+Health,+PSC","Cardio Health, PSC Carolina",,,,,,,"Feb 29, 2024","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
2,3,Centro de Medicina Nuclear de Guaynabo,18.3570056,-66.1108636,granted,Carazo Street 11,,Guaynabo,PR,00969,USA,,,,nuclear,www.google.com/search?q=Centro+de+Medicina+Nuclear+de+Guaynabo,Centro de Medicina Nuclear de Guaynabo Guaynabo,,,,,,,"Aug 31, 2022","Equilibrium Radionuclide Angiography, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
3,4,Centro de venas del caribe,18.1559,-67.14503,granted,"Ave. Hostos 351, Emporium I Suite 110",,Mayaguez,PR,00680,USA,,,,vascular,www.google.com/search?q=Centro+de+venas+del+caribe,Centro de venas del caribe Mayaguez,,,,,,,,,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
4,5,Centro Sononuclear de Rio Piedras,18.409958,-66.036833,granted,1028 Los Angeles Street,,San Juan,PR,00923,USA,,cablemodem.fibertel.com.ar/sononuclear/,,nuclear,,Centro Sononuclear de Rio Piedras San Juan,,,,,,,"Nov 30, 2023","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
5,6,Diagnostic Nuclear Medicine,18.456315,-67.129269,granted,Ave. Severiano Cuevas 18,,Aguadilla,PR,00603,USA,,www.dnmpr.com,,nuclear,,Diagnostic Nuclear Medicine Aguadilla,,,,,,,"Aug 31, 2024","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
6,7,Grupo Otorrinolaringologico CSP,18.389385,-66.157158,granted,Bayamon Medical Plaza,1845 carr  #2 Suite 105,Bayamon,PR,00959,USA,,,,ct,www.google.com/search?q=Grupo+Otorrinolaringologico+CSP,Grupo Otorrinolaringologico CSP Bayamon,"Aug 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
7,8,Heart Partners C.S.P.,18.139898,-65.821616,granted,calle carreras num. 12 este,,Humacao,PR,00791,USA,,,,nuclear,www.google.com/search?q=Heart+Partners+C.S.P.,Heart Partners C.S.P. Humacao,,,,,,,"Aug 31, 2024","Equilibrium Radionuclide Angiography, General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
8,9,Laboratorio Vascular Clinico - Ponce,18.003715,-66.611945,granted,2213 Ponce By Pass Damas Hospital - 1st Floor,,Ponce,PR,00717,USA,,vascularponprtc.net,,vascular,,Laboratorio Vascular Clinico - Ponce Ponce,,,,,,,,,"Jan 29, 2023","Extracranial Cerebrovascular Testing, Intracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
9,10,Laboratorio Vascular Clinico - Ponce,18.058604,-66.560154,granted,"Torre San Cristobal, Suite 107",,Coto Laurel,PR,00780,USA,,,,vascular,www.google.com/search?q=Laboratorio+Vascular+Clinico+-+Ponce,Laboratorio Vascular Clinico - Ponce Coto Laurel,,,,,,,,,"Jan 29, 2023","Extracranial Cerebrovascular Testing, Intracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
