,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Americas Vein Centers of Norwood, Massachusetts",42.110889,-71.183097,multigranted,"1407 South County Trail, Suite 431",,East Greenwich,RI,02818,USA,,www.americasveincenters.com/,,"vein_center, vascular",,"Americas Vein Centers of Norwood, Massachusetts East Greenwich",,,,,,,,,"Sep 30, 2023",Peripheral Venous Testing,,,,,,,"Oct 31, 2022",Superficial Venous Evaluation and Management,,,,,,
1,2,"Atwood Medical Associates, LTD",41.827842,-71.500116,granted,1524 Atwood Avenue,Suite 220,Johnston,RI,02919,USA,,,,echo,"www.google.com/search?q=Atwood+Medical+Associates,+LTD","Atwood Medical Associates, LTD Johnston",,,"Dec 30, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,Brown Surgical Associates Vascular Laboratory,41.810721,-71.408071,granted,"2 Dudley Street, Suite 470",,Providence,RI,02905,USA,,,,vascular,www.google.com/search?q=Brown+Surgical+Associates+Vascular+Laboratory,Brown Surgical Associates Vascular Laboratory Providence,,,,,,,,,"Jul 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,Cardiovascular Associates of Rhode Island,41.516498,-71.281897,granted,676 Aquidneck Avenue,The Polo Center,Middletown,RI,02842,USA,,,,nuclear,www.google.com/search?q=Cardiovascular+Associates+of+Rhode+Island,Cardiovascular Associates of Rhode Island Middletown,,,,,,,"Oct 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Cardiovascular Associates of Rhode Island,41.850048,-71.403133,granted,1076 North Main Street,,Providence,RI,02904,USA,,www.heartri.com,,nuclear,,Cardiovascular Associates of Rhode Island Providence,,,,,,,"Oct 30, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,Cardiovascular Institute at The Miriam Hospital,41.656752,-71.497262,granted,1454 South County Trail,,East Greenwich,RI,02818,USA,,,,echo,www.google.com/search?q=Cardiovascular+Institute+at+The+Miriam+Hospital,Cardiovascular Institute at The Miriam Hospital East Greenwich,,,"Feb 29, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Cardiovascular Institute at The Miriam Hospital,41.867955,-71.387186,granted,407 East Avenue,Suite 120,Pawtucket,RI,02860,USA,,,,echo,www.google.com/search?q=Cardiovascular+Institute+at+The+Miriam+Hospital,Cardiovascular Institute at The Miriam Hospital Pawtucket,,,"Feb 29, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,Cardiovascular Institute at The Miriam Hospital,41.807865,-71.345702,granted,950  Warren Avenue,,East Providence,RI,02914,USA,,,,echo,www.google.com/search?q=Cardiovascular+Institute+at+The+Miriam+Hospital,Cardiovascular Institute at The Miriam Hospital East Providence,,,"Feb 29, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Cardiovascular Institute at The Miriam Hospital,41.851631,-71.397576,granted,164 Summit Avenue,,Providence,RI,02906,USA,,,,echo,www.google.com/search?q=Cardiovascular+Institute+at+The+Miriam+Hospital,Cardiovascular Institute at The Miriam Hospital Providence,,,"Feb 29, 2024","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Cardiovascular Institute at The Miriam Hospital,41.855321,-71.403085,granted,208 Collyer Street,,Providence,RI,02904,USA,,,,echo,www.google.com/search?q=Cardiovascular+Institute+at+The+Miriam+Hospital,Cardiovascular Institute at The Miriam Hospital Providence,,,"Feb 29, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
