,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Advanced Cardiology Associates Clinton, SC",34.477086,-81.935314,granted,23013 Hwy 76E Suite A,,Clinton,SC,29325,USA,,,,vascular,"www.google.com/search?q=Advanced+Cardiology+Associates+Clinton,+SC","Advanced Cardiology Associates Clinton, SC Clinton",,,,,,,,,"Mar 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
1,2,Advanced Cardiology Consultants,34.169276,-79.797047,multigranted,1706 Second Loop Road,,Florence,SC,29502,USA,,Advanced Cardiology.net,,"echo, nuclear",,Advanced Cardiology Consultants Florence,,,"May 31, 2025",Adult Transthoracic,,,"Jun 30, 2025",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,"Advanced Diagnostics, Inc.",34.082666,-80.943877,multigranted,115 Blarney Drive,Suite 101,Columbia,SC,29223,USA,,,,"vascular, echo","www.google.com/search?q=Advanced+Diagnostics,+Inc.","Advanced Diagnostics, Inc. Columbia",,,"Mar 31, 2023",Adult Transthoracic,,,,,"Dec 30, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,Agape Primary Care DBA Main Street Physicians Care,33.86809,-78.67006,granted,3600 Sea Mountain Highway,,Little River,SC,29566,USA,,,,nuclear,www.google.com/search?q=Agape+Primary+Care+DBA+Main+Street+Physicians+Care,Agape Primary Care DBA Main Street Physicians Care Little River,,,,,,,"Jan 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,"Aiken Augusta ENT, PC",33.566205,-81.764852,granted,170 University Parkway,,Aiken,SC,29081,USA,,augustaent.com,,ct,,"Aiken Augusta ENT, PC Aiken","Dec 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,Aiken Professional Association,33.574207,-81.762972,multigranted,137 Miracle Drive North West,,Aiken,SC,29801,USA,,www.aikenphysicians.com/locations/carolina-heart-and-vascular-center-main-office,,"vascular, echo",,Aiken Professional Association Aiken,,,"Mar 31, 2023","Adult Stress, Adult Transthoracic",,,,,"Nov 29, 2022","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Screening",,,,,,,,,,,,,,
6,7,"Aiken Professional Association, LLC",33.574207,-81.762972,granted,"137 Miracle Drive, NW",,Aiken,SC,29801,USA,,www.aikenregional.com,,nuclear,,"Aiken Professional Association, LLC Aiken",,,,,,,"Apr 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,American Health Imaging of Columbia,34.001896,-81.035853,multigranted,1241 Assembly St,Suite B,Columbia,SC,29201,,,americanhealthimaging.com/location/columbia-sc/,,"ct, mr",,American Health Imaging of Columbia Columbia,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
8,9,American Health Imaging of Greenville,34.834495,-82.33886,granted,361 Woodruff Rd,,Greenville,SC,29607,USA,,americanhealthimaging.com/location/greenville-sc/,,mr,,American Health Imaging of Greenville Greenville,,,,,"Sep 29, 2022",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
9,10,American Health Imaging of Irmo,34.086318,-81.182579,multigranted,1245 Lake Murray Blvd.,Suite B,Irmo,SC,29063,United States ,,americanhealthimaging.com/location/irmo-sc/,,"ct, mr",,American Health Imaging of Irmo Irmo,"Sep 29, 2022","Body CT, Neurological CT, Vascular CTA | Maxillofacial CT",,,"Sep 29, 2022","Body MRI, Musculoskeletal MRI, Neurological MRI | MRA",,,,,,,,,,,,,,,,,,
