,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Avera Heart Hospital of South Dakota,43.489922,-96.780906,granted,4500 West 69th Street,,Sioux Falls,SD,57108,USA,,www.avera.org/heart-hospital/index.aspx,,stenting,,Avera Heart Hospital of South Dakota Sioux Falls,,,,,,,,,,,,,,,"Apr 30, 2023",Carotid Stenting,,,,,,,,
1,2,Avera Heart Hospital of South Dakota,43.489922,-96.780906,granted,4500 West 69th Street,,Sioux Falls,SD,57108,USA,,,,vascular,www.google.com/search?q=Avera+Heart+Hospital+of+South+Dakota,Avera Heart Hospital of South Dakota Sioux Falls,,,,,,,,,"Dec 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
2,3,Avera Heart Hospital of South Dakota,43.489922,-96.780906,granted,4500 West 69th Street,,Sioux Falls,SD,57108,USA,,,,echo,www.google.com/search?q=Avera+Heart+Hospital+of+South+Dakota,Avera Heart Hospital of South Dakota Sioux Falls,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,Avera Mckennan Hospital and University Health Center,43.534607,-96.711304,granted,1325 S. Cliff Ave,,Sioux Falls,SD,57117,USA,,,,nuclear,www.google.com/search?q=Avera+Mckennan+Hospital+and+University+Health+Center,Avera Mckennan Hospital and University Health Center Sioux Falls,,,,,,,"Nov 30, 2023","General Nuclear Medicine, Myocardial Perfusion Imaging",,,,,,,,,,,,,,,,
4,5,Avera McKennan Hospital and University Health Center,43.534515,-96.711305,granted,1325 S. Cliff Ave.,,Sioux Falls,SD,57105,USA,,Avera.org,,pediatric_echo,,Avera McKennan Hospital and University Health Center Sioux Falls,,,,,,,,,,,"Sep 30, 2024",Pediatric Transthoracic,,,,,,,,,,,,
5,6,Avera McKennan Hospital and University Health Center,43.534607,-96.711304,granted,1325 S. Cliff Ave.,,Sioux Falls,SD,57105,USA,,Avera.org,,vascular,,Avera McKennan Hospital and University Health Center Sioux Falls,,,,,,,,,"Dec 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Avera McKennan Hospital and University Health Center,43.534607,-96.711304,granted,1325 So Cliff Ave.,,Sioux Falls,SD,57105,USA,,Avera.org,,echo,,Avera McKennan Hospital and University Health Center Sioux Falls,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
7,8,Avera Medical Group Pediatric Specialists,43.5581,-96.71179,granted,"1417 S. Cliff Ave., Suite 010",Plaza 1,Sioux Falls,SD,57105,USA,,,,pediatric_echo,www.google.com/search?q=Avera+Medical+Group+Pediatric+Specialists,Avera Medical Group Pediatric Specialists Sioux Falls,,,,,,,,,,,"Sep 30, 2024",Pediatric Transthoracic,,,,,,,,,,,,
8,9,Avera Sacred Heart Hospital,42.90275,-97.436285,granted,501 Sumitt,Echocardiography Lab,Yankton,SD,57078,USA,,Avera.org/Sacred Heart,,echo,,Avera Sacred Heart Hospital Yankton,,,"Mar 31, 2025","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Brown Clinic,44.903579,-97.122499,granted,506 1st Avenue,,Watertown,SD,57201,USA,,,,nuclear,www.google.com/search?q=Brown+Clinic,Brown Clinic Watertown,,,,,,,"Nov 30, 2023",General Nuclear Medicine,,,,,,,,,,,,,,,,
10,11,"Brown Clinic, PLLP",44.897573,-97.106237,granted,506 1st Avenue SE,,Watertown,SD,57201,USA,,www.brownclinic.org,,ct,,"Brown Clinic, PLLP Watertown","Sep 30, 2023","Body CT, Neurological CT, Vascular CTA, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
11,12,Madison Community Hospital And Regional Health Center,43.977984,-97.136048,granted,"323 100th Street, SW",,Madison,SD,57042,USA,,,,nuclear,www.google.com/search?q=Madison+Community+Hospital+And+Regional+Health+Center,Madison Community Hospital And Regional Health Center Madison,,,,,,,"Nov 30, 2023",General Nuclear Medicine,,,,,,,,,,,,,,,,
12,13,"Midwest Ear, Nose and Throat, PC",43.500313,-96.754381,granted,2315 W. 57th St.,,Sioux Falls,SD,57108,USA,,www.midwestent.com,,ct,,"Midwest Ear, Nose and Throat, PC Sioux Falls","Sep 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
13,14,Milbank Medical Clinic,45.219043,-96.625799,granted,803 East Milbank,,Milbank,SD,57252,USA,,,,nuclear,www.google.com/search?q=Milbank+Medical+Clinic,Milbank Medical Clinic Milbank,,,,,,,"Nov 30, 2023",General Nuclear Medicine,,,,,,,,,,,,,,,,
