,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Appalachian Orthopaedics Associates-Bristol,36.584577,-82.251241,granted,1 Medical Park Boulevard,Suite 300 East,Bristol,TN,37620,USA,,www.appalachianorthopaedics.com,,mr,,Appalachian Orthopaedics Associates-Bristol Bristol,,,,,"Dec 31, 2022",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
1,2,Ascension Saint Thomas West,36.096519,-86.876414,granted,4230 Harding Road Suite 325,,Nashville,TN,37205,USA,,sths.org,,echo,,Ascension Saint Thomas West Nashville,,,"May 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,Ascension Saint Thomas West,36.096519,-86.876414,granted,4220 Harding Road,,Nashville,TN,37205,USA,,www.sths.com,,echo,,Ascension Saint Thomas West Nashville,,,"May 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,Baptist Memorial Hospital Collierville,35.047246,-89.712177,granted,1500 W. Poplar Ave.,,Collierville,TN,38017,USA,,www.baptistonline.org/locations/collierville,,echo,,Baptist Memorial Hospital Collierville Collierville,,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,Baptist Memorial Hospital Memphis,35.130758,-89.861022,granted,6019 Walnut Grove Rd,,Memphis,TN,38120,USA,,,,echo,www.google.com/search?q=Baptist+Memorial+Hospital+Memphis,Baptist Memorial Hospital Memphis Memphis,,,"Feb 28, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Bristol Regional Medical Center,36.584577,-82.251241,granted,1 Medical Park Boulevard,,Bristol,TN,37620,USA,,www.wellmont.org,,vascular,,Bristol Regional Medical Center Bristol,,,,,,,,,"Aug 31, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
6,7,Campbell Clinic Orthopaedics,35.111518,-89.802448,granted,7887 Wolf River Blvd.,,Germantown,TN,38138,USA,,www.campbellclinic.com/,,ct,,Campbell Clinic Orthopaedics Germantown,"Sep 30, 2023",Body CT,,,,,,,,,,,,,,,,,,,,,,
7,8,Cardiac Imaging Center,36.168591,-85.510772,granted,228 West 4th Street,,Cookeville,TN,38501,USA,,,,echo,www.google.com/search?q=Cardiac+Imaging+Center,Cardiac Imaging Center Cookeville,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Centennial Medical Center,36.152907,-86.807646,granted,2300 Patterson Street,,Nashville,TN,37203,USA,,,,echo,www.google.com/search?q=Centennial+Medical+Center,Centennial Medical Center Nashville,,,"Nov 30, 2023","Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,Chi Memorial  Atrium Medical Center,35.029191,-85.156122,multigranted,1949 Gunbarrel Rd,Suite 301,Chattanooga,TN,37421,USA,,www.memorial.org,,"echo, nuclear, vascular",,Chi Memorial  Atrium Medical Center Chattanooga,,,"Apr 30, 2023","Adult Stress, Adult Transthoracic",,,"Feb 29, 2024",Myocardial Perfusion Imaging,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
10,11,Children’s Hospital at Erlanger,35.050046,-85.290238,granted,900 East 3rd Street,,Chattanooga,TN,37403,USA,,,,pediatric_echo,www.google.com/search?q=Children’s+Hospital+at+Erlanger,Children’s Hospital at Erlanger Chattanooga,,,,,,,,,,,"Jul 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
11,12,"Clarksville Surgical Associates, PLC",36.58012,-87.271037,granted,"647 Dunlop Ln, Suite 100",,Clarksville,TN,37040,USA,,TennesseeVeinCare.com,,vascular,,"Clarksville Surgical Associates, PLC Clarksville",,,,,,,,,"Jul 31, 2025",Peripheral Venous Testing,,,,,,,,,,,,,,
12,13,"Cleveland Head and Neck Clinic, PC",35.178546,-84.867725,granted,2414 Chambliss Avenue NW,,Cleveland,TN,37311,USA,,,,ct,"www.google.com/search?q=Cleveland+Head+and+Neck+Clinic,+PC","Cleveland Head and Neck Clinic, PC Cleveland","Sep 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
13,14,Cookeville Regional Medical Center,36.16996,-85.50935,granted,1 Medical Center Blvd,,Cookeville,TN,38501,USA,,,,echo,www.google.com/search?q=Cookeville+Regional+Medical+Center,Cookeville Regional Medical Center Cookeville,,,"Nov 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
14,15,Delta Clinics,35.655585,-88.849126,granted,17 Centre Plaza Drive,,Jackson,TN,38305,USA,,,,echo,www.google.com/search?q=Delta+Clinics,Delta Clinics Jackson,,,"Feb 28, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
