,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Abilene Specialty Clinic,32.474557,-99.736381,granted,410 Lone Star Drive,,Abilene,TX,79602,USA,,www.cookchildrens.org,,pediatric_echo,,Abilene Specialty Clinic Abilene,,,,,,,,,,,"Jun 30, 2025",Pediatric Transthoracic,,,,,,,,,,,,
1,2,Acclaimed Heart and Vascular Center,29.978853,-95.574815,granted,929 Graham Rd.,Suite B,Tomball,TX,77375,USA,,www.stlukesvintage.com,,nuclear,,Acclaimed Heart and Vascular Center Tomball,,,,,,,"Sep 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
2,3,ADC Cardiology Clinic Cardiovascular Lab,29.185225,-95.403734,granted,146 East Hospital Drive  106,,Angelton,TX,77515,USA,,,,vascular,www.google.com/search?q=ADC+Cardiology+Clinic+Cardiovascular+Lab,ADC Cardiology Clinic Cardiovascular Lab Angelton,,,,,,,,,"Jan 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
3,4,AdvaCardio,30.129834,-95.444315,granted,25329 Interstate 45 North,,The Woodlands,TX,77380,USA,,www.advacardio.com,,nuclear,,AdvaCardio The Woodlands,,,,,,,"Apr 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Advanced Cardiovascular Specialists,30.088189,-94.12988,granted,755 North 11th Street,Suite P2200,Beaumont,TX,77702,USA,,,,echo,www.google.com/search?q=Advanced+Cardiovascular+Specialists,Advanced Cardiovascular Specialists Beaumont,,,"Jan 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Advanced Cardiovascular Specialists,30.899557,-93.993008,granted,2014 South Wheeler Street,Suite  200,Jasper,TX,75951,USA,,,,echo,www.google.com/search?q=Advanced+Cardiovascular+Specialists,Advanced Cardiovascular Specialists Jasper,,,"Jan 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,Advanced Cardiovascular Specialists -Jasper,30.899557,-93.993008,granted,2014 S. Wheeler Street,Suite 200,Jasper,TX,75951,USA,,,,nuclear,www.google.com/search?q=Advanced+Cardiovascular+Specialists+-Jasper,Advanced Cardiovascular Specialists -Jasper Jasper,,,,,,,"Jul 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,"Advanced Cardiovascular Specialists, LLP",30.088189,-94.12988,granted,755 North 11th Street,Suite P 2200,Beaumont,TX,77702,USA,,,,nuclear,"www.google.com/search?q=Advanced+Cardiovascular+Specialists,+LLP","Advanced Cardiovascular Specialists, LLP Beaumont",,,,,,,"Jul 31, 2024","Myocardial Perfusion Imaging, Positron Emission Tomography (PET)",,,,,,,,,,,,,,,,
8,9,Advanced Heart and Vascular Center,32.984213,-96.804305,granted,17101 Preston Rd,Suite 260-S,Dallas,TX,75248,USA,,,,echo,www.google.com/search?q=Advanced+Heart+and+Vascular+Center,Advanced Heart and Vascular Center Dallas,,,"Sep 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,Advanced Radiology Associates,26.262933,-98.201191,granted,2616 Cornerstone Blvd.,,Edinburg,TX,78539,USA,,,,mr,www.google.com/search?q=Advanced+Radiology+Associates,Advanced Radiology Associates Edinburg,,,,,"Apr 30, 2025",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
10,11,Alamo ENT Associates,29.619208,-98.494205,granted,19026 Stone Oak Parkway,Suite 110,San Antonio,TX,78258,USA,,www.AlamoENT.com,,ct,,Alamo ENT Associates San Antonio,"Dec 31, 2022",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
11,12,Alice Heart and Vascular Center,27.758503,-98.043513,granted,1008 Medical Center Blvd,,Alice,TX,78332,USA,,www.aliceheart.com,,nuclear,,Alice Heart and Vascular Center Alice,,,,,,,"Nov 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
12,13,Alief and West Houston Cardiology,29.730623,-95.59324,granted,12121 Richmond Avenue,Suite 204,Houston,TX,77082,USA,,,,echo,www.google.com/search?q=Alief+and+West+Houston+Cardiology,Alief and West Houston Cardiology Houston,,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
13,14,Allergy and ENT Associates,30.17673,-95.537142,granted,"10847 Kuykendahl Road, Suite 100",,The Woodlands,TX,77382,USA,,www.texallergy.com,,ct,,Allergy and ENT Associates The Woodlands,"Feb 29, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
14,15,Allergy and ENT Associates,30.17398,-95.456299,granted,"9301 Pinecroft, Suite 100",,The Woodlands,TX,77380,USA,,www.texallergy.com,,ct,,Allergy and ENT Associates The Woodlands,"Feb 29, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
15,16,Allergy and ENT Associates,30.035262,-95.17421,granted,"1850 West Lake Houston Pkwy, Suite 100",,Kingwood,TX,77339,USA,,www.texallergy.com,,ct,,Allergy and ENT Associates Kingwood,"Feb 29, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
