,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,Advanced Allergy and Asthma,41.165997,-111.970037,granted,425 E 5350 S,Ste 110,Ogden,UT,84405,USA,,allergyasthma.clinic,,ct,,Advanced Allergy and Asthma Ogden,"Apr 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,Alta View Hospital,40.575455,-111.85319,granted,9660 S 1300 E,,Sandy,UT,84094,USA,,,,echo,www.google.com/search?q=Alta+View+Hospital,Alta View Hospital Sandy,,,"Aug 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,American Fork Hospital,40.380458,-111.769094,granted,170 North 1100 East,170 North 1100 East,American Fork,UT,84003,USA,,Intermountainhealthcare.org/services/heart,,echo,,American Fork Hospital American Fork,,,"Dec 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,"Cache Valley Ear, Nose and Throat",41.775923,-111.823075,granted,2380 N 400 E Suite D,,North Logan,UT,84341,USA,,,,ct,"www.google.com/search?q=Cache+Valley+Ear,+Nose+and+Throat","Cache Valley Ear, Nose and Throat North Logan","Jan 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
4,5,"Canyon View Ear, Nose and Throat",37.699234,-113.068245,granted,1251 N. Northfield Road,Suite 200,Cedar City,UT,84721,USA,,,,ct,"www.google.com/search?q=Canyon+View+Ear,+Nose+and+Throat","Canyon View Ear, Nose and Throat Cedar City","Apr 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,Deloros Dore Eccles Heart and Vascular Institute McKay Dee Hospital,41.182779,-111.949117,granted,4401 Harrison Boulevard,,Ogden,UT,84403,USA,,,,vascular,www.google.com/search?q=Deloros+Dore+Eccles+Heart+and+Vascular+Institute+McKay+Dee+Hospital,Deloros Dore Eccles Heart and Vascular Institute McKay Dee Hospital Ogden,,,,,,,,,"Mar 31, 2025",Extracranial Cerebrovascular Testing,,,,,,,,,,,,,,
6,7,ENT Specialists,40.685704,-111.871402,granted,4000 South 700 East Suite 10,,Salt Lake City,UT,84107,USA,,www.entslc.com,,ct,,ENT Specialists Salt Lake City,"Sep 30, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
7,8,Foot and Ankle Institute,37.0961975,-113.5835245,granted,"754 S. Main Street, Suite 3",,Saint George,UT,84770,USA,,www.feetnet.com,,ct,,Foot and Ankle Institute Saint George,"Oct 31, 2022",Body CT,,,,,,,,,,,,,,,,,,,,,,
8,9,General Surgery at Northpointe Dr. Gail Strindberg,40.572623,-112.293739,multigranted,2376 North 400 East,"Bldg, a Suite 205",Tooele,UT,84074,USA,,,,"vascular, vein_center",www.google.com/search?q=General+Surgery+at+Northpointe+Dr.+Gail+Strindberg,General Surgery at Northpointe Dr. Gail Strindberg Tooele,,,,,,,,,"Jan 31, 2024",Peripheral Venous Testing,,,,,,,"Jan 31, 2024",Superficial Venous Evaluation and Management,,,,,,
9,10,Heart of Dixie Vein and Vascular Center,37.099826,-113.554193,multigranted,2825 East Mall Drive,Floor 2,St. George,UT,84790,USA,,,,"vascular, vein_center",www.google.com/search?q=Heart+of+Dixie+Vein+and+Vascular+Center,Heart of Dixie Vein and Vascular Center St. George,,,,,,,,,"Nov 30, 2023",Peripheral Venous Testing,,,,,,,"Dec 31, 2023",Superficial Venous Evaluation and Management,,,,,,
10,11,Intermountain Dixie Regional Medical Center,37.09985,-113.55333,granted,1380 East Medical Center Drive,,St George,UT,84790,USA,,,,vascular,www.google.com/search?q=Intermountain+Dixie+Regional+Medical+Center,Intermountain Dixie Regional Medical Center St George,,,,,,,,,"Sep 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
11,12,Intermountain Ear Nose and Throat Center,40.528811,-111.869769,granted,756 East 12200 South,,Draper,UT,84020,USA,,www.entcenterslc.com,,ct,,Intermountain Ear Nose and Throat Center Draper,"Nov 30, 2023","Body CT, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
12,13,Intermountain Ear Nose and Throat Center,40.522244,-111.987533,granted,4063 West 12600 South,,Riverton,UT,84096,USA,,,,ct,www.google.com/search?q=Intermountain+Ear+Nose+and+Throat+Center,Intermountain Ear Nose and Throat Center Riverton,"Nov 30, 2023","Body CT, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
13,14,"Intermountain Ear, Nose and Throat",40.76872,-111.865333,granted,22 South 900 East,,Salt Lake CIty,UT,84102,USA,,www.entcenterslc.com,,ct,,"Intermountain Ear, Nose and Throat Salt Lake CIty","Nov 30, 2023","Body CT, Maxillofacial CT",,,,,,,,,,,,,,,,,,,,,,
14,15,Intermountain Heart Center,40.655123,-111.904927,granted,5292 South College Drive 500W,Suite 201,Murray,UT,84123,USA,,,,echo,www.google.com/search?q=Intermountain+Heart+Center,Intermountain Heart Center Murray,,,"Sep 30, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
15,16,Intermountain Heart Center,40.655123,-111.904927,granted,5292 South College Drive,Suite 201,Murray,UT,84123,USA,,,,nuclear,www.google.com/search?q=Intermountain+Heart+Center,Intermountain Heart Center Murray,,,,,,,"Jun 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
16,17,Intermountain Layton Hospital,41.054447,-111.96761,granted,201 Layton Parkway,,Layton,UT,84041,USA,,,,echo,www.google.com/search?q=Intermountain+Layton+Hospital,Intermountain Layton Hospital Layton,,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
17,18,Intermountain Layton Pkwy ENT,41.07251,-111.981708,granted,201 W Layton Pkwy,,Layton,UT,84041,USA,,,,ct,www.google.com/search?q=Intermountain+Layton+Pkwy+ENT,Intermountain Layton Pkwy ENT Layton,"Oct 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
18,19,"Intermountain McKay Dee Ear, Nose and Throat Clinic",41.182761,-111.949117,granted,4403 Harrison Blvd,Suite 2645,Ogden,UT,84403,USA,,,,ct,"www.google.com/search?q=Intermountain+McKay+Dee+Ear,+Nose+and+Throat+Clinic","Intermountain McKay Dee Ear, Nose and Throat Clinic Ogden","Oct 31, 2024",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
19,20,Intermountain McKay Dee Vascular and Vein Clinic,41.151474,-111.941447,granted,3903 Harrison Blvd,Suite 100,Ogden,UT,84403,USA,,IntermountainHealthcare.org/VVMcKayDee,,vein_center,,Intermountain McKay Dee Vascular and Vein Clinic Ogden,,,,,,,,,,,,,,,,,"Jan 29, 2023",Superficial Venous Evaluation and Management,,,,,,
