,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Advanced Otolaryngology, P.C. dba Richmond ENT",37.551654,-77.562987,granted,8700 Stony Point Parkway,Suite 110,Richmond,VA,23235,USA,,Richmondent.com ,,ct,,"Advanced Otolaryngology, P.C. dba Richmond ENT Richmond","Jan 31, 2025",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,Amelia Heart and Vascular Center,38.784088,-77.181962,granted,6136 Brandon Ave,,Springfield,VA,22150,USA,,,,echo,www.google.com/search?q=Amelia+Heart+and+Vascular+Center,Amelia Heart and Vascular Center Springfield,,,"Jul 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,Amelia Heart and Vascular Center,38.842823,-77.085668,granted,2800 Shirlington Road Suite 300,,Arlington,VA,22206,USA,,,,echo,www.google.com/search?q=Amelia+Heart+and+Vascular+Center,Amelia Heart and Vascular Center Arlington,,,"Jul 31, 2025","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
3,4,Arlington ROC at Virginia Hospital Center,38.88843,-77.128371,granted,"1635 N. George Mason Dr, Suite 140",,Arlington,VA,22205,USA,,,,pediatric_echo,www.google.com/search?q=Arlington+ROC+at+Virginia+Hospital+Center,Arlington ROC at Virginia Hospital Center Arlington,,,,,,,,,,,"Jul 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
4,5,Atlantic Orthopaedic Specialists,36.850383,-76.192898,granted,6160 Kempsville Circle,Suite 200B,Norfolk,VA,23502,USA,,www.atlanticortho.com,,ct,,Atlantic Orthopaedic Specialists Norfolk,"Jan 29, 2023",Body CT,,,,,,,,,,,,,,,,,,,,,,
5,6,Atlantic Vein and Vascular Associates,36.845115,-76.035376,granted,5589 Greenwich Road,Suite 100,Virginia Beach,VA,23462,USA,,www.avva.net,,vascular,,Atlantic Vein and Vascular Associates Virginia Beach,,,,,,,,,"Dec 31, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
6,7,Augusta Health,38.092329,-78.988472,multigranted,78 Medical Center Drive,,Fishersville,VA,22939,USA,,www.augustahealth.com,,"cardiovascular_catheterization, echo",,Augusta Health Fishersville,,,"Sep 30, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,"Sep 30, 2023","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing, Visceral Vascular Testing",,,,,,,,,,,"May 31, 2023","Adult Diagnostic Catheterization, Percutaneous Coronary Intervention",,
7,8,Bedford Memorial Hospital,37.351563,-79.516415,granted,1613 Oakwood Street,,Bedford,VA,24523,USA,,,,echo,www.google.com/search?q=Bedford+Memorial+Hospital,Bedford Memorial Hospital Bedford,,,"Jan 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
8,9,Bedford Memorial Hospital,37.351563,-79.516415,granted,1613 Oakwood Street,,Bedford,VA,24523,USA,,,,vascular,www.google.com/search?q=Bedford+Memorial+Hospital,Bedford Memorial Hospital Bedford,,,,,,,,,"May 31, 2025","Extracranial Cerebrovascular Testing, Peripheral Arterial Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
9,10,Blue Ridge Cardiovascular Associates,38.455694,-78.012025,granted,440 Southridge Parkway,,Culpeper,VA,22701,USA,,,,echo,www.google.com/search?q=Blue+Ridge+Cardiovascular+Associates,Blue Ridge Cardiovascular Associates Culpeper,,,"Sep 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
