,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Champlain Valley Cardiovascular Associates, Hillemann and Kirwan, MDs, PC",44.453343,-73.16722,granted,50 Timber Lane,,South Burlington,VT,05403,USA,,,,echo,"www.google.com/search?q=Champlain+Valley+Cardiovascular+Associates,+Hillemann+and+Kirwan,+MDs,+PC","Champlain Valley Cardiovascular Associates, Hillemann and Kirwan, MDs, PC South Burlington",,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,"Copley Hospital, Inc",44.554201,-72.591484,granted,528 Washington Highway,,Morrisville,VT,05661,USA,,www.copleyvt.org/,,echo,,"Copley Hospital, Inc Morrisville",,,"Oct 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
2,3,"Hilleman and Kirwan MDS, PC",44.453343,-73.16722,granted,50 Timber Lane,,South Burlington,VT,05403,USA,,,,nuclear,"www.google.com/search?q=Hilleman+and+Kirwan+MDS,+PC","Hilleman and Kirwan MDS, PC South Burlington",,,,,,,"Jun 30, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
3,4,North Country Hospital,44.954681,-72.201661,granted,189 Prouty Drive,,Newport,VT,05855,USA,,www.nchsi.org,,echo,,North Country Hospital Newport,,,"Jun 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,Northeastern Vermont Regional Hospital,44.445262,-72.009516,granted,1315 Hospital Drive,,St Johnsbury,VT,05819,USA,,,,echo,www.google.com/search?q=Northeastern+Vermont+Regional+Hospital,Northeastern Vermont Regional Hospital St Johnsbury,,,"Jun 30, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
5,6,Southwestern Vermont Medical Center,42.873911,-73.204343,granted,100 Hospital Drive,,Bennington,VT,05201,USA,,,,echo,www.google.com/search?q=Southwestern+Vermont+Medical+Center,Southwestern Vermont Medical Center Bennington,,,"Sep 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
6,7,Southwestern Vermont Medical Center Cardiology,42.874084,-73.209423,granted,140 Hospital Drive    Suite 211,,Bennington,VT,05201,USA,,,,echo,www.google.com/search?q=Southwestern+Vermont+Medical+Center+Cardiology,Southwestern Vermont Medical Center Cardiology Bennington,,,"Sep 30, 2024","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,The University of Vermont Health Network Central Vermont Medical Center,44.21957,-72.561298,granted,130 Fisher Road,,Berlin,VT,05602,USA,,,,echo,www.google.com/search?q=The+University+of+Vermont+Health+Network+Central+Vermont+Medical+Center,The University of Vermont Health Network Central Vermont Medical Center Berlin,,,"Nov 30, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,The University of Vermont Medical Center,44.480966,-73.195571,granted,111 Colchester Avenue,McClure 1,Burlington,VT,05401,USA,,www.uvmhealth.org,,echo,,The University of Vermont Medical Center Burlington,,,"Sep 29, 2022","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
9,10,"The University of Vermont Medical Center, Cardiology at Tilley Drive",44.448912,-73.15575,granted,62 Tilley Dr.,,South Burlington,VT,05403,USA,,,,echo,"www.google.com/search?q=The+University+of+Vermont+Medical+Center,+Cardiology+at+Tilley+Drive","The University of Vermont Medical Center, Cardiology at Tilley Drive South Burlington",,,"Sep 29, 2022",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
10,11,University of Vermont Medical Center,44.472894,-73.209569,granted,111 Colchester Avenue,"Ambulatory Care Center, Main Pavilion Level 5",Burlington,VT,05401,USA,,,,vascular,www.google.com/search?q=University+of+Vermont+Medical+Center,University of Vermont Medical Center Burlington,,,,,,,,,"Oct 30, 2022","Extracranial Cerebrovascular Testing, Intracranial Cerebrovascular Testing",,,,,,,,,,,,,,
