,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Advanced Ear, Nose and Throat Specialists, SC",43.071085,-88.473587,granted,1185 Corporate Center Drive Suite 300,,Oconomowoc,WI,53066,USA,,www.advent.md,,ct,,"Advanced Ear, Nose and Throat Specialists, SC Oconomowoc","Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
1,2,"Advanced Ear, Nose and Throat Specialists, SC",43.211425,-87.924111,granted,10610 N. Port Washington Rd.,,Mequon,WI,53092,USA,,www.advent.md,,ct,,"Advanced Ear, Nose and Throat Specialists, SC Mequon","Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
2,3,"Advanced Ear, Nose and Throat Specialists, SC",43.071018,-88.047985,granted,2885 N. Mayfair Road,,Wauwatosa,WI,53222,USA,,www.adventknows.com,,ct,,"Advanced Ear, Nose and Throat Specialists, SC Wauwatosa","Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
3,4,ADVENT,44.259736,-88.469216,granted,247 S. Nicolet Road,,Appleton,WI,54914,USA,,www.adventknows.com,,ct,,ADVENT Appleton,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
4,5,ADVENT,42.901407,-87.91914,granted,500 W Drexel Ave,,Oak Creek,WI,53154,USA,,www.adventknows.com,,ct,,ADVENT Oak Creek,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
5,6,ADVENT,42.566573,-87.919864,granted,8500 75th Street,,Pleasant Prairie,WI,53158,USA,,www.adventknows.com,,ct,,ADVENT Pleasant Prairie,"Nov 30, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
6,7,AdventHealth Durand,44.620309,-91.9635,granted,1220 Third Avenue West,,Durand,WI,54736,USA,,,,echo,www.google.com/search?q=AdventHealth+Durand,AdventHealth Durand Durand,,,"Jul 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
7,8,AHC - Lake Geneva,42.606049,-88.423723,granted,146 East Geneva Square,,Lake Geneva,WI,53147,USA,,www.aurora.org,,echo,,AHC - Lake Geneva Lake Geneva,,,"Mar 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Amery Hospital and Clinic,45.295946,-92.36067,granted,265 Griffin Street East,,Amery,WI,54001,USA,,,,nuclear,www.google.com/search?q=Amery+Hospital+and+Clinic,Amery Hospital and Clinic Amery,,,,,,,"Jan 31, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
9,10,Amery Regional Medical Center,45.295946,-92.36067,granted,265 Griffin Street East,,Amery,WI,54001,USA,,,,echo,www.google.com/search?q=Amery+Regional+Medical+Center,Amery Regional Medical Center Amery,,,"Jan 31, 2023","Adult Stress, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
