,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Beckley Cardiology, PLLC",37.790119,-81.208585,granted,1832 Harper Road,,Beckley,WV,25801,USA,,beckleycardiologysuddenlinkmail.com,,echo,,"Beckley Cardiology, PLLC Beckley",,,"Mar 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,Cabell Huntington Hospital,38.410028,-82.428412,granted,1340 Hal Greer Blvd,,Huntington,WV,25701,USA,,,,echo,www.google.com/search?q=Cabell+Huntington+Hospital,Cabell Huntington Hospital Huntington,,,"Nov 30, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
2,3,CAMC Cardiac Imaging,38.328773,-81.604038,granted,3200 MacCorkle Ave. SE.,,Charleston,WV,25304,USA,,,,echo,www.google.com/search?q=CAMC+Cardiac+Imaging,CAMC Cardiac Imaging Charleston,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
3,4,CAMC Cardiology Beckley,37.790093,-81.208769,granted,1836 Harper Rd.,,Beckley,WV,25801,USA,,,,echo,www.google.com/search?q=CAMC+Cardiology+Beckley,CAMC Cardiology Beckley Beckley,,,"Aug 31, 2023",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
4,5,CAMC Cardiology Beckley,37.790093,-81.208769,granted,1836 Harper Road,,Beckley,WV,25801,USA,,,,nuclear,www.google.com/search?q=CAMC+Cardiology+Beckley,CAMC Cardiology Beckley Beckley,,,,,,,"Jan 31, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
5,6,CAMC Cardiology South Charleston,38.356329,-81.727033,granted,"4610 Kanawha Ave SW, Suite 200",,South Charleston,WV,25309,USA,,,,echo,www.google.com/search?q=CAMC+Cardiology+South+Charleston,CAMC Cardiology South Charleston South Charleston,,,"May 31, 2025",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
6,7,CAMC Cardiology South Charleston,38.354757,-81.73243,granted,4610 Kanawha Ave. Suite 200,,South Charleston,WV,25309,USA,,,,nuclear,www.google.com/search?q=CAMC+Cardiology+South+Charleston,CAMC Cardiology South Charleston South Charleston,,,,,,,"Feb 29, 2024",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
7,8,CAMC Teays Valley,38.452369,-81.951326,granted,1400 Hospital Drive,,Hurricane,WV,25526,USA,,,,echo,www.google.com/search?q=CAMC+Teays+Valley,CAMC Teays Valley Hurricane,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
8,9,Cardiovascular and Medical Specialists,40.395557,-80.528623,granted,"485 Colliers Way, Suite A",,Weirton,WV,26062,USA,,,,echo,www.google.com/search?q=Cardiovascular+and+Medical+Specialists,Cardiovascular and Medical Specialists Weirton,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
9,10,"Cardiovascular Consultants, PLLC",38.45232,-81.951303,multigranted,1211 Hospital Drive,,Hurricane,WV,25526,USA,,,,"nuclear, echo","www.google.com/search?q=Cardiovascular+Consultants,+PLLC","Cardiovascular Consultants, PLLC Hurricane",,,"Jan 31, 2025",Adult Transthoracic,,,"Sep 30, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
10,11,"Cardiovascular Consultants, PLLC",38.353245,-81.632839,multigranted,331 Laidley Street,Suite 402,Charleston,WV,25301,USA,,,,"nuclear, echo, vascular","www.google.com/search?q=Cardiovascular+Consultants,+PLLC","Cardiovascular Consultants, PLLC Charleston",,,"May 31, 2024",Adult Transthoracic,,,"Jul 31, 2023",Myocardial Perfusion Imaging,"Aug 31, 2024","Extracranial Cerebrovascular Testing, Visceral Vascular Testing",,,,,,,,,,,,,,
11,12,Charleston Area Medical Center,38.328705,-81.603173,granted,3200 MacCorkle Avenue Southeast,,Charleston,WV,25304,USA,,,,echo,www.google.com/search?q=Charleston+Area+Medical+Center,Charleston Area Medical Center Charleston,,,"May 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
