,id,name,lat,lng,category,address,address2,city,state,postal,country,phone,web,features,modalities,searchGoogle,search,ct,ct_areas,echo,echo_areas,mr,mr_areas,nuclear,nuclear_areas,vascular,vascular_areas,pediatric_echo,pediatric_echo_areas,ct-dental,ct-dental_areas,stenting,stenting_areas,vein_center,vein_center_areas,cardiac_electrophysiology,cardiac_electrophysiology_areas,cardiovascular_catheterization,cardiovascular_catheterization_areas,jrcdms,jrcdms_areas
0,1,"Banner Health, CardioVascular Institute of North Colorado, Mobile Echo TCH",42.081765,-104.191509,granted,2000 Campbell Dr.,,Torrington,WY,82240,USA,,,,echo,"www.google.com/search?q=Banner+Health,+CardioVascular+Institute+of+North+Colorado,+Mobile+Echo+TCH","Banner Health, CardioVascular Institute of North Colorado, Mobile Echo TCH Torrington",,,"Mar 31, 2024",Adult Transthoracic,,,,,,,,,,,,,,,,,,,,
1,2,Billing Clinic Cody MRI CT,44.516785,-109.079091,multigranted,613 Yellowstone Ave,Suite A,Cody,WY,82414,USA,,,,"mr, ct",www.google.com/search?q=Billing+Clinic+Cody+MRI+CT,Billing Clinic Cody MRI CT Cody,"Dec 31, 2024","Body CT, Neurological CT, Vascular CTA, Maxillofacial CT",,,"Aug 31, 2023","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
2,3,Black Rock Advanced Medical Imaging,44.283703,-105.511591,granted,620 Four-J Court,Suite D,Gillette,WY,82716,USA,,,,mr,www.google.com/search?q=Black+Rock+Advanced+Medical+Imaging,Black Rock Advanced Medical Imaging Gillette,,,,,"Jul 31, 2025","Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
3,4,Casper,42.846152,-106.322362,granted,428 S. Durbin,Suite 104,Casper,WY,82601,USA,,,,nuclear,www.google.com/search?q=Casper,Casper Casper,,,,,,,"Dec 31, 2022",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
4,5,Casper Medical Imaging,42.846114,-106.309597,granted,419 South Washington St,Suite 101,Casper,WY,82601,USA,,caspermedicalimaging.net,,vein_center,,Casper Medical Imaging Casper,,,,,,,,,,,,,,,,,"Dec 31, 2023",Superficial Venous Evaluation and Management,,,,,,
5,6,Cheyenne Children’s Clinic,41.140182,-104.815987,granted,2301 House Avenue,Suite 405,Cheyenne,WY,82001,USA,,,,pediatric_echo,www.google.com/search?q=Cheyenne+Children’s+Clinic,Cheyenne Children’s Clinic Cheyenne,,,,,,,,,,,"Oct 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
6,7,Cheyenne Regional Medical Center,41.139789,-104.817036,granted,214 East 23rd Street,,Cheyenne,WY,82001,USA,,crmcwy.org,,echo,,Cheyenne Regional Medical Center Cheyenne,,,"Aug 31, 2023","Adult Stress, Adult Transesophageal, Adult Transthoracic",,,,,,,,,,,,,,,,,,,,
7,8,Cheyenne Regional Medical Center,41.139789,-104.817036,granted,214 East 23rd Street,,Cheyenne,WY,82001,USA,,cheyennecardiology.com,,nuclear,,Cheyenne Regional Medical Center Cheyenne,,,,,,,"Feb 28, 2023",Myocardial Perfusion Imaging,,,,,,,,,,,,,,,,
8,9,"Cody Imaging Center, LLC",44.520187,-109.074921,granted,"720 Lindsay Lane, Ste. D",,Cody,WY,82414,USA,,"www.codyimaging,com",,mr,,"Cody Imaging Center, LLC Cody",,,,,"Nov 30, 2024","Body MRI, Musculoskeletal MRI, Neurological MRI, MRA",,,,,,,,,,,,,,,,,,
9,10,"Davis Ear, Nose and Throat Specialists",44.290122,-105.520968,granted,407 S Medical Arts Ct,STE C,Gillette,WY,82716,USA,,www.davisent.net,,ct,,"Davis Ear, Nose and Throat Specialists Gillette","Dec 31, 2023",Maxillofacial CT,,,,,,,,,,,,,,,,,,,,,,
10,11,"Elevation Medical Imaging, LLC",41.25172,-110.853896,granted,1485 Hwy 150 S,,Evanston,WY,82930,USA,,EMIMED.US,,mr,,"Elevation Medical Imaging, LLC Evanston",,,,,"Mar 31, 2025","Body MRI, Musculoskeletal MRI, Neurological MRI",,,,,,,,,,,,,,,,,,
11,12,Fremont County Pediatrics,43.029013,-108.375681,granted,115 Wyoming St,,Lander,WY,82520,USA,,,,pediatric_echo,www.google.com/search?q=Fremont+County+Pediatrics,Fremont County Pediatrics Lander,,,,,,,,,,,"Oct 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
12,13,Laramie Physicians for Women and Children,41.320726,-105.557869,granted,2710 Harney Street,Suite 100,Laramie,WY,82070,USA,,,,pediatric_echo,www.google.com/search?q=Laramie+Physicians+for+Women+and+Children,Laramie Physicians for Women and Children Laramie,,,,,,,,,,,"Oct 31, 2023",Pediatric Transthoracic,,,,,,,,,,,,
13,14,Marshfield Clinic Wittenberg Center,44.804907,-89.165658,granted,201 Liberty Dr.,,Wittenberg,WY,54499,USA,,,,vascular,www.google.com/search?q=Marshfield+Clinic+Wittenberg+Center,Marshfield Clinic Wittenberg Center Wittenberg,,,,,,,,,"Nov 30, 2024","Extracranial Cerebrovascular Testing, Peripheral Venous Testing",,,,,,,,,,,,,,
14,15,Premier Bone and Joint Casper,42.843873,-106.23884,granted,5810 E. 2nd Street 100,,Casper,WY,82609,USA,,www.premierboneandjoint.com,,mr,,Premier Bone and Joint Casper Casper,,,,,"Apr 30, 2025",Musculoskeletal MRI,,,,,,,,,,,,,,,,,,
